page 2	社評美援與工潮問題
page 3	英國艦隊駛抵星洲準備應付東方大戰美日繼續談話緊張情勢未減
page 3	馬亞亞宣布戒嚴全部軍隊從事作戰準備新加坡已充滿戰時景象
page 3	美國通信十一月七日自紐約
page 3	荷印空軍全部動員
page 3	倫敦之觀察美日談話終必破裂靜待東京第二步行動
page 3	制裁日本美國民已具決心政府須善於運用美議員請明白警告日本
page 3	緬防空演習全境實施燈火管制
page 3	澳洲準備抵抗侵略
page 3	內政會議定後日開幕
page 3	敵報仍咆哮對美日談話益悲觀
page 3	泰邊尚安謐泰官方視察報告日方亦否認侵泰
page 3	廣知時報論美日關係嚴重
page 3	東條演說不脫共存共榮老調
page 3	東條謁日皇報告國際情勢
page 3	英美談商
page 3	美籍空軍將保護滇緬路
page 3	敵機襲滇在蒙自迷失一架
page 3	中野正剛反對美日談話謂將招致滅亡
page 3	澳巡艦雪梨號竟被德艦擊沉澳洲沿海一度交戰德襲擊艦已被擊沉
page 3	提取在港封存資金我政府公布提取辦法將設一機關審核各方請求印議會考慮助我統制外匯
page 3	德夫古柏談視察觀感澳紐立場堅定
page 4	莫斯科前線德軍攻勢頓挫南路德軍紊亂潰退
page 4	北非德軍拚命突圍攻佔錫第雷澤英軍袋形陣地被突破
page 4	蘇德戰爭與東歐的緩衝問題一
page 4	德機械化部隊澈夜猛烈作戰
page 4	美限制罷工案眾院開始討論議員文生提出具體建議授權政府接收罷工工廠
page 4	美在近東設軍火供給站並將在埃訓練的空軍人員
page 4	渝中英文協歡迎澳公使及倪邁雅
page 4	飛渡大西洋又創新紀錄全程八小時二十三分
page 4	戈培爾　言
page 4	英機炸德軍港並在西歐海面投佈水雷英機捐失達二十架
page 4	滬縣辦當局決平抑煤價
page 4	徵購糧食工作年底可告完成徐部長談工作進行順利此後軍糧民食無虞缺乏
page 4	貝當晤戈林曾討論合作問題下週間將繼續會商
page 4	馬來亞訪華團返星談結果極為美滿
page 4	奎松演說反響菲人民自由協會繼續質難
page 4	行政院會議任劉多荃為熱主席
page 4	甘省電台全部已落成並試行廣播
page 4	英艦隊抵星
page 5	桂滑翔運動熱大公報第二號飛往邕寧表演浮空時間計達四十五分鐘總司令夏威等均親臨參觀
page 5	重慶在霧中下
page 5	水利建設概況薛篤弼氏發表談話
page 5	調整平價機構改善平價辦法經濟會議擬定實施綱要
page 5	桂林正式成立臨時軍人監獄
page 5	中國不會失敗第二屆二次參政會閉會記
page 5	星洲積極備戰認日本進犯必被擊退海陸空佈置均已完成
page 5	滬工部局對管理物價決澈底實施設三委員會及若干小組管理商品進口分配生產
page 5	桂粵企業公司實行業務合作將測重運輸技術等方面
page 5	桂市存米在百萬斤以上
page 6	寄上海等地掛號信昨日起暫停收遞報名撤退者昨祇有百人美僑千餘人不願離港
page 6	匯豐銀行遷移得由行務委會自由決定昨在憲報號外正式公布
page 6	何東爵士夫婦昨慶雙壽大典蔣委長夫婦長婦等來電祝嘏港澳總督名流親臨致賀
page 6	新輔政司來港現任本港輔政司史美最
page 6	中西報紙戰時絕不停刊已向當局表示
page 6	勞工處昨通告招募正副廚師每日工金由一元至一元二毫現時已開始在港九登記
page 6	陸上運動專員公布統制使用汽車此辦法在港被襲時生效如必須乘車者予申請
page 6	平準基金會遷址辦公在如雲酒店內
page 6	平糶會推銷衛生米進行不遺作力請求政府再減衛生米價太古船塢附近設立飯堂
page 6	今晚慈善音樂會九時一刻於娛樂戲院
page 6	港上月天氣天時失常陰多濕重但雨量稀少
page 7	撫卹黃翔排球賽青年對抗港九下午七時起在青支會場上演籃球賽香港迎戰九龍
page 7	誰能勝阿喬
page 7	李惠堂演講回首二十年昨夜在足球裁判月會中演出足球係中國發明
page 7	本報籃球隊今日戰星島
page 7	銀牌小球賽本月中旬開鑼
page 7	星島足球隊征澳高亦潛任總領隊
page 7	督憲杯足球初賽尚無確期舉行審查小組會日內將提出討論蘇皇軍全部比賽展期
page 7	慶雲杯大戰週末展開
page 7	股票市況黯淡昨日成交四萬九千餘元
page 7	滬標金價轉趨上漲
page 7	外匯牌價俱無變更申匯市況仍屬靜穩
page 7	國幣價格續趨下游
