page 2	日閥的老花樣從阿部說到武藤伊藤
page 3	湘鄂贛各路有進展南昌岳陽枝葉盡除晉東南長子附近戰況猛烈
page 3	日人政治陰謀圖煽惑伊盟榮祥已赴包頭灘上視察我決以政治力量還擊之沙王等通電討汪
page 3	耕牛保險農本局撥款試辦
page 3	顧竹軒滬捕房傳去問話傳或與譚案有關
page 3	前偽維新顧問原田返國虹口臨時加緊戒備
page 3	昆明奇寒並突降雪珠
page 3	日人對滬租界將借題攻擊藉雪在競選中失敗之辱中英文報大批被扣 
page 3	譚紹良案被捕人傳已有供詞捕房當局不允發表各捕房下半旗為譚誌哀
page 3	中樞各要人組織交響樂團推孫院長等為發起人聘定指導短期內成立
page 3	日移民瓊島強佔房屋人民憤恨
page 3	美潛艇一隊由小呂宋抵滬即將轉赴青島
page 3	渝江北漢墓現已開始發掘發現各種古器甚多 
page 3	汪兆銘由粵返寧閩開討汪大會
page 3	複製汽車輪胎南僑慰勞團員發起組廠已在渝開會推定負責人
page 3	滬租界當局抑制物價高漲令各米店一律標明價格公共汽車再度增費
page 3	滇北元謀縣發現鹽滷現籌備設井採製
page 3	日本的閨女怨軍閥黷武佳期盡被耽誤寄情職業生活仍難維持
page 3	甘肅推廣植棉省府擬定三年計劃將闢棉田五十萬畝 
page 3	甘青慰勞團赴綏西勞軍
page 3	湘新縣制分三期實施
page 3	粵省政彙聞
page 4	英海軍深入丹挪海峽切斷德挪交通波羅的海亦佈水雷德艦連日損失甚重
page 4	英王電慰挪威國王保證英法政府盡力加以援助
page 4	荷蘭局勢趨緊張日注視遠東荷屬
page 4	挪威奧斯陸區德挪兩軍混戰德軍迫近瑞境圖控制交通線挪威頒發動員令後兵力日集
page 4	美總統痛斥德非法行為如欲保持人類文明必須尊重他國獨立
page 4	日蘇商務談判毫無結果日代表團首領黯然離蘇赴瑞 
page 4	英駐丹公使由丹京抵海牙事變時會為德軍扣留使館職員談被難經過
page 4	拉德傳已被黜因對出兵丹挪計劃強調指陳戰略危險 
page 4	西線德軍出擊荷擴大戒嚴區域並宣佈決採嚴格中立比利時政府加緊戒備
page 4	紐約各報注意歐局發展美中立政策不致放棄惟不容戰事延及美洲
page 4	蘇對歐戰置身事外傳蘇已拒絕德借路要求
page 4	瑞典地位更難
page 4	蘇聯中立態度 
page 4	辱命記下蘇芹孫寄自倫敦前駐德英使韓德森之回憶錄
page 4	英機飛挪轟炸德方損失重大 
page 5	新聞新鶴兩路連日戰事仍猛烈我壁壘森嚴迭挫凶焰三埠斗門形勢均安定
page 5	瓊崖石壁富文激戰再起白沙北區日軍被包圍
page 5	我軍兩路猛襲福和衝入蝦米嶺斬殺甚眾廣九沿線破壞日交通
page 5	惠屬沿海私梟猖獗組織武裝走私機關
page 5	惠來海面日艦肆虐砲轟漁船騎劫貨物民眾被殺二十餘人
page 5	新縣制實施後全國社教設施教部已擬有整個計劃 
page 5	忠義英勇崑崙關戰役梁有壽建功
page 5	節省戰時浪費
page 5	禁運桐油原料
page 5	獎卹殉職鄉民
page 5	嚴防偽幣混入
page 5	昆明通信滇緬行十八
page 5	潖河道上盜匪為患保安處派隊進駐
page 5	過分利得稅進行順利全國各省市報繳踴躍現已徵收一千餘萬元
page 5	粵促進徵收舊欠地稅省府訂定辦法施行
page 6	舉行傷兵之友週港推進社廣徵會員預料可超過一萬人
page 6	三門關海面貨船中途被劫現款貨物損失五千餘元四人受傷昨日來港報案
page 6	魚菜雞鴨一週市況比較各貨源源而來市價回跌中澳水路運輸困難甚多
page 6	華人副邦辦港府繼續訓練
page 6	新界農業會集款發展農業計劃完竣即可開始徵募將設農貸部貸借農具等
page 6	文藝協會港分會昨舉行會員大會發表通電向委員長致敬選出本年新理事十四人
page 6	中國經濟學社月底在渝開年會函留港社員赴會及提案
page 6	港政府機關更換電話新機
page 6	世界傑作精華
page 6	龍宮神女
page 6	醫務當局預防痳瘋傳染痳瘋病院設備均經改善病人一律不許中途出院
page 6	人力車夫在香江
page 7	愉園看客皆大歡喜華聯得麗華杯三比一打勝軍聯戰情激烈猗歟盛哉六大錦標全到手
page 7	戰地視察記上半時先輸一隻自由球惠堂德輝靈勝先後立功
page 7	學運籌賑會今午止截報名
page 7	一籠點心
page 7	公開籃球賽今晚開常務會
page 7	九龍學界籃球今日三場第二幕有看頭
page 7	沿海私梟活躍鎢砂落日手由港出口激增三十倍每月平均約四千餘擔
page 7	運滬米石大見增加
page 7	中山淪陷後港澳貿易進出口俱見稅減
page 7	滬各銀行存款約達念萬萬元百分之七十為活期存款各行力謀調整運用方法
page 7	南華泳場昨午正式揭幕
page 7	麗華杯歷屆盟主表
page 7	請假未獲邀准鄭英權倒霉陸軍當局發票嚴緝究辦日間即解回香港 
