page 1	讀收復區視察報告
page 2	國府改組即將實現施政方針定日內公布各方面代表昨在京舉行會議對施政方針內容曾略有修正
page 2	美棉運華花旗銀行證實在接洽中五億貸款我尚未正式向美要求顧翊群抵京與俞鴻鈞有所商談
page 2	鄧菲爾將來華柯克抵津視察
page 2	不愁疾病重訪英倫之八
page 2	全國銀聯成立大會昨晨在京揭幕今日分組舉行審查會議
page 2	蔣主席代電
page 2	晉境戰火蔓延未已共軍攻入臨晉包圍左雲石門戰事轉沉寂國軍進駐勝芳
page 2	政院加強公庫管理實行撥款限制辦法國庫每月支出達八千億
page 2	中國通商等四銀行官股按照淨值收回增加教育經費多設專科學校立法院昨例會通過議案
page 2	黃金外匯買賣處罰條例全文立法院會議通過
page 2	接收旅大問題中蘇協定第四條之規定費考慮龔學遂日內赴瀋將仍返京
page 2	中印擬締商約印政府在考慮中梅農大使定今日來滬
page 2	研究國防科學委會政院例會決議設立白崇禧兼任主任委員油料出口採取定量許可制
page 2	李承晚返滬正候機飛日
page 2	黃埔築港計畫已修正粵將修建河南內港四聯貸款即將分期撥匯
page 2	滬市記者公會函慰無錫人報青記者呼籲保障新聞自由
page 2	雙撚式紡紗機南台任耀峰發明
page 3	締結四強防德公約蘇原則上準備考慮莫洛托夫提出修正補充意見
page 3	蘇聯新時代雜誌評論美國遠東政策新方針用片面行　與強權政治代替國際合作
page 3	從政治思想論美蘇關係
page 3	保持綱鐵生產日廠化整為零
page 3	德境交換情報四強成立協議
page 3	美國會譴責華萊士要求根據洛根法提刑事控訴謂渠謀外國破壞本國政策
page 3	華萊士的答辯斥責反對者自欺繼續為 和平奮鬥
page 3	戴高樂東山再起親出領導法人民團結運動發表文告號召修改新憲法
page 3	法總統呼籲團結修改政制須待明日經驗
page 3	世界分裂引起戰爭
page 3	定十七日前往瑞典
page 3	華萊士將訪捷
page 3	捷總統將赴法簽訂法捷協定
page 3	法國偽大使白里農正法
page 3	義殖民地會議英再邀請蘇聯參加
page 3	清算軍事租借債務蘇聯同意與美談判
page 3	戰略地區申請問題中美代表發生激辯
page 3	美新飛機將出世速率或超過音速
page 3	原子筆大王完成環球飛行
page 3	關於日本賠償數額麥帥堅持兩項原則允許日本留存維持最低國民生活水準之產業水準以上之資產由各國分配
page 3	邱吉爾將赴法領受軍事獎章
page 3	史達林看美記者認為對蘇無好感司徒森在招待會上透露
page 3	法願投資蓉市建設鋪設無軌電車設計完成法銀團工程師買善納談話
page 3	敵偽產業事件訴願管轄等級更改政院另行決定分令遵照
page 4	工人收入優於戰前市府發表工資抽查統計報告工作時間有仍達十二小時者
page 4	公教人員日用品分由六機關撥發查詢應直接向各該機關接洽
page 4	解總留滬人員准增二人
page 4	潘弗德來滬洽運中共區物資事
page 4	聯總捕魚配給六家醫院
page 4	考察黃汎團員一部今日返滬
page 4	官有債務清理法租界華警儲蓄證本月底前向地局呈驗
page 4	電車司機判處徒刑職工會不服
page 4	失業工人試濬河道真如江灣楊涇已有六百名工作
page 4	修錶匠復職被毆大光明錶行撕毀社會局通知
page 4	泰豐搪瓷工人前日怠工社局召集調處
page 4	妻變了心與理發匠接吻送局拘役一天
page 4	兒童福利促進會今晚舉行成立會
page 4	市長盃籃球賽華聯壓倒明星幼級盃昨揭幕中法告捷女子組綠隊大敗女青紫
page 4	韓國漢城足球隊今日下午戰鐵路
page 4	青中罷教解決無望教師學生堅持成見
