page 1	從國大看國事
page 2	總統選舉定今天舉行國大通過臨時條款案
page 2	臨時條款全文
page 2	總統選舉結果今午將可揭曉
page 2	副總統競選人日內交換意見京中有人推測于右任可能當選
page 2	皖籍學生請願要撤換李品仙
page 2	青年黨聲明不競選副總統
page 2	土地改革面面觀續昨日星期論文
page 2	國代資格審委會昨通過審查報告
page 2	國民黨中監會決定改期召開
page 2	蔣主席在座秩序改觀國代報名號分外清楚
page 2	上海破獲製毒機關
page 2	我向美國訂購飛機第一批昨起飛來華共一百五十架七個月內交完
page 2	台籍國代招待記者報告台胞自治要求
page 2	武大學生為爭公費舉行活命大拍賣成都被捕學生全部獲釋金大抗議各地毆打案罷課三天
page 2	大屋旁蓋小房王寵惠的修憲論
page 2	滬郊發現股匪
page 2	北大休罷平被捕學生十人獲釋
page 2	白吉爾談到滬任務視察碼頭倉庫等情形作運輸援華物資準備
page 2	積石山脈所有山峰高度都不過二萬呎央航陳文寬昨在穗談話探險專機今由穗來港轉台
page 2	濰縣激戰鄭州情勢轉弛冀境國軍進駐易縣安新傅作義昨飛太原訪閻錫山
page 2	澎湖漁業急待復興
page 2	陸軍在鄉軍官會正式成立
page 2	汽車牌照廣州行　定期檢查
page 2	粵穗教授聯誼會昨正式成立選出負責人員
page 2	黃金圍堤工不知那裏去
page 3	西歐五國組成國際內閣實施布魯塞爾同盟公約擬設立軍事委會執行軍事條款
page 3	今日的加拿大
page 3	美關懷義選民續以物資相贈
page 3	義普選熱烈進行人民關心國運投票踴躍三十三萬軍隊維持秩序
page 3	解散日議會左右派同意
page 3	日本全國人口總數七千餘萬
page 3	蘇停止沒收德人財產聲明納粹黨員財產交還德人奧境公路交通統制撤銷
page 3	楊光泩哀榮菲紀念塔揭幕
page 3	戴高樂活動要求快點舉行選舉願與各黨合作反共
page 3	安理會停戰令未生效巴力斯坦阿猶續厮殺阿拉伯各國揚言派軍助戰
page 3	解決喀什米爾糾紛安理會提出新辦法主張印巴停戰舉行公民投票
page 3	真納政治旅行博取邊境藩邦人民好感
page 3	看日蝕美科學家在各地設營
page 3	我各教會大學分用美國設備去年共值五十萬美元
page 3	美通貨膨脹惡化杜魯門呼籲遏止
page 3	西貢情調
page 3	鑾披汶花樣多領導成立所謂勞工聯盟標榜社會主義學英工黨新內閣命運要看各國眼色
page 3	英法締訂協定互相使用機場
page 3	德國小姐未嫁先死英王夫婦銀婚預習
page 4	宏大建築無鐵不堅人體組織無鐵不壯
page 4	昨日清晨劫案兩起深水埗吳德生損失近二千元三輪車夫家竟也有人去光顧
page 4	本港犯罪統計三個月來重大罪案三千多件已比去年少了
page 4	夜襲私寨每晚五次
page 4	抄獲走私黃金一年多來值四百萬元
page 4	宋子文在治牙病每天去養和醫院
page 4	岑載華盧香海昨日離港赴英統制官谷利等同行
page 4	喜布郎警司下月赴星結婚
page 4	華商總會今開幹事會
page 4	洋紙商會研究債務法例
page 4	司徒的秘書自廣州來港
page 4	灣仔之夜上帝下班了把灣仔的統治權交給了撒旦
page 4	服務渣華輪船卄八年老海馬即告退休
page 4	法駐越專員代表加普昨日返越據說他未見過保大
page 4	工藝訓練所畢業禮昨日在公教華人俱樂部舉行成績好的已做外婆的學生
page 4	婦人被推下水少年自認失手
page 4	麗池花園月底開放泳池泳棚餐室舞池在夏天消暇的好地方
page 4	水師警署發現浮屍
page 4	主任無女收養棄嬰
page 4	珍奇鳥獸一船明日過港運美
page 4	惠陽商會理事長許讓成蟬聯
page 5	中港協定簽訂後港方人員經費增加葛量洪說目的完全在協助中國
page 5	廣州汕頭商情
page 5	潮汕糧荒嚴重田少人多年缺五百萬擔天久不雨每石價千萬元
page 5	經濟要談
page 5	菲律賓各地華僑營業困難成本高市場淡木器業虧損重
page 5	穗進口商訴願勝利
page 5	廣州商情一週
page 6	港僑參加全運會各項選手報名截止除游泳外名單多內定籃球隊參加大有問題
page 6	快活谷兩幕好戲東方勝星島獲本屆乙組足球綿標表演賽聯隊大勝傑志
page 6	定棠表演出色星島球運不佳
page 6	五十八國參加世運
page 6	參加選手全部名單
page 6	鄂省北平預選破紀錄
page 6	傑志淨輸七球
page 6	第五屆青年節粵穗舉行單車競賽全運選手第二天測驗
page 6	網球雙打賽今天有四場
page 6	菲華僑選手月底返國陳掌諤抵滬報到籃球隊泰半群聲選手
page 6	全運大會場修葺將竣工各組工作已開始
page 6	昨天公開籃球三場比賽強弱懸殊
page 6	參加全運各單位陸續注冊報到東北代表七十三人豫省選手遴拔完竣印尼華僑動程返國
page 6	談足球選手
page 6	南華會舉辦學界排球賽
page 6	馬華三選手今日可抵港
page 6	滬足球田徑選手名單已公布足球隊以東華為骨幹樓文敖資格仍是一謎
page 6	學界籃球賽今日初級兩場南華仿林有劇爭
page 7	自衛變成自殺開平大塘村怪劇鶴山自衛隊越境剿匪因誤會打死自己隊員牽走村民耕牛還殺死一牧童
page 7	中山農民逃賦新法在高山之上設立瞭望哨見徵糧者來大家即逃跑
page 7	志願兵有錢也難買新會強徵中籤壯丁
page 7	你去我來韶庾路上土共關卡消滅又有貌似團隊者在收稅
page 7	蒙面奇賊原是甥婿中山一盜案破獲
page 7	冒名發喜柬收受禮金參議長銀行經理等都受了騙無錫一騙案不少人啼笑皆非
page 7	東江土匪五百餘人投誠
page 7	中山沙田待整理胡善恆親往視察
page 7	韶關拐風熾小孩失蹤日有數起
page 7	公務員兼保長內政部通令鼓勵
page 7	滬三輪車夫以關金討價
page 7	警局要捉麻賊興寧麻子遭殃
page 7	瓊島人事有調整說
page 7	大批新式兵艦準備開駐海南
page 7	三名日本人受聘到瓊島
page 7	廈門發起勞師運動小學生捐米給老師
page 7	圍城臨汾即景每天要挨千多砲彈老百姓也參加作戰婦女小孩則修機場
page 7	桂省治安近貌
page 7	市長送書選擇自由
