page 2	社評美國擴大國防生產
page 3	東條封美妥協姿態美國反響極為冷淡一般認太平洋局勢更見沉重
page 3	日軍閥目的不達將切腹自殺美國報紙評論一針見血
page 3	美輿論督促政府採取更嚴厲行動
page 3	倫敦泰晤士報評日假面具揭開期望民主國家團結一致一切安撫政策付之東流
page 3	侵華專家入閣欲以全力解決所謂事變滬外交界觀察日閥動態
page 3	東條與東鄉
page 3	荒木有感而言反對依賴外國斥責一般失去靈魂者
page 3	滬寧滬杭沿線我軍異常活躍浙東我一度衝入慈谿
page 3	鄭州近郊激戰我軍攻佔要點
page 3	胡大使等電唁羅文幹氏家屬
page 3	澳駐華公使今晚抵陪都
page 3	粵敵二萬集中待發澄海登陸敵被擊退
page 3	澳總理向國人保證決心拱衛國土海陸空軍已大見增強將與主國密切聯絡
page 3	日本提摩爾間空線首次飛航
page 3	銅梁造紙廠已開始出產
page 3	天津物價飛漲未已北平敵偽禁用銅鐵
page 3	我與利比里亞訂立友好條約已在葡京換文
page 4	紅軍英勇反攻傳加里寧已經克復莫斯科西戰事仍烈
page 4	蘇軍堅守兩月後奉命退出之俄底沙
page 4	美國撙節政費應付國防支出
page 4	美紅十字會捐助歐亞藥品兩年來約五千萬
page 4	美製鎂工廠突發生爆炸損失千萬以上
page 4	大西洋之戰德又稱告捷
page 4	威爾基演講美必須行動軸心任何一國勝利亦足危及美國安全
page 4	英蘇軍隊已退出德黑蘭英軍已開返哈馬頓
page 4	率德國民族性二
page 4	德國財政金融底枯竭二
page 4	美國民意贊成武裝商輪克爾奈事件德仍力抵賴
page 4	倍文演講勉努力生產以應付歐亞危局
page 4	英空軍轟炸義大利命中魚雷廠及兵工廠
page 4	美赴蘇代表團已安返美國英空軍次長巴爾福同行
page 4	挪人不顧壓迫拒絕為德工作
page 4	西北大學獻機運動
page 4	澳女作家來華
page 4	湘省農民踴躍獻糧
page 4	張嘉璈赴筑出席工程師學會
page 4	救濟我難童美藥品運華尚有大批儀器
page 4	荒木之言
page 4	傳蘇軍克復加里寧
page 5	粵省積極推行實施戰地新縣制撥款廿萬充為補助費鄉鎮公務員提高薪給
page 5	南路陽江章畬鄉敵軍滋擾被擊退婦孺受傷二人劫去豬牛十頭雷屬各縣治安情形良好
page 5	普通考試各類合格人員揭曉
page 5	陽江奮興中學學生請纓殺敵茂名各鄉壯丁紛請服役鄉長十餘人一併受嘉獎
page 5	星坪公路短期內可通車
page 5	粵勸募戰債成績良好開平普寧均超出原額
page 5	粵省發動冬耕耕種植物以麥豆等為生經費百萬業已開始應用
page 5	琶江民眾英勇守土
page 5	桂自本年秋季起種毒者一律處死煙毒檢查隊即將出發巡查
page 5	赤坎發生巨劫案同記銀號二十餘萬
page 5	韶關營業稅收入激增每月境至十萬元
page 5	粵新運會訓練婦女人才舉辦婦女高級訓練班
page 5	廣州灣商情一瞥布價格高漲
page 5	白沙巡禮
page 6	停泊九龍灣內美輪昨日突然發生火警該輪船係載有危險物品
page 6	中區昨晨舉行白書動員演習計分上中下三班出勤試驗空襲下各種工作
page 6	洞房慘變花燭之夜新娘自殺
page 6	文藝協會昨舉行魯迅紀念晚會茅盾等三百餘人參加馬監主席並致開會詞
page 6	防空工程案金比路作供
page 6	港島巴士交通最近可望改善中華公司向美訂購新車行車接受擁擠情形當可減少
page 6	旬日來柴價又見猛漲每元二十四斤
page 6	星限制售酒時間港無意施行因各方面反對限制
page 6	女工開夜工各廠請求多獲准
page 6	文咸街樓房煙突傾圯釀成一死兩傷慘劇工人正在拆卸煙突時磚牆忽塌下致被壓倒
page 6	製棺木工人三百人罷工影響棺木價格上漲
page 6	大光燈跌下焚斃女童
page 6	新界農業會計畫發展新界農業派員調查農產實情
page 6	警察當局肅清賭風決取締蔴雀館家庭消遣不准超過兩權十一月間即可頒令執行
page 6	九龍巴士學生票增加每日乘車次數以前每日四次改為六次新辦法將由下月起實行
page 6	國貨簽證會名單呈經濟部包括各方人物
page 7	聖約瑟軍心渙散星島生振虎威六比二上半時約瑟先輸三球戰況平平星島雖贏還須加油
page 7	鐵城杯賽今晚兩場
page 7	光華先盛後衰蘇軍打贏仗五比二光華曾以二比一占先黃瑞祺柯路特被罰出場
page 7	光士大戰別記三人受警告兩人判出場全場空氣惡劣印象至壞
page 7	澳門足球聯賽電燈打和無畏戰情激烈情勢異常緊張預賽杯日間即補決冠軍
page 7	鍾聲週年水運會昨日功德圓滿吳年出色劉鉅源夠威風劉煥桃扶病獲三項冠軍
