page 2	社評為華僑問題說幾句話
page 3	我軍反攻翁源獲勝粵北戰局愈見穩定傳西尾板垣已到廣州指揮桂南連日報捷又克復蒲廟
page 3	中央國府慶祝新年林主席元旦獻辭
page 3	行政院通過粵省教廳長由黃麟書繼任並任張君度孫仁林為廣西省政府委員
page 3	孤島元旦國旗飄揚全市市民興奮異常
page 3	國府援勳
page 3	滇專科以上學生向龍主席獻旗並通電全國表示擁護
page 3	失業自殺滬一店員跳樓
page 3	滇大專校長電謝蔣委長
page 3	立委梁寒操談粵桂戰局日冒險深入損失慘重我沉着應付勝券可操
page 3	監院本年計劃擴大視察工作分四大類切實執行
page 3	國代通訊處議決組研究會擔任研究憲草
page 3	日機一架在湘南被擊落
page 3	滬永安公司開除職工起風潮大新有同樣醞釀
page 3	汪兆銘登場又發生阻礙國旗問題遭日軍人反對
page 3	全國各縣開始實行新縣制政院秘書處長蔣廷黻談各省計劃周詳結果必佳
page 3	桂市烟民限於本年內戒絕土膏店合併營業
page 3	滬日憲兵阻止法租界行人由新開河入南市
page 3	吳忠信抵江孜沿途大受藏民歡迎本月十日可抵拉薩
page 3	粵婦女會分發寒衣捐款鼓勵將士抗戰
page 4	美國會昨開幕對日將採強硬步驟一般輿論愈見激昂王外長日前對美廣播
page 4	北海上空英德空軍鏖戰英轟炸機以寡敵眾
page 4	英法義大使紛離蘇返國英蘇關係恐將逆轉
page 4	蘇芬各線均有激戰蘇砲隊猛轟曼諾海姆線德否認派專家赴蘇助戰
page 4	巴爾幹各國外長傳將舉行會議
page 4	軍委會發言人舉例說明日本最近之窘態
page 4	一年一度之蘇日臨時漁約已在莫斯科簽字傳劃界談判亦將進行
page 4	英大使過港今晨乘中航機赴渝美大使亦動程南下
page 4	國民外交協會今日招待法大使並加聘分會籌委
page 4	土地震災情極重林主席致電慰問渝外交回教兩協會亦分訪土使表關切
page 4	日向埃及遊說締結友好條約
page 4	德國發出牒文恫嚇北歐國家謂不能容許他國援芬孫科觀察蘇芬戰事不久結束
page 4	阿部極力活動圖作最後掙扎謂倘議員進行倒閣決將不惜解散議會
page 4	紐約新年死傷三百多人
page 4	長沙日清碼頭
page 4	粵北戰局穩定
page 4	美國之主要敵人
page 5	日艦騷擾中山邊境我三路反攻江會戰事猛烈日軍遭痛擊吳飛接任中山縣縣長
page 5	我軍出擊潮安韓江砲戰激烈
page 5	韶關人口物資疏散完竣犯翁源日軍勢力孤單我援軍開到戰局轉穩
page 5	西南剪影七李霖燦雲南麗江到中甸所見
page 5	西康日記三
page 5	綏蒙名盟旗長官公署條例國府已明令修正
page 6	三千鄉民昨近深圳中振會派員往救濟軍政協力維持地方治安甚佳
page 6	粵北戰事關係港韶貨運梗阻北江某處交通已被封閉前日當局封鎖港口六小時
page 6	香港大學入學考試六月三日舉行並設獎學金額
page 6	西貢警探追蹤奮勇緝獲刼匪截刼漁婦失事棄槍潛逃鄧探追入山中將匪捕獲
page 6	中華回教青年會歡迎順教學者來港馬堅王世明等均有演說漢回兩族同肩建國大任
page 6	僑胞在港設立香港火柴工廠該廠經理昨談組織情形日間即可開工製造火柴
page 6	僑胞慶祝元旦市面情形熱鬧各行休假分別舉行檢閱升旗團拜
page 6	三文化協會
page 6	港幣貶值說不確限制港幣購英鎊非事實匯豐銀行電滬行闢謠
page 7	埠際賽小組委會今晚召開會議商討派隊赴滬及人選問題週末銀牌賽香港會戰蘇軍
page 7	伯南杯義賽結果仿中完成霸業黃冠章代表杯主頒獎品籌得國幣一萬成績美滿
page 7	港足球健將在法戰線上
page 7	銅鑼灣歸來元旦足球籌賬慈善賽港聯隊戰和軍聯
page 7	南華體育會民眾歌詠班定十日開始
page 7	澳門復中首屆校運閉幕
page 7	昨晚女子籃球勵志輕取南華
page 7	羅斗文昨已返香港
page 7	滬耶誕足球義演華聯敗於西聯二比六輸得淒淒慘慘
page 7	南方小球隊昨勝同濟淨取三比零
page 7	外匯牌價無變動英匯美匯市況均呆滯
page 7	股票市況堅挺各種低價股票多數趨漲買戶踴躍成交十萬餘元
page 7	八九金市仍極黯淡
page 7	一九三九年度港金融變動情況世界風雲險惡安渡難關
