page 2	英決撤退上海駐軍
page 3	英政府向日本通知撤退華北上海英軍東京續有反英運動事件發生越南局勢仍緊法日繼續談判
page 3	英國眾院議員質問緬甸禁運
page 3	緬文報紙著論批評禁運問題
page 3	粵積極整頓軍事與財政黃麟書昨出發東江視察
page 3	各省銓聚處管轄範圍銓聚部予以調整
page 3	上海各業態度嚴正絕不接受非法命令
page 3	　毛羽豐在滬被擊斃
page 3	尼赫魯致函緬中文協促中印緬團結 
page 3	戰時利得稅開徵成績極佳當局促進社會對該稅正確認識
page 3	滬洋商華文報暫受檢查面目為之改觀
page 3	川物價平準處召開會議第一區縣長均參加商討平準米價問題
page 3	上海兩租界作特別戒備日方特務人員又在法租界搜查新華化學廠長被綁
page 3	陝合作事業突飛猛進全省有單位九千餘
page 3	邊疆各族青年前往內地求學蒙藏委員會獎掖不遺餘力 
page 3	法使夫婦今日由滬北上避暑
page 3	日機約百架又飛渝肆虐曾在南岸各地投彈被我空軍痛擊逸去
page 3	對殖民地問題德日利益衝突日內瓦德文報紙著論稱歐洲殖民地應屬於歐洲
page 3	湘贛豐收
page 3	日本改革文官體制內閣通過新規章
page 3	豫鄂殲日經過記五
page 3	日東亞會向當局請願要求對英採嚴峻措施
page 3	越南當局積極準備中將抵抗任何可能侵略
page 4	鄂中我軍攻入隨縣焚毀日兵倉庫一座南昌外圍仍被我控制
page 4	英無意變更印現存地位解決基本憲法問題將於戰後從長考慮
page 4	印度報紙反應不一
page 4	英美合作製造坦克英以經驗所得協助美國籌劃
page 4	東非義軍攻勢已轉疲里比亞上空發生激戰
page 4	美蘇關係力謀改進中雙方會談時態度極友好日本對此表示擔心
page 4	溫莎夫婦安抵西印
page 4	羅匈初步談判完竣保代表團抵達羅京
page 4	羅馬尼亞限制猶人
page 4	英國向羅強硬抗議
page 4	最高戰事會議英決暫緩設立各自治領未便派員參加
page 4	法萊辭職業已生效 
page 4	美參院援權總統動員國民軍命令效力及於菲島海長要求延長服役年限
page 4	日本發現地震預兆溫泉騰沸
page 4	大橋忠一任外次不夠資格日內閣特予陞遷
page 4	乾著急
page 4	誰能抹煞
page 4	購存外幣者應有的認識
page 4	德襲英護航隊海空軍大混戰德機被擊落約六十架英輪三艘被魚雷擊沉大批德船隻集中法北諸港
page 5	馬君武靈柩今日安厝良豐雁山廣西各界成立治喪處九一八全省開會追悼
page 5	白蕉日顧問縱酒演活劇酩酊大醉殺性頓起玻璃門窗悉被擊破
page 5	一位熱心工合的英國朋友艾黎先生
page 5	桂省解決淡月政費准向廣西銀行借款
page 5	花縣俘虜日兵柿原文吉之語日本全國生活高漲　
page 5	西康日記一四一第七編由梭坡到九龍
page 5	粵省半年來華僑歸國較多一至六月共逾萬人
page 5	廣西設立合作金庫資本增至一千五百萬一日起籌備月底成立
page 5	日本南進聲中泰國陳兵邊境鑾披汶稱係防越南意外泰越國境又在醞釀問題
page 6	警察總監談本港情形需要時保衛團結執行職務分在各區警署之下服務人數千名報酬等級未定
page 6	團員資格
page 6	組織辦法
page 6	八一三三週年僑團聯合紀念會華民政務司已批准人情超立社義賣經籌備就緒
page 6	廣州大學附設僑民教育師範科呈准僑務委員會及教部即將招生課程共分四組
page 6	八一三售花選舉舞后成績最佳者當選中國婦女兵災會舉行 
page 6	天廚味精廠酸鹹廠今日開工製造
page 6	航政署布告廿七晚封鎖港口船隻按時停駛掩蔽燈火各處燈塔燈光概行熄滅
page 6	揚名聲顯父母代督談封翁軼事擅長劃艇及拉克特球戲不畏困難打撈沉船成功
page 6	慰勞空軍
page 6	每日快訊
page 6	難民營人數
page 6	閩國貨館
page 6	僑胞對淪陷區匯款我財部訂定辦法匯寄香港中交兩行轉解或香港中國郵匯局轉匯
page 6	港僑歸國緩役辦法有港生證明得獲優待粵軍管區人員發表談話
page 6	大埔墟慘案又掘出一童屍
page 6	我政務巡視團談視察各地印象人民情緒甚佳令人感奮　
page 6	南僑慰勞團五子俊抵港沿途觀感極佳日內由港返越
page 6	越南形勢緊張港越貨運銳減運港米石近亦減少一半越當局擬限制米石出口
page 6	港百年紀念紀念郵票本年十月可由英運到雙色套印款式共六種
page 7	今天棒球聯賽港啤決戰岷甸奴下午二時半在加山舉行 
page 7	高級學界籃球思思奪得亞軍昨日決賽中力克南華結果五十二比二十八
page 7	星島歸鴻
page 7	東方遠征追記
page 7	仰光第二戰輕取友聯隊
page 7	水國總動員中西健兒分頭廝殺今天共有三場大戰
page 7	外匯牌價昨無變動美匯仍緊申匯穩定
page 7	八九金市昨日先穩後堅
page 7	股票市況黯淡昨日買賣益見寥落
page 7	國幣市穩
page 7	綜觀兩賽過程
