page 2	社評德蘇之謎
page 3	晉南我軍繼續掃蕩風陵渡北戰事猛烈南昌以西敵軍侵擾被擊退
page 3	蘇門答臘華僑決定助荷抗日日政府致芳澤訓令已發出
page 3	菲島禁運二
page 3	瑞典貨輪寧波號駛入新加坡時浮雷突然爆炸
page 3	英援華會籌款救濟我難胞倫敦舉行一碗飯運動顧維鈞大使將趕往主持
page 3	美商界權威批評蘇日商約雙方互相交換物資能否履行頗成疑問
page 3	內政部修訂戶籍法俟經政院通過即令全國實行
page 3	育強化的真義
page 3	野村晤韋爾斯磋商美油運日
page 3	平準會美委員福克斯等抵渝與我財政當局商幣制
page 3	松岡觀見日皇報告時局
page 3	福州情勢日見惡化餓莩載途死亡枕藉
page 3	粵省檢查入境旅客
page 3	教育部決在川陝增設兩獨立學院
page 3	推動造林農教兩部合作訓練幹部人材
page 3	伊盟圖王勗勉國人防範日本離間陰謀
page 3	日機濫炸陪都投彈百枚揚子江岸起火滇南鄂西各地亦有空襲
page 4	羅斯福總統下令凍結德義存金總數約達七萬萬元
page 4	美國會人士贊成武裝商輪並表示擁護國務部任何行動德空言恫嚇美不予重視
page 4	美國船塢迅速擴充生產本年完成商船百二十五萬噸明年生產力量將可增至三倍
page 4	紐約海港進行佈雷
page 4	西普勒斯加緊準備
page 4	摩根韜演講與暴力週旋
page 4	羅斯福總統週末安居白宮以從事休息
page 4	中東聯軍深入敘利亞英方仍望避免流血與法談判和平佔領
page 4	德向格拉尼曾提出苛求結果促進伊政府之分裂
page 4	多布魯克英軍採取攻勢衝破德軍外圍防線
page 4	伊朗近東的一塊肥肉
page 4	德垂涎法物資現正努力獲取維希合作
page 4	德國在北歐佈置軍事行動波羅的海軍運頻繁土認蘇德即將舉行談判
page 4	英相邱吉爾膺美大學博士學拉英相將特別廣播演辭
page 4	地中海英潛艇擊毀敵輪八艘
page 4	美新驅逐艦兩艘下水建築期間未及一年
page 4	英機飛法港轟炸德國艦隊香霍斯特船艙中彈波隆船塢引起大火
page 4	間接的答覆
page 4	美國工潮漸趨平復
page 4	美撥巨款建新機廠
page 4	一幕傀儡劇克羅西亞參加軸心
page 5	日軍再犯斗門涌口一帶激戰中東江方面我重新部署準備反攻港韶交通線
page 5	戰時學府剪影中央政治學校
page 5	工合運動在鄂化已建立起強固的經濟壁壘發展自力更生的生產大計
page 5	桂短期營業稅另訂徵收辦法
page 5	鬱林自興莊主見財起意偽稱匪劫圖侵吞巨款梅菉商人損失十餘萬
page 5	粵南嚴厲執行經濟反封鎖遂溪籌設檢查所蔴章設立驗貨場
page 5	和平縣籌辦縣立高中
page 5	韶關新建設開闢郊外公園市場加強防空消防設備
page 5	潮安縣組訓潮汕路職工
page 5	粵技工養成所籌辦四工廠火柴廠將於日內成立省振會增加義民膳費
page 6	菲總統奎松等隆重歡迎郭大使柯立芝輪返港旅客談話
page 6	港百餘學校募債熱烈將來成績可觀
page 6	港大副監督史樂施論王濟遠之畫王氏畫展定明日閉幕
page 6	金銀貿易場昨開週年大會選出第二十五屆新職員由鍾達清繼任本屆主席
page 6	私人汽車登記祇得三千餘輛計私人汽車共有五千七百輛下月起駕車證須貼相片
page 6	中華文化學院即可成立香港設通訊處
page 6	穀米官營今日開始各批發處同時成立
page 6	澳門孫公館失竊案已被完全破獲主要四竊匪先後均落網大部失竊賊物多已起回
page 6	使偽舞票警署屢有破獲不法青年所為
page 6	當局增貯菜油牛油已存菜油十二萬磅
page 6	未登記牙醫二百餘人擬呈請准補行登記牙醫生亦須繳納溢利稅中華牙科會促會員注意
page 6	標準時間昨實施大致進行順利赴澳輪船按新時間開出致有多數搭客未能趕及
page 6	鶴鳴鞋帽店昨日招待各界
page 7	漆咸道場人氣狂熱港啤演出精采結果七比四打倒愛殊和
page 7	漫談拳擊
page 7	南華隊連戰皆捷二比零勝庇能聯
page 7	協會召集六會代表舉行座談會十九日下午在勝斯酒店討論修章及六會加入事
page 7	中學籃球賽香江得利平正漢華均捷
page 7	中華溜冰場戴德撫夫人主持開幕剪綵禮到場觀禮中西來賓達數百人
page 7	中青荔枝角泳場昨午揭開幔幕水藝秩序豐富情況熱烈林子豐主持典禮
page 7	居聯水藝增加新項目
