page 2	社評美日關係如何
page 3	晉南展開猛烈戰事日軍三路侵犯垣曲浙東加緊反攻諸暨城郊激戰日方承認我軍已將日軍包圍
page 3	泰越已簽約日方發表內容一斑
page 3	松岡自鳴得意又作無聊宣稱
page 3	日廣知報又發囈語
page 3	荷印防務鞏固荷外長申明抵抗決心日侵荷印以七月為險惡關頭
page 3	林白親德多數美人之意見
page 3	日本國富消耗測定二
page 3	美出口統制展至菲律濱陸軍部向國會請求
page 3	日歹徒林雄吉被判苦役二年
page 3	日機襲渝昆
page 3	對史達林出任要職各國觀察紛紜不一
page 3	英使鄭重申明對華友好政策保證滇緬公路繼續開放
page 3	王外長宴魯斯夫婦
page 3	中華海員黨部擴大徵求黨員
page 3	滇省治績雷殷視察後談話列舉六大優異點
page 3	中美英平準基金將穩固法幣地位摩根韜向眾院報告
page 3	褒揚謝晉元
page 4	美國是否干涉歐戰民意信賴總統決定羅斯福下週將有闡明德對美抗議和留德輪事
page 4	英機猛炸巴格達格拉尼傳已出亡德加緊煽動阿拉伯民族反英
page 4	法德繼續談判維希預測將再成立協定並謂達蘭已越過一難關
page 4	羅馬大學奉命停課傳因學生反德
page 4	抵抗德國暴力澳決再接再厲佛敦表示將作更大努力澳軍統帥重申勝利信念
page 4	羅斯福總統胃病未愈遵醫囑靜養未起
page 4	挪人對德並無好感
page 4	美洲國家商海軍合作拉丁美洲十一國代表齊集華盛頓從事商洽
page 4	哈里法克斯演講英國必勝理由油銅樹膠較德豐富最後勝利有賴美援
page 4	第三宗英國間諜案一工程師被判死刑
page 4	荷蘭被侵週年荷總理告國人荷人精神永難征服
page 4	太平洋上又發現襲擊艦曾追擊由美駛澳荷輪印度洋亦發現德巡艦
page 4	德機不斷飛英被炸範圍相當廣大德機被擊落十四架
page 4	德對多布魯克屢次進攻不逞德以噴火機進攻被英軍砲毀
page 4	復興計劃希望英方貸款
page 4	蘇官方否認紅軍集西境柏林否認蘇德舉行談話
page 4	泰越和約成立
page 4	夢話
page 4	英大使之聲明
page 5	米商囤積居奇決予嚴厲制裁李濟琛在紀念週報告
page 5	粵省教育廳大量訓練師資小學教員登記逾萬人訂定中學暑期工作
page 5	泰米統制出口之內幕續曼谷二日特約航訊
page 5	粵省上月份軍事動態余漢謀出席紀念週報告
page 5	百萬振款分配決定
page 5	五月戒嚴期內滬租界加緊戒備各交通要道均置障礙物防止不法份子混入蠢動
page 5	廣州市黨部恢復工作在三水蘆苞辦公
page 5	廣州灣日用品價格日趨高漲      
page 5	戀愛問題桂青運週辯論會席上一場興趣濃厚的舌戰
page 6	澳督夫婦昨午抵港本港官紳熱烈歡迎
page 6	中華基督教協會籌募戰債百萬元何會督等昨開首次會議戰時公債經募須知發表
page 6	學生論文比賽今日舉行基督教學聯主辦
page 6	商會東院四大公司等籌遍設官米零售站請各商號借給地址設立基督教團體今日代售官米
page 6	高中畢業學生須頒發訓導證學生升學就業均須繳驗評定學生思想行為學業
page 6	衛國綸被害案今晨再提審
page 6	記者換物會昨午開幕到場換物者極眾
page 6	港一碗飯運動順利開展中華商會特委會定期開會五行商會勞資熱烈贊助
page 6	張書旂畫展開幕盛況參觀者甚眾
page 6	化粧品稅商人望改為入口稅呈文早已遞交政府
page 6	港府統制魚價組織有魚類評價委員會規定四種普通魚類價格
page 6	港粵女青年會智育班續開課各班上課時間表
page 6	便利居民逃避空襲在郊外興建疏散棚空襲時應讓老弱先進防空洞防空總監昨對記者談話
page 6	嚴懲字花師爺遞解出境陳希李平被重罰
page 6	九龍二路巴士終站延至荔枝角游泳場現時正在積極籌劃中
page 7	加山麓人氣狂熱學運幔幕揭開龍啓熙跳高平全國紀錄明日一萬公尺跑提前上午舉行
page 7	九龍溜冰義賽定今午舉行由正午起至晚十一時止看誰獲膺溜水皇后榮銜
page 7	球米擠滿卜公園培英贏東方三比一勝在作戰精神好東方中堅無人輸得太慘
page 7	足球總會月會十四召開會議
page 7	銀行游泳場定明日開幕
page 7	外匯牌價俱無變更申匯市況復略好轉
page 7	股票略形穩定昨日成交一萬餘元
page 7	揚鞭集
