page 2	上層智識份子的責任
page 3	鄂豫邊境戰事激烈日軍企圖又被粉碎三路侵犯均被我分頭截擊 
page 3	所謂發還產業係騙人勾當日偽向業主索巨額報酬華北日人獨佔機關林立
page 3	汪派在滬黨羽將續造恐怖案李逆士群抵滬計劃一切偽華興董事被槍擊斃案
page 3	滬交通巡捕被激開槍擊傷司機乘客
page 3	喜饒嘉錯在蘭州演講
page 3	加緊提倡滑翔運動李大經談韋超殉職經過
page 3	政府對於幣信具維持決心財政部電滬市金融界否認有限制提存之說
page 3	行都盛會八團體歡送邵大使
page 3	緬農林部長一行八人抵仰光日內赴行都觀光
page 3	滬匪劫案一銀號被搶六千元
page 3	物理探礦中大教授翁文波等月中將赴西部實驗
page 3	四行總處創設國貨貿易公司資金百萬元總公司設渝並在各省市遍設分公司
page 3	西康省政府發行金融公債省銀行董事長丁次鶴談將用以發展該省之建設
page 3	立法院例會公祭故委員呂志伊
page 3	華北經濟被掠奪實況
page 3	紀念黃自明日行都音樂界將廣播代表作品
page 3	工程師學會廣西分會在良豐舉行會議
page 3	余漢謀報告粵軍事近況我有備無患日不敢來犯 
page 4	美總統突返華府注視南歐局勢德軍集中斯洛伐克匈牙利感深切不安
page 4	英國官方否認曾向義國致諜
page 4	美報呼籲加緊援英法為美洲國家利益計希望聯軍獲得勝利
page 4	挪外長談戰局挪軍實力大部消失侵挪德軍實力龐大
page 4	眾院開始辯論英軍退守經過張伯倫剴陳政府苦衷邱吉爾職權將更擴大
page 4	史托克要求即撥款建艦俾原有計劃迅速施行
page 4	德方宣傳不值一笑
page 4	羅洛挪軍星散潰退
page 4	德機被毀達二百架
page 4	德機配備空中大砲子彈威力極大 
page 4	德權威方面放出聳動消息謂英法對近東早已合謀定期採取某種軍事行動
page 4	希特勒在奧斯陸指揮在挪軍事
page 4	日社大黨分裂勤勞國民黨成立
page 4	教皇斡旋和平
page 4	東南歐之暗流
page 4	英法宣佈軍艦損失 
page 4	荷印現況一瞥三五月一日新加坡航訊
page 4	南斯拉夫處境阽危
page 5	西江局勢趨穩定江會各線對峙中
page 5	白主任報告斥日閥陰謀軍事上已無法孤注一擲企圖挑撥離間造謠中傷
page 5	粵製紙廠試驗成績滿意現已開始製造
page 5	甘肅糧庫農業貸款擬放二千萬元孫友農建議設六大農場
page 5	上海工業發達製品暢銷內地 
page 5	戰區退出員生粵教廳分區舉辦登記
page 5	日反戰同盟巡迴工作團前日過筑赴渝
page 5	桂省府訓勉各縣縣長刻苦淬屬嚴守篾常愛護民眾革除惡習
page 5	西康日記八五
page 5	日機襲筑死傷平民五十餘
page 5	邊疆建設協會一月後成立工作計劃業已擬就
page 6	國民大會婦女代表港候選人大部推出自我介紹者異常踴躍競選分會昨深夜審查 
page 6	西商會呈港政府要求改善無線電禁例收音機多係轉銷中國內地者與外匯若何重要關係
page 6	三文協主辦藝術觀賞會第四次十四日舉行
page 6	名醫黃子方在港病逝救傷救難積勞成疾
page 6	市政衛生局昨日舉行例會
page 6	郵箱發現手槍並另有子彈四十三粒疑與利威行劫案有關
page 6	永年醬油廠港發行處不日開幕
page 6	因騙財嫌疑梁謙武被捕自稱粵僑救濟桑梓委會主席發起歌伶義唱籌款並未公布
page 6	九龍倉散工苦力聯請維持
page 6	陳光甫展期返國下月初始能抵港
page 6	徵求傷兵之友運動婦女委會昨日招待隊長發出證章已逾八十萬枚最近成績麗澤女中最優
page 6	一位踏實的婦女運動者劉王立明會見記
page 6	難民救濟工作
page 6	婦女參政問題
page 6	紀念讓故校長
page 7	公開男子籃球賽今晚展開幔幕南華隊退出僅得一場戰事長虹虹對抗精武勵志
page 7	東方會足球隊週末戰水兵今日中止赴澳積極進行南征赴菲日期未定須候菲方覆電
page 7	九龍女籃決戰培道冠軍思思第二名
page 7	協會去函徵詢三會球員行止試看有幾人能參加和和杯賽三十七人在遴選中
page 7	華人游泳會徵求結束謝雨川第一
page 7	美菲荷匯牌價猛縮英匯沉寂申匯穩靜
page 7	股票市況黯淡人心趨淡買胃疲弱
page 7	八九金市驟見活躍美匯趨緊價格復漲
page 7	南華籃球隊退出敬告社會人士書
page 7	學界排球賽培英奏捷英皇克保羅
