page 1	社評日本開始再武裝
page 2	立院正副院長選舉辦法起草委會反對政黨提名預備會議明晨舉行三次大會
page 2	逮捕提審人權保障謹向司法當軸進一言
page 2	青黃不接之際南京政務停擺高級公務員多到上海看全運青年黨官員也到滬另謀出路
page 2	孫立人昨抵滬將偕布列特赴台
page 2	蔣主席召見白崇禧
page 2	吉爾派屈克談救濟計劃華北救濟工作最為困難汕榕廈青等四地將配米
page 2	美援姍姍而來經濟合作局批准首批物資價值三千六百五十萬美元
page 2	舊帳還沒算清日賠償將停辦我航業界聞訊甚為惶恐請當局向盟總要求續辦
page 2	小麥九千三百噸下月分自美運華
page 2	救濟特捐配額為何上海獨增吳國楨這樣問江庸
page 2	僑胞一批自日抵台在日生活極苦動輒被捕回國時行李很多被沒收郭沫若日籍夫人抵台即來港
page 2	憲政督導委會組織規程草案通過
page 2	各教會大學託事部在美開會
page 2	今日新疆局勢張治中答問和平民主政策不變當局再度致函伊方
page 2	古巴代辦抵滬她是一位女外交官
page 2	金星合月南京市民看奇異天景
page 2	四區軍法執行部擬在漢設巡迴組
page 2	粵省各江水位徒漲水利局表示不會有大患廣州連天雷雨滿街積水
page 2	注意沿水勢保護各縣堤圍堤工委會分電各縣府
page 2	豫西戰事南移川陝鄂邊境防務加強蘇北國軍進駐阜甯城
page 2	荔枝豐收紛上市賤價傷農有誰知荔農在剝削下掙扎
page 2	黃文山返抵穗主張土地改革
page 2	改革縣政快要推動了
page 2	新長沙公司債權人討債開會一番仍無結果
page 2	舞廳壽命還有兩天舞業界正在想翻案文章
page 3	美蘇會談尚無具體跡象杜魯門說照會僅重申美立場美官員表示要蘇先修改政策
page 3	莫洛托夫覆美照會全文對美指責蘇方各點有所辯明但對商談解決歧見表示同意
page 3	美國在備戰上為了想避免經濟危機
page 3	英政府的重擔
page 3	美蘇醞釀談判賴伊深表歡迎
page 3	美蘇外交試深各國抱新希望莫不表示欣慰與歡迎
page 3	保證一個和平世紀華萊士致函史達林要求與美採取步驟制止冷戰發動普遍縮軍停止破壞行動
page 3	日本通信第三國人第三國人兵庫事件續完
page 3	美非美委會作危言說美共黨強大足以推翻政府咨請司法部即開始實行檢舉
page 3	美與西歐同盟聯繫華府正在考慮步驟羅凡特促請參院通過議案
page 3	日本天皇命運憲法專家正在討論中
page 3	百歲老嫗控老翁求愛十齡女孩產男孩一名
page 3	義總統選出老政治家艾諾第當選喀斯貝里請辭總理職
page 3	曼谷劫金巨案黃金五千兩自印運澳門飛機在暹過夜遭遇匪劫
page 3	盟國對日委會會議五十秒鐘
page 3	物禮中有餐刀英王忌諱地板下見錢蘇婦不貪
page 4	華商會函覆林炳良會員大會如期舉行
page 4	商會值理元老準備有所聲明一部人士醞釀非常行動
page 4	工展港代表連日參觀忙
page 4	紀念英王銀婚本港發行郵票
page 4	立法局開會三議員宣誓新遺產稅法昨一讀通過
page 4	新出世紙不註明父母
page 4	東華三院撥款助修堤
page 4	最現代化的校舍九龍正在籌建中
page 4	誰飛暹羅有便宜票
page 4	香樂司的遠見應增加農民漁民收入中間人剝削必須反對
page 4	機場附近海面船隻不得駛入
page 4	霍亂傳染季節已到市衛生局警告居民飲食要小心速注射防疫針
page 4	出租海灘木屋當局公布辦法
page 4	梁小初博士昨抵港談北方教士的苦難亞東基督教會議明秋在杭舉行
page 4	荒唐的強盜二男一女擠在一處警士發現查出手槍女的說男的曾向她非禮
page 4	被劫女子請速報警
page 4	娛樂行失火查不出原因
page 4	麥耀全案工會函勞工處請求協助解決
page 4	十八歲的中國青年配帶十幾年前勳章被人認出帶到警署控罪
page 4	三個歹徒白畫行劫
page 4	青年寡婦阻街六次警士窮困典押制服狗被控告律師辯護
page 4	人力車租談判勞工處定期限
page 5	香港半年來稀有現象黃金美匯同告暴瀉紐約英鎊狂漲巴黎美金急落
page 5	金融市場混亂異常美匯由五四八直落至五三四黃金由三二一元直降至三一○元
page 5	四億餘萬美貨實施後美國經濟合作局的新任務
page 5	金市傳說五花八門
page 5	內匯國幣盤穩申匯最低四一二五省匯最低五一００期鈔最低五二五０現鈔最低五六００
page 5	美蘇準備談判巴黎黃金美元跌價美元值三百三十五法郎英鎊值八百六十五法郎
page 5	武漢銀根昨起轉緊金匯物價齊升
page 5	輸英冰蛋八九兩批各一千零七噸
page 5	紐約商場反映複雜
page 5	蘇聯債券價格上升
page 5	馬尼拉金砂每盎斯八九比索
page 5	保險業增資額財部不准減低
page 5	管理信合社不久可實施
page 5	俞銓視察合作貸款貸額九０五億
page 5	馬來亞三月份椰產出入口統計入口五百八十餘萬元出口五百四十餘萬元
page 5	台幣匯率再升一三一比三二五元
page 5	滬私套港匯案林王公司嫌疑重另案廿三家繼續偵查
page 5	人造絲廠訂購機器限於外匯尚難起運
page 5	五月欠吉利信不信由你
page 5	平津申匯又告緊俏資金南流嚴重
