page 2	近衛有什麼路可走
page 3	犯浙東日軍總潰退鎮海全境漸次肅清上海日方又宣稱任務已達
page 3	桂省府紀念週黃主席報告我準備充足不畏封鎖桂東豐收米價已大跌
page 3	川省今年可望豐收
page 3	日汪談判進行遲緩汪圖求助板垣結果大碰釘子
page 3	滬浙航運尚未恢復
page 3	滬美僑開會將電美政儲促對日強硬汪黨無惡不作反提無理要求
page 3	川縣政人員甄審竣事共一百九十名
page 3	三年奮鬥苦盡甘來澈底勝利業已在握衞司令長官談現階段戰局
page 3	高度酒精滇廠提煉成功準備大量生產
page 3	駐美使節外部否認將有調動
page 3	豫省召開國教會議
page 3	滬郵件檢查日人圖擴大範圍
page 3	張似旭遺體昨在滬安葬中外知名之士親往執紼林主席蔣委長均送輓聯
page 3	科學新發明王守正榮獲中央褒獎
page 3	太平洋美艦作秘密演習另組織機械化陸戰隊為保護西半球之用
page 3	滬搶米案一日內發生三起
page 3	川黨部徵求婦女黨員
page 3	日機的無聊進襲行都不逞濫炸合川綦江
page 3	軍事教育影片中電奉令積極大量攝製預定年內完成三十二部
page 3	行政院例會
page 3	近衛新閣的外交命題近衛新閣的外交原則最可能的是親德義以要挾英美調整日蘇關係以便南進而關鍵還是結束中國事變中國事變如不能結束則一切都成幻夢
page 3	義代辦在桂訪晤黃主席
page 3	龍津日軍陷我重圍鄂中晉西俱傳捷音
page 4	英外相對德答覆拒絕和平建議明知鬥爭損失必重大為保衛自由甘受犧牲
page 4	各方重視愛立拉併蘇柏林權威方面宣稱並不影響蘇德關係
page 4	赫爾闡明門羅主義斥日盜用名辭美洲關係以獨立完整為根據不類日本祗顧目的不擇手段
page 4	赫爾呼籲建立經濟國防制度
page 4	汎美會議任務重大
page 4	美擬貸款協助南美
page 4	美古烏等起草提案
page 4	英在愛爾蘭海面佈置水雷網往來船隻皆須繞道 
page 4	近衛新閣成立後新政綱尚未發表小林主張日圓與馬克聯繫
page 4	近衛目標在取政權新黨運動滿途荊棘
page 4	日造船業原料缺乏
page 4	苦盡甘來
page 4	狠毒的征服 
page 4	英國努力恢復原料輸出上月份進出口利潤較前有顯著之減低
page 4	英王夫婦視察海岸機場
page 4	拉國土地收歸國有平均所有耕地
page 4	英國承認捷克政府貝奈斯任總統 
page 4	美將力拒外力侵入
page 4	各國代表秘密會議
page 4	英外相之演說美國印象良好
page 4	柏林羅馬各報攻擊英國答覆 
page 5	中山縣府縮小組織設政治軍事兩科原有秘書處及四科均裁撤區署存廢問題向省府請示
page 5	鍾部偽軍已鳥獸散
page 5	江會新鶴我軍獲勝
page 5	圍剿八區偽軍土匪
page 5	李磊夫由肇抵韶談西江近況生產建設大有進步社會安定教育發達
page 5	驅逐挪領
page 5	韶關苦熱正午達一○六度 
page 5	西康日記一二六第六編貢噶紀行
page 5	桂林點滴
page 5	四川省銀行改組內部起草新章招收新股儲蓄信託部設經理 
page 5	寶安游擊隊圍攻日軍幸縣長赴新界散賑
page 5	粵省三十年度地方預算編製法省府頒發十二要點限九月十日前呈送
page 5	日侵越南聲中泰國進軍亞蘭湄公河小島法方已割讓柬埔寨失地又傳要奪取
page 6	憲報號外昨公布命令有權徵用各類物品對作戰效能及保障公安有關者車船亦徵用房屋給代價
page 6	崇正救難會施振新界難民昨日分派憑證今日領米每三日一次日期已排定
page 6	粵省振會港辦事處續收捐款廿餘萬元
page 6	粵當局再勸令僑港大學內遷民大廣大南大均準備中遷港各中學亦商議返國
page 6	徵用物品
page 6	電線電話
page 6	鐵道材料 
page 6	統考結束下月底揭曉試卷寄渝總辦事處核閱應考學生可補行公費　手續
page 6	專科以上學校學業競試將舉行三大學初試選學生參加甲乙兩類共計五十七名
page 6	口試標準
page 6	福建旅港同鄉會選舉執監委及各組組長二十七日舉行就職典禮
page 6	李綺年抵滬拍片完成即行返港
page 6	郭泉夫人昨日出殯各界名流到場執紼
page 6	巴金昨過港
page 6	七七花款
page 6	汎美機抵港
page 6	歐亞航空公司將增設新航班由香港經桂林至昆明不規定班期客滿開行
page 6	初中畢業生免考升高中辦法學業在七十五分以上操行乙等僑港立案學校已奉粵教廳訓令 
page 6	十個題目 
page 6	電氣用具
page 6	粵港基督教團體慰勞粵北將士推定胡翼雲牧師任團長攜慰勞金日內出發赴韶
page 7	域多利嚴陣以待準備迎戰勵進團短泳中雙方各有千秋娘子軍尤見勢均力敵
page 7	夏令籃球精武力克住聯聯英大破紅鷹
page 7	滬合眾杯籃球群毅初傳捷報四二比三七豈凡揹黃榜
page 7	公開籃球賽今晚節目康元對保羅青乙精勵
page 7	華人游泳會三次水藝會定廿八日舉行 
page 7	光華健將異動全隊亟謀補充參加聯賽人選尚未決定
page 7	英國輕量級拳師倫考林自港抵菲首戰稱雄 
page 7	美菲荷匯牌價趨縮英匯沉寂申匯穩定
page 7	股票市況仍堅穩人心趨好買戶活躍
page 7	八九金市稍形堅挺
page 7	國幣市況昨日仍堅穩 
page 7	米杜息一士兵死於鬥拳
page 7	小球聯會舉辦愛爾蘭杯賽八月一日起報名
