page 2	邊疆同胞的效忠
page 3	贛北戰局我佔優勝Ｘ圖南昌計劃已完全粉碎我軍圍攻安義大戰醞釀中
page 3	蔣委員長誥誡各軍將士實行節約長養國力愛惜公物節制浪費
page 3	日本對華貨幣政策下無血的戰爭
page 3	Ｘ開杭增援遭我游擊隊襲擊Ｘ狼狽向滬退去
page 3	Ｘ圖開發華北經濟在工作的進行上遇到了重大困難
page 3	殘酷Ｘ令在修河前線搜出
page 3	中國政府決定維持債信到底孔兼財長發表談話
page 3	蘇聯大使前日飛莫斯科
page 3	中央防疫處在滇積極工作
page 3	粵黨政分會張發奎任主委
page 3	軍委會職員國民公約宣誓
page 3	滬Ｘ倉庫失慎損失數百萬元
page 4	波蘭態度堅強決心抵抗侵略英法已同意軍事合作龐萊對大局表示樂觀
page 4	法政界認英蘇修好足以維持歐洲和平
page 4	蘇聯主張英蘇對德應採聯合軍事行動
page 4	墨索里尼演說對法義關係曾予述及將不顧一切從事擴軍
page 4	匈外長聲明對羅國態度匈決意佔領小俄羅斯希望羅諒解先行復員
page 4	英蘇談判週末繼續舉行
page 4	西班牙的將來下英法興德義正在鬥法
page 4	德國聲明援助斯政府樹立經濟及幣制基礎斯代表已抵柏林會商
page 4	法義否義法國曾派員向義方疏通
page 4	南國總理會晤哥族領袖邀請參加內閣
page 4	西國民軍傳即將開入瑪德里弗朗哥將赴羅馬法決定交還軍艦
page 4	匈斯組混合委員會商討劃界問題斯方代表今日赴匈京邊境戰事傳已告停止
page 4	傳德荷簽訂貿易協定擴大貿易數額
page 4	美加緊空防時局日危民眾感覺恐懼當局著手計劃安全辦法
page 4	甘地同情我國抗戰
page 4	美參院外委會委員抨擊新中立法所謂現款自運規定仍然有利於侵略國
page 4	英盲議員山德森逝世享年七十歲
page 4	法新總統選舉定下月四日舉行勒伯倫不願連任
page 4	德新戰艦寶佩滋號落成下月行下水禮
page 4	Ｘ議會閉幕德義日軍事同盟西園寺表示反對
page 4	保總理下月聘問柏林詳細程序已商妥
page 4	歐局
page 4	Ｘ謀
page 5	Ｘ機四架昨又肆虐汕頭市區民房被炸潮安街火車站等處均落彈高要高明空襲損失百餘萬
page 5	轟炸要明損失百萬
page 5	信託局剩餘穀米二萬擔運回中山財政部已覆電核准
page 5	侵瓊Ｘ軍慘無人道拒絕教會救濟船
page 5	粵桂兩省模範父親黎善榮鼓勵殺Ｘ李克藉送子請纓
page 5	大良Ｘ軍頗恐慌增兵千餘準備巷戰偽軍厭戰毫無鬥志
page 5	澳門督像揭幕
page 5	新會變更區數
page 5	政治工作的演變與上政工人員應具備的條件對軍委會政治部直屬第五政工大隊訓詞
page 6	廣大校長陳炳權昨招待港教育界報告出席教育會議經過教部重視海外華僑教育
page 6	波音飛剪機今日抵港另一架後日出發定名加利福尼亞
page 6	紀念兒童節教聯會今晚會商大會宣言等將提出審查各戲院允借會場或減租
page 6	全國文藝界協會留港通訊處成立作家百餘人昨日集會通過宣言並代電總會
page 6	陳伯蓀允任東院總理連前僅得三人
page 6	本港師資考驗標準並未變更聘請教職員由各校自定政府獎勵聘用師範學生
page 6	金山輪明日航省購票須先填具表冊Ｘ領同意方可乘搭
page 6	黃花崗賑聯會遊藝部各組分工合做
page 6	財政評論
page 7	快活谷中歡聲雷動中華奪得麗華杯西文員心餘力絀苦戰不支結果四比二演出緊張熱烈
page 7	公開籃球甲組比賽東方大敗廣大乙組賽培英小勝華雄華僑克紅星實力懸殊
page 7	草地網球今日比賽五場
page 7	港土製火油業恢復舊觀油廠五間已開工趕製以應本港及內地需求
page 7	外商洋行收買桐油在港共有十二間
page 7	我國火柴工業銷路日見蓬勃去年運港達百餘萬元日火柴遭受嚴重打擊
