page 2	社評奧林匹克保衛戰
page 3	英德軍隊開始接戰希北戰況略見穩定軸心揚言兩週內解決南國
page 3	美報對德嚴辭申斥柏林各報抨擊美國
page 3	德國飛機狂炸伯明罕投下燃燒彈數千枚
page 3	今日孤島今迂自上海寄一
page 3	東非大局已定英增援北非英將領三人在北非失蹤
page 3	艾登狄爾返抵倫敦
page 3	英首相演講法反響良好重申保證決不助德攻英入口糧食不致轉資德國
page 3	伊拉克成立最高國防會議由軍事政黨首腦任委員
page 3	巴拿馬德領勸僑民離境
page 3	美國實行穩定物價總統將簽署一項命令
page 3	丹麥同意美保護格林蘭兩國已成立正式協定美總統向國會提出特別咨文要求授權徵發港內外國輪船
page 3	土國加緊警備安喀拉突發出警報伊斯坦坡疏散居民
page 3	美福特工廠工潮和平解決有望米希根州長曾從中斡旋
page 3	蘇德簽訂石油協定
page 4	潮陽敵軍已呈頹勢我兩路加緊迫攻中
page 4	各省市參議員任期暫行延長俟修正組織條例實施後再依照新規定舉行改選
page 4	英約克郡將設中國博物院對中國問題題論文比賽英國青年參加極踴躍
page 4	美陸軍在夏威夷進行大規模演習美在兩洋間軍運繁忙巴拿馬運河暫停商運
page 4	中澳互派使節即將發表雙方人選已內定
page 4	黔省禁煙雷厲行風
page 4	滬漢奸猖獗一週之內綁票十五人新申兩報登漢奸廣告
page 4	戰時英國勞工問題三
page 4	英美聯防遠東商有確切辦法敵對馬尼拉會議表焦慮
page 4	荷印日僑作撤退姿態荷日談判始終僵持
page 4	克萊琪訪晤大橋
page 4	傳泰政府發生變動
page 4	郭大使即離英設宴與英首相話別英商對郭氏推崇備至
page 4	全國婦女工作會議正熱烈舉行中
page 4	教部電教委會舉行首次會議
page 4	敵特務機關被我游擊隊襲擊
page 4	桂省獎勵學術研究
page 4	太平洋低氣厭
page 4	匈又投井下石
page 5	特別銀牌最後一幕南華海軍奪標賽下午四時在銅鑼灣球場上演乙組賽軍糧隊迎鬥南華
page 5	球圃菜根集四十八
page 5	足球縱橫談八
page 5	甲組聯賽米軍對香港
page 5	體壇漫筆上
page 5	恩德杯排球義賽南華對抗培英下午三時在九龍青支會球場正廷杯同日舉行頒獎
page 5	籃球義演東方勝菲選
page 5	學界男女籃球賽廿一揭開戰幕全部比賽程序即席編竣聘定郭木開等為裁判員
page 6	港澳輪船增加票價較原來約增二毫至三毫由於煤斤漲價澳門增稅
page 6	穀米統制當局缺少稽查人員奸商依照官價攙雜發賣不攙雜者則拒絕給貨單
page 6	師資學院新面目
page 6	化粧品徵稅普通用梘未加價
page 6	昨日復活節港九教徒聚禱廣東基督教徒學生協會昨晚舉行音樂崇拜大會
page 6	華商總會定期招待鄺炳舜
page 6	渣華公司獲我政府褒獎
page 6	勞軍運動　木行商會捐五千元
page 6	記者公會換物會換物券開始勸銷購買者踴躍料成績必佳會員可到該會領券推銷
page 6	洋衣工友要求改善生活昨日招待各界報告一切資方籌組商會以便談判
page 6	本港柴薪近況供給狀況良好昨日運到一載三萬餘擔日內尚有約七萬擔運來
page 6	僑校奉令注重音樂應於第月開會一次
page 6	預防霍亂注射處假期不休息
page 6	寄函德義應注意事項
page 6	水塘存水大增共廿九萬七千萬加侖較二月增三萬萬加侖
page 7	瓊崖戰事猛烈敵軍向腹地竄擾我分途截擊殲滅甚眾
page 7	海康盜匪為患鄧世增出發清剿各界慰勞團到達南路
page 7	美國海軍論四
page 7	粵加緊推進春耕建廳撥款補助墾殖購種振會龍坪墾區開始耕作
page 7	民營礦業履勘費從新改定
page 7	四邑難童陸續搶救抵韶
page 7	本週股票市況疲弱耶蘇復活節假期昨日起停業四天
