page 1	社評恢復課徵公教人員薪資所得稅
page 2	立法院預備會今天開始名額之爭仍然沒有解決
page 2	豫西南繼續鏖戰老河口國軍馳援南陽
page 2	韶關機場決定修復
page 2	台灣通信饑餓的土地
page 2	綏區政務研究會八日在京揭幕
page 2	佳撤宴布列特董顯光等作陪
page 2	趙家驤談東北戰局遼西走廊將有戰事
page 2	動員時期臨時條款國府明令公布
page 2	酬庸洪蘭友派為動員委會秘書長
page 2	美國招募勞工謠言轟動了北平美領事鄭重否認
page 2	包毅德今抵京將晉謁蔣主席
page 2	長興輪擱淺船船身分裂船尾沉沒乘客百餘人已脫險
page 2	英文化委會獎學金當選廿人名單發表
page 2	扒手橫行全運會已經捉到一百多
page 2	梅汝璈飛滬
page 2	李石曾吳稚暉開會迎克拉克
page 2	東南陰雨日環食
page 2	京滬無法觀測廣州畧有所見浙境觀測也告失敗
page 2	中大天文系兩路看日食
page 2	暴風雨帶來的災難武漢至少死了二三百人公私財產損失約五千億
page 2	太陽如新月天暗似黃昏
page 2	香港也是陰雨天文台沒觀測
page 2	獸類對日食的反應夜行獸見天色漸暗活躍起來日行獸則頗感不安退巢休息台北動物園所見
page 2	渝蓉所見
page 2	台北看日食如看水彩畫
page 2	北方晴朗得見異景
page 2	日船侵我領海當局通令華南軍民防範
page 2	一場空歡喜松江古董商得了滬房屋獎券到上海辦手續獎券被人扒去
page 2	戲院演慘劇上海軍警衝突九人受傷天津樓廂塌了六人身死
page 2	廣州瘋狗亂咬人家犬必須戴口罩始准外出
page 3	南韓選舉遭多方面反對各地騷動事件續見增加美國務院官員表示政策不變
page 3	西歐的聯合海牙會議擬計畫設政治經濟文化三委會草擬成立三種聯盟草案莫斯科廣播猛烈抨擊
page 3	當前中國問題探本論下
page 3	英人關切對日和會主張曾打過仗的都參加
page 3	荷蘭女皇體弱儲君受命攝政
page 3	鑾披汶外交辭令駡駡暹羅排華團體
page 3	填補聖地真空聯合國加緊謀對策計畫設立巴力斯坦臨時政府
page 3	捷克普選月底舉行
page 3	戰敗納粹已三年對德和約尚未訂歐洲勝利日德人發怨言
page 3	日龐大預算案即送議會批准
page 3	加強軍火外運美成立軍事空運部合併兩機構由喀特任部長
page 3	曼谷通信僑教在暹羅
page 3	全美鐵路職工明日起總罷工白宮勞資談判破裂
page 3	杜魯門誕辰得六十四朵玫瑰強士敦著作獲二千澳鎊獎金
page 3	准日設海上保安廳除美國外莫不反對美想在遠東委會用否決權
page 3	英國防部長非戰相信各國可以和平相處
page 3	美軍大演習陸空軍試作攻防戰
page 3	尚有日人待整肅審查機構已解散
page 3	復興日工業與出口麥帥總部振振有辭說因為要使日人吃得飽
page 3	二千萬美人反戰爭循道會決定反對實行普遍軍訓呼籲透過聯合國成立世界政府
page 4	蔡貞人昨發表談話美國過度協助日本中英政府應予注意速採有效對策勿貽噬臍之悔
page 4	翁世晃答覆陳仲池說他沒有值理資格
page 4	母親節
page 4	章寧寧獻花給母親
page 4	請領墓地手續簡單不要讓人發死人財郭贊說明華人永遠墳場規則
page 4	香港的三合會二
page 4	幼女何事躑躅街頭
page 4	洋務工會選舉定一週後開票
page 4	赫赫鄧上校原來是騙子李裁法被騙去五百元
page 4	嶺南中學新舍落成
page 4	兩中點滴
page 4	春聲轉灣拖翻小艇
page 4	看更人失察人財兩失
page 4	盧麗娟的身世她做過妓女做過女招待有了孕誤服藥死了
page 4	麥景陶今日返港
page 5	海南島漁業衰落環境適合魚類蕃殖救濟遲緩生產停頓
page 5	財長到滬商談美貸
page 5	經濟要談海客
page 5	交收辦法汕頭市修正
page 5	進口結匯新辦法滬工商界一致反對紛紛會商對策並擬晉京請願
page 5	三個月來僑匯逐月減少三月不到二月的二成
page 5	與海爭地的福建海塗圍墾晉江甯德林森三縣開工
page 5	當局表示無法變更
page 5	廣州商情一週上海狂潮湧到金鈔漲風復起
page 5	穗物價互有漲落汕金鈔百物齊升
page 6	男網球單打九場激戰印華陳立超壓倒徐潤培葉觀雄擊敗馬華陳其安女子單打羅巧兒勝福建選手
page 6	綱球賽達最後階段
page 6	田徑場中光輝一幕鐵餅擲遠創新紀錄首二兩名均破全國
page 6	五千公尺競走表演香港代表名列第二
page 6	女跳遠決賽陳碧英獲冠軍
page 6	上屆全運開支經費難買四瓶可口可樂
page 6	一幕美麗圖畫傘兵降落表演壯觀蓮花朵朵觀眾鼓掌歡呼
page 6	女六十公尺預賽複賽同時舉行
page 6	昨天會場多一插曲
page 6	老惠　鴻第一函
page 6	摔角錦標賽男女組戰績浙江選手施品桂病逝
page 6	男女乒乓單打鍾展成勝黃齊彭楊渭濱勝邱宗雲梁玉潔勝莫煥瓊
page 6	粵壘球勝空軍獲進入循環週
page 6	馬華美人魚譚金流小組
page 6	女排循環賽上海勝台灣零比二台灣隊失常
page 6	湖南小勝廣州湘粵觀眾吶喊助威
page 6	拳擊賽粵楊金來勝黎東芬許大偉臨戰棄權
page 6	足球複賽香港報捷三比零淨勝浙江暹華隊不敵警察
page 6	假日看全運人多如潮湧
page 7	四邑治安越來越壞下月起各縣開始檢查身份證僑胞歸國如無證件不許進口
page 7	五邑壯丁如要出國先得雇人代服兵役
page 7	晉江新聞界不斷受打擊一報社被搗毀兩報人挨打傷
page 7	糾察思想開平機器工會要這麼做
page 7	廈一歸僑被劫損失二十餘億
page 7	當塗冷戰續有發展據說兩議長被罷免
page 7	發洋財的心理平津突傳美國招募華工日有千餘人報名遭碰壁
page 7	廬山難住住旅舍要白米租房子講美金
page 7	定海居民曾救英俘英人贈款以示感恩外部調查事實將代領款
page 7	如此師表重慶大學小風波一教授打同事太太耳光同學群起維護教育風尚
page 7	無力再與生活掙扎涌一大學女生自殺
page 7	津門一舞女被拘獄中仍作摟抱舞
page 7	潑婦大鬧記竟引起大鬧梁山一報吃官司
page 7	閬中有匪專割耳朵
page 7	西蜀子雲亭搬到錦城外
page 7	益陽一逆子操刀殺老父
