page 2	社評日本能維持現狀麽
page 3	美國物資運中英蘇國務部頒發特許證赫爾談話重申反侵略政策
page 3	美青年民主黨大會羅斯福演說惟有擊潰侵略兇惡勢力美國方能避免捲入戰爭
page 3	美總統要求議會批准英美宣言並報告英美會談時曾舉行海陸軍會議
page 3	訪問緬甸團月底專機飛緬
page 3	達卡爾的風景線上
page 3	駐日美官員將乘輪赴滬
page 3	美軍用飛機運抵泰國泰國重申決為自由而戰日本散佈毒素謠言
page 3	我努力推進對美輸出美盼我大量供給生絲
page 3	美總統注視工潮曾召見船廠工人代表
page 3	澳總理向工黨建議打開政治僵局主張組織聯合內閣工黨尚無切實答覆
page 3	曼哲斯特衛報呼籲勿鬆馳制日日欲利用漏洞傾銷存貨英日貿易必為民眾反對
page 3	哈里法克斯乘機抵英將逗留一月
page 3	沙遜談話日如闖禍無異自殺
page 3	史汀生演說促人民警覺當前危機
page 3	政院農產促進會致力推廣農作物
page 3	川早稻豐收田賦徵實可無大問題張主席發表談話
page 3	留日美僑不久即可撤退國務部正研究實施辦法
page 3	晉西南敵犯稷山被我軍截擊痛殲
page 3	四行協助川省工礦發展貸款六千萬元
page 3	菲島助我訓練空軍
page 3	宋家三烈士國府明令褒揚
page 3	澳紅會司庫談援華問題如須助之處當盡量考慮
page 3	美增加汽車生產供給中英蘇
page 4	紅軍決以任何代價保衛列寧格勒南鳥克蘭焦土抵抗
page 4	英軍事家讚揚蘇軍磁鐵戰術吸住德軍攻勢減少自身損失保衛列寧格勒必將奮戰到底
page 4	納粹一領袖在前線喪生
page 4	美國擴軍動態三
page 4	以血換血真理報再作呼籲
page 4	蘇官方宣布納粹傷亡慘重兩月內損失二百萬人
page 4	南烏克蘭蘇軍安渡尼勃爾河
page 4	蘇機又襲柏林投彈爆炸引起大火英機亦出動襲德佔領區
page 4	波蘭在蘇境將組織大軍
page 4	希墨二魔鬼又傳將會晤
page 4	反對貝當投降四萬法人被捕
page 4	一切皆落空汪逆走頭無路
page 4	粵省府加強縣糧管組織
page 4	買空賣空漢奸內訌偽交易所將關門
page 4	伊朗局勢緊張納粹僑民繼續增加英蘇將採迅速行動
page 4	德軍集土保邊境傳向土要求假道
page 4	皖新穀登場米價已趨跌
page 4	駐德土大使會晤希特勒
page 4	土耳其問題
page 5	西江敵軍蠢動犯四會沿岸不逞一肌竄擾籚西沿線亦被擊退敵企圖封鎖交通線已遭挫折
page 5	以轟炸答覆敵人的轟炸重慶衛戍司令劉峙播講
page 5	川各縣田賦管理處九月一日全部成立
page 5	我軍襲擊勒流唐家官溪村被敵焚毀
page 5	貴陽動態
page 5	粵省計劃擴大冬耕並推度晚造優種
page 5	西江敵軍蠢動犯四會沿岸不逞一股竄擾蘆西沿線亦被擊退敵企圖封鎖交通線已遭挫折
page 5	以轟炸答覆敵人的轟炸重慶衛戍司令劉峙播講
page 5	川各縣田賦管理處九月一日全部成立
page 5	我軍襲擊勒流唐家官溪村被敵焚毀
page 5	貴陽動態
page 5	成都拾零
page 5	粵省計劃擴大冬耕並推廣晚造優種
page 6	穀米官營局昨晚宣布減低各種官米價增售廉價米每擔十三元新訂各種米價今日實行
page 6	嶺大百萬基金運動下月七日開始基金利息用以發展校務籌募及保管兩委會選出
page 6	澳難民收容所建造完成遺送工作下週決定
page 6	日領館職員眷屬昨日乘輪離港日領對外報記者否認領館人員亦行撤退事
page 6	一碗飯運動九一結束屆時公布籌款成績
page 6	大嶼山開發公司向政府領地二百五十畝並要求每月補助二萬元
page 6	防空洞大致建築完成注意空氣流通
page 6	防空洞建築工程師自殺前後經過死前審查委會會促其繳出文件
page 6	黃炎培講僑資內移在外聯演講會
page 6	全港醫生救護人員動員參加防衛演習定期本月二十四日舉行
page 6	徐謨公使昨談奉派駐澳使命努力促進中澳兩國邦交徐氏赴澳將前往星視察
page 7	國際棒球大比賽美國戰葡萄牙雙方實力相等預料必有惡戰明日中華對抗英吉利
page 7	星東征澳記十初戰全澳先施下馬威十四分鐘內連進四球
page 7	華人男女渡海泳明午正式舉行參加人數達一百七十人
page 7	桌雄杯賽摩托力挫錦輝
page 7	港澳九小球賽明晨大軍啟行
page 7	夏令籃球比賽正社對育賢新青出戰少雄
page 7	南華足球部前夜在加山場館開會議選出甲乙隊隊長
page 7	外匯牌價申匯回漲美匯英匯仍乏生氣
page 7	股票市況穩靜需求雖略見增加但供貨仍少昨日成交總值五萬餘元
page 7	國幣市況初穩後堅
