page 2	社評美國禁油與日本石油事業
page 3	英美對日報嚴重警告決不漠視泰國被侵並向泰保證以軍用品援助中英兩國將聯合抵抗日軍西侵
page 3	艾登在眾院報告國際大勢中英兩友邦關係更密切鞏固對日經濟制裁保證劍及履及
page 3	遠東英軍磨礪以須以行動為對日警告後盾英海軍隨時馳援新加坡
page 3	馬來亞英軍總司令出巡已竣事士氣旺盛援兵日至認英美平行政策極富重要性
page 3	澳空軍設新指揮部以應將來戰事急需
page 3	英報響應艾登宣言
page 3	西貢登陸日軍不斷向西開拔
page 3	宋德和獲美海部獎章
page 3	美國宣布放還一部凍結資金
page 3	赴緬訪問團團員名單俟蔣委長核定日內即可發表
page 3	日本美僑候輪返國
page 3	傳英美兩領袖曾在加境晤談美軍事要員料亦參加華盛頓人士極表歡迎
page 3	日人夢囈澳海長痛加駁斥
page 3	傳日向蘇提要求劃出海參崴為非武裝地帶西伯利亞供日作經濟侵略
page 3	近衛又謁日皇
page 3	赫爾將辭職史汀生繼任國務卿一紐約報如是傳稱
page 3	八一三紀念五週年將屆滬租界又作戒備電車工潮已平息
page 3	印度政府實行禁運錳鑛赴日
page 4	紅軍愈戰愈勇斯摩倫斯克固守中北部戰事轉趨沉寂
page 4	光進擊宜昌近郊犯郝穴敵受重創北潰
page 4	墨索里尼次子喪命
page 4	越當局否認日對廣州灣要求
page 4	陳介抵紐約
page 4	日本抽兵與汪偽建軍
page 4	省營貿易監理委會本週內可開首次會主要目的將來做到官商合辦
page 4	德對佔領區統治困難瑞挪南希發生反德運動克里特島仍有游擊戰爭
page 4	農行貸放鉅款發展農田水利各省均在千萬元以上全國茶區均加緊增產
page 4	英眾院辯論戰局感認情勢好轉阿特里盛世讚海空軍戰績
page 4	希特勒作戰失利又發動和平攻勢
page 4	印度大詩人泰戈爾逝世享年八十歲
page 4	沙面無變化交通仍被敵封鎖
page 4	波蘭代表團抵達莫斯科
page 4	達蘭赴巴黎傳德已對法最後通牒要求達卡爾等根據地
page 4	導演返寧醜劇改造依然非驢非馬
page 4	稅收盛旺利得稅超過所得稅遺產稅將有增加
page 4	新加坡日僑正撤退返日
page 4	蔣委長派員慰問空襲受傷難胞並贈食品及慰問紀念章
page 4	英美會議
page 4	泰國如何
page 5	粵檢定考試放榜高等及格者二十八人普通及格者三十四人
page 5	中國衛生教育社社員大會閉幕決議推行民族健康等案展覽會同時開幕
page 5	自流井視察記下
page 5	四邑米價漸降貧民喜形於色
page 5	高信報告粵省地政概況樂昌仁化測量工作年內完成農行土地金融處將設韶分處
page 5	澳門米潮已告解決現存米六萬餘包
page 5	曲江物價上漲未已
page 5	川省田賦改徵實物定九月中一律實行各縣設田賦管理處
page 6	港府昨在立法局宣布對官米小販政策輔政司財政司代表答辯非官議員所提有力質問
page 6	港領螺洲島海面發現巨鯨一尾噴出水柱高及十餘尺初疑為浮出之日潛艇
page 6	華商會新舊職員昨舉行交代禮董仲偉列舉商會五要政注意民食交通保險等事
page 6	德輔道中醫黃鳳泉昨被五賊賺門行劫傭婦董六抗賊被刺斃命黃鳳泉受重傷入院救治
page 7	協會二次執委會定期召開會議商討今後各項一切進行大計着手編各部全年預算
page 7	海國大觀異軍突起的星島游泳隊
page 7	鐵城杯籃球戰吐倫迎抗居聯第二幕中青出戰新青七時半起在青支球場
page 7	卓雄杯賽西園戰太古香港小型足球聯會主辦
page 7	球王不宜任後衛南華陣線的商討
page 7	中西游泳義賽西隊代表產生
page 7	夏籃金銀警察奏凱
page 7	外匯牌價申匯續漲美匯英匯市況仍靜
page 7	股票市況仍無轉機人心疲弱成交寥落
