page 2	日本無路可走
page 3	日軍分股猛犯荊沙襄西我軍沉著制勝
page 3	日人對滬租界野心並未戢連日大放種種烟幕係在試探美國意向
page 3	傅副長官謙辭勳章蔣委員長覆電嘉勉
page 3	滬汪方嘍囉向工廠敲詐受害者無處伸訴多縮小營業範圍
page 3	中德文協年會中朱家驊氏演說我抗戰國策決不中變希望改進中德間關係
page 3	粵綏靖公署設副主任中央委香翰屏充任 
page 3	黔吳主席夫人舉辦文學獎金提高黔省婦女寫作能力
page 3	專科以上學校湘籍學生可獲教廳補助費
page 3	滇省府當局鼓勵僑胞投資中南橡膠滇分廠籌備中機器原料進口備受優待
page 3	王逆克敏下台內幕影佐赴日為汪活動王逆揖唐乘機自薦
page 3	日機襲渝未逞
page 3	我政府撥巨款補助私立醫院
page 3	陳嘉庚赴晉謁閻長官致敬
page 3	滬久不雨四郊旱象已成
page 3	僑慰二分團在閩備受歡迎 
page 3	近衛能做些什麼
page 3	我克街口猛攻神岡
page 3	晉蔭城爭奪中冀魯日軍蠢動
page 4	法軍全線奮鬥中魏剛激勵士氣作戰已到最後階段吾人必須緊張把握
page 4	希特勒至西線下令冒死進攻 
page 4	連日激戰結果德軍損失甚重
page 4	法海軍機夜襲柏林近郊工廠 
page 4	美國禁運今日正式生效禁運政策實際上業經施行義日兩國均將受嚴重影響
page 4	英法比三國簽訂財政協定規定三國貨幣匯率英法荷協定將成立
page 4	美日關係無改善可能
page 4	法政府加緊推進軍火業生產勞工權利暫予取消伯倫姆要求召開議會 
page 4	德機屢破壞瑞士中立瑞機一架慘遭擊落
page 4	義郵船駛過巴拿馬運河當局予以嚴密監視
page 4	賀爾晤弗朗哥兩人作長時間談話
page 4	鄂中戰局
page 4	合眾社的怪消息
page 4	英尼航機不在義降落但仍舊經地中海義抨擊英法海上封鎖
page 4	英國戰時的行政機構二
page 4	法蘭西大戰屆決定關頭
page 5	新開新鶴兩路激戰我軍已迫近江會中山團隊京將部署反攻
page 5	招待歸國僑胞力謀改善中東江各地實行統一檢查南路沿線亦將增設站所
page 5	中華步行團抵韶工作 
page 5	建廳改良稻種
page 5	調協兵役監督
page 5	救濟失業教師
page 5	增產外銷物資推進四川省桐油事業並舉辦油料作物農場
page 5	澳洲僑胞踴躍輪將
page 5	羅翼群返抵南路召開縣長會議 
page 6	二次白畫防空演習中環鬧市三處中彈滅火救傷情形頗為逼真下次演習或將在銅鑼灣
page 6	準備妥當
page 6	警報長鳴
page 6	芥子毒氣
page 6	下次演習
page 6	崇正總會昨追悼鄒敏初崇正總會昨日下午一時
page 6	五分鐘胃痛粉大批到港歡迎試服 
page 6	官立醫院施診新法九龍居協未盡明瞭致函醫務當局請予解釋一般等階級皆感不便
page 6	復旦同學會等團體籌備追悼孫寒冰參加者已有十餘團體定今日商討大會日期
page 6	蒲節勞軍
page 6	中華教研會代孤軍致謝
page 6	端午節至雞鴨魚菜漲價淡水魚較前約貴兩倍蔬菜漲價十分之二三
page 6	中國回教救國協會補助博愛社義學救濟回教僑胞學齡兒童孔副院長特准中央銀行匯港
page 6	今日端陽節龍舟競渡東方體育會鐘聲慈善社遊藝助興節目豐富
page 7	中華隊惡運臨頭輸美水兵一分五比六戰情濃厚頗多精采港啤七比二大勝香港
page 7	九龍高級學籃今天兩場
page 7	英國足球義演英倫和蘇軍一比一雙方在下半時建功全場空氣緊張表演頗出色 
page 7	學界排球短期內可結束
page 7	夏令籃球賽昨開始報名
page 7	我對外貿易本年春季情形良好茶葉纖維尤見激增
