page 2	社評日本對美挑戰
page 3	美國準備應付太平洋變局關島下令疏散平民夏威夷將宣布戒嚴日派來栖飛美圖作最後欺騙
page 3	日報荒唐建議擔七項所謂協調條件妄想迫美國停止援華
page 3	陪都方面觀察美國必予拒絕
page 3	東京一貫恫嚇美絕不畏懼準備應付日本任何行動無條件保證不犧牲中國
page 3	夕照譚夕陽無限好只是近黃昏四
page 3	菲島禁止鐵苗出口
page 3	日樞密院會議東條出席報告
page 3	青年到空中去桂林滑翔分會成立盛況滑翔五傑表演精采節目
page 3	華維爾返印行前接見報界發表談話謂印軍將源源開到星洲
page 3	陪都盛會王部長昨招待外賓預祝民主國家勝利
page 3	紐約華僑匯款勞軍
page 3	加緊援華制日反侵略會電國勞呼籲
page 3	中美貿易增進我調整駐南美及中東各領館
page 3	電政會議圓滿閉幕蔣委長接見各代表
page 3	朱學範談話對美援華表示感謝
page 3	比駐華大使歡宴我長官
page 3	敵作最後掙扎圖發新攻勢豫我軍掃蕩中牟殘敵
page 3	澳駐華公使謁領袖致敬
page 3	周維烈發明多用式紡錠
page 3	粵省徵實推行順利
page 3	直接稅收旺盛今年達一萬三千萬元土地陳報限明年完成
page 3	專賣事業設計工作結束機構正籌備中
page 3	荷印限制油類輸往葡屬帝汶
page 3	印緬日僑兩名同時被捕
page 4	莫斯科外圍血戰發展已達頂點南部前線德軍受挫
page 4	克里米亞之役德軍傷亡九萬
page 4	德軍屠殺行為法人深切痛恨德法合作將受影響
page 4	美民眾防衛週羅斯福總統敦促國民努力生產過艱苦生活
page 4	美國七州競選民主黨占優勢
page 4	紐約市長競選拉加第亞連任
page 4	南太平洋緊張聲中美菲的合作十月二十三日馬尼拉航訊
page 4	英印之間英教友會呈請政府規定實現自治期限
page 4	勞工大會中捷波南希代表聯合聲明公布成立戰後合作協定贊成英美宣言四項自由
page 4	美參院中立法辯論已屆最後階段政府派深信可獲大多數通過
page 4	美艦失蹤人員至今尚無下落
page 4	美德經已展開大西洋爭奪戰
page 4	美大西洋據點多處已完成明年初可全部啟用
page 4	英國巡艦截留法輪五艘維希向英提出抗議
page 4	伊朗委出駐英公使
page 4	來栖赴美
page 4	蘇聯對阿富汗維持友好關係
page 5	粵省各主要商埠最近之商業動態各地交通困難貨運均呈呆滯東路商場仍多依賴鹽業維持
page 5	中山敵軍續有增加大部結集唐家一帶彭霖生任廣陽副指揮
page 5	川西邊情上
page 5	贛南實施聿鄉運動誘導民眾自動建設
page 5	桂省採金成績良好官商令辦積極生產收金辦法即可確定
page 5	柳州雜綴
page 5	防制敵傘兵韶關舉行二次演習敵機在韶投擲延時炸彈
page 5	韶關勸募戰債實行總動員分配債額商人隊占一百萬元以競賽方式限期一週內結束
page 5	桂省政府修正告發官司吏辦法
page 5	曲柳鐵路貨運價目
page 5	韶關與各江間水道交通概況清遠南雄連江航業發達
page 5	貴陽一週
page 5	英勇班長殺敵殉職
page 6	考克蘭李爾等昨由滬聯袂抵港對滬外匯問題有所討論
page 6	滬保險商購匯七項辦法平準會最近擬定
page 6	港金融統制將頒新例
page 6	傳日要求共管澳門葡日均加否認港葡總領謂未聞此事日情報局亦認為不確
page 6	外部駐港簽證處停發回港護照便利港澳僑民來往內地分在粵桂添設發照機關
page 6	防空工程案財政司托特昨日出庭作供報告防空工程費之支付華人銀行代表出庭作證
page 6	港督檢閱後備警察中英印三隊千餘人參加文武長官昨多蒞臨觀禮
page 6	旅澳太太團呈港督請撤銷疏散令自疏散迄今已達十六月實虛度一生最寶貴時光
page 6	馬思聰通俗音樂會
page 6	基督教團體組合作社發售各日用品不論是否教徒均可參加每分社招募股金五百元
page 6	防衛部隊昨報名者仍踴躍
page 6	光華同學會舉行聚餐
page 7	足球裁判年會新職員昨產生
page 7	雜碎篇東方宿舍搬場跛佬阿池壽辰
page 7	藻泉盾培英昨大捷
page 7	澳電燈前途似錦警察走麥城四比三電燈先輸後贏中華隊戰和章魚
page 7	南華陸運展期舉行
page 7	校際籃球賽十三開幕賽程昨日編定
page 7	七七杯乒乓各路兵馬雄厚
page 7	柳江首屆環市跑黃包車夫出色前四名均係彼輩天下
page 7	申匯市況略見好轉英匯美匯市況仍靜
page 7	國幣黑市更為堅穩價曾一度升至一三九
page 7	股票市況淡靜昨成交總值僅五萬餘元
page 7	滬標金價略轉下游
