page 2	社評三國會議與遠東大局
page 3	遠東局勢益見緊張日本侵蘇野心愈熾傳中蘇兩大領袖不久將會晤
page 3	英美兩領袖會談時曾及對日軍事行動一致認懲戒日本乃必要之事
page 3	談ＡＢＣ路線
page 3	中英美三國商經濟合作扶助各國合法商務加緊對日經濟封鎖
page 3	日各報狂叫攻擊英美蘇謂對三國合作不能漠視對外方針不應太過審慎
page 3	越南日軍厭迫華僑曾頒發苛刻條例英美僑民亦難免
page 3	越南淪為日殖民地經濟資源盡被把持南圻日軍不斷增加
page 3	日本無賴拒絕發給美輸出口證圖阻止美僑撤退返國
page 3	英蘇兩國代表再警告伊朗伊境德人數目過多促即採取防衛方法
page 3	印度嚴限貨物運日
page 3	裴佛布羅克訪晤赫爾哈里法克斯同往
page 3	墨參院主張英墨復交兩國政治理想相同自應一致鞏固防線
page 3	美醫藥代表團將來華服務照料滇緬鐵路工人衛生預定今秋起程逗留一載
page 3	日風災人禍今年又歉收洪水颶風農作物多被毀越南輪出減少日頗焦急
page 3	印國防工業不斷猛進中
page 3	巴西政府拒絕維希要求無意恢復歐美航空
page 3	美生產管理局設法穩定工潮
page 3	美國提高煤煉油能力以應英蘇之需
page 4	烏克蘭空前血戰紅軍奮勇反攻北線納粹攻勢已頓挫
page 4	英蘇空軍活躍英飛行堡壘據威歐陸蘇機襲柏林及史泰丁
page 4	蘇聯全國青年取消星期例假
page 4	西班牙否認德軍將假道
page 4	豫南我實力堅強敵分途竄擾均被我迎頭痛擊東江我進襲淡水東及稔山墟
page 4	敵機瘋狂濫炸陪都美輿論極表憤慨籲請民眾及時救助災黎
page 4	美國無限緊急時期的賦稅與凱衍斯計劃四
page 4	荷人反德怠工日增焚燬德輪及煤油庫
page 4	寧醜劇怪現象奴才內訌益烈
page 4	陪都增建公共防空壕完成後可容萬人
page 4	九一記者節悼殉職同業桂記者公會發起
page 4	安定太平洋中國責任重大美駐泰公使備極讚揚並信我必獲最後勝利
page 4	平準委會正式成立已收集大量經濟情報將召集港銀財界會議
page 4	英陸長警告國人萬勿鬆弛準備鼓勵婦女參加各種工作
page 4	龍主席表示滇省完成準備氣侯地形於敵不利敵如來犯必難得逞
page 4	滬寧路中斷路軌為游擊隊所毀
page 4	孤島槍聲大舞台主人被刺
page 4	中蘇兩領袖將會晤
page 4	黔定五年計劃推進衛生行政大糖廠亦在籌備中
page 5	工務局長周弁談建設新韶關方針發展公用事業籌建民航機場實施建築法管理一切營造業
page 5	江南淪陷區域內蝗蟲式的清鄉
page 5	省行負責人談粵省農貸情形總額已達三千二百餘萬元將賽續舉各項特產貸欵
page 5	國立華僑中學下月一日開學本年秋季將增加班額招考新生決大量收容
page 5	旅滬敵國人民情緒益怠廢狂飲濫賭恣意行樂
page 5	南路局勢動盪中我加緊佈防派員出巡指示抗戰機宜沿海敵機敵艦仍多騷擾
page 5	江會敵軍企圖解圍再犯棠下遭我痛擊
page 6	模型飛機演放比賽參觀者達萬餘人昨日滑翔橡筋比賽破前紀錄黃錦祥彭德祿林紹基分獲三項冠軍
page 6	義勇軍撫卹因國籍階級不同
page 6	港統制貿易當局實施新統制鋼鐵入口法定單必須繳交政府代辦向金鎊區定貨照舊辦理
page 6	今年如缺乏雨水食水供給可慮水務局工程師發表報告陳述港食水來源感不敷
page 6	中國文協舉辦音樂講座講授中外音樂學理
page 6	中小學教師討論會昨日宣告圓滿閉幕為期四週學員二百餘人
page 6	港與內地貨運經淪陷區運輸進行如常飛機載運貨物日見加多
page 6	新界邊境外日軍週來調動頻繁加修鐵絲綱防禦工事對行人檢查亦轉嚴厲
page 7	南華會會員大會定二十日舉行省覽上年度進支結算書事宜興革事應在大會解決
page 7	籃球員指南
page 7	記者三屆水運會各項成績佳競爭異常劇烈成績比前孟晋公開二百接力打破全國紀錄
page 7	南華機要分子昨遊河商要政
page 7	國際棒球大比賽葡萄牙大捷十七比九淘汰加拿大聯賽岷隊勝南華
page 7	粵救水陸遊藝會今晚演收鑼戲秩序豐富有二龍爭珠昨夜情況頗熱烈
page 7	鐵城杯籃球戰華僑對抗吐倫中青會戰域多利
page 7	鎮和紀念球賽華會代表明日召開會議
