page 2	社評義大利不作和平建議
page 3	湘北我軍空前戰果長沙穩定汨岸澄清日軍主力喪失瀕總崩潰
page 3	平江附近掃蕩戰事成功
page 3	日兩師團供給完全斷絕
page 3	贛北我軍叠克重要據點
page 3	我神鷹在漢建功日損失慘重炸毀飛機二十四架日航空員死百餘人
page 3	日機亂飛分擾川湘等地
page 3	一週戰況自九月二十七日至十月三日軍事委員會發表
page 3	汪逆不孚眾望王逆克敏竭力拆台
page 3	閩海日艦又圖窺湄州島
page 3	上海日警捕我同胞誣為暗殺犯人
page 3	滬偽市府組水巡隊管理浦江水面
page 3	英使南來行踪極為秘密
page 3	日方宣傳對英關係好轉日海軍省發言人稱英將撤退在華艦隊
page 3	日本前任鐵相在東京遇刺行兇者多人開槍中島竟倖而獲免
page 3	日本傷兵運滬日見增加
page 3	湘北同胞自動投効作戰
page 3	李江抵粵北晉謁軍政當局
page 3	日汽油輪在浦江起火焚燒
page 3	郭大使談中國人民興奮
page 3	我軍潛入開封豫北又有激戰
page 3	桂省府草擬建設計劃初稿即將完成
page 3	中英庚款會停送留英學生
page 3	江南我軍實力增強京滬路貨車一列在龍潭附近傾覆
page 3	日設貿易省引起外務省內訌
page 4	義官方正式否認考慮和平建議中立地位仍保持不變希特勒今日發表演說
page 4	法國與英一致拒絕和平建議
page 4	蘇土談判前途各方極為重視
page 4	蘇聯波羅的海關係在發展中
page 4	英外相在貴院斥和平建議德國現政府信義全無所謂保證難令人置信
page 4	戰時的日本
page 4	西線法軍續有進展德軍退摩賽爾河東岸薩爾布魯根在圍攻中
page 4	河內聽審記曾案三被告慷慨陳詞結果判有期徒刑七年黃濤澎湃
page 4	日本否認反共協定失效僅放棄加強該協定談判
page 4	日本對美攻擊美不予注意海軍部發言人表示稱艦隊調動非外交可比
page 4	畢蘇斯基夫人由波抵英謂波人將奮鬭到底英承認波蘭新總統
page 4	蘇聯圖打破北海德國封鎖向北歐國家商借輪隻俾維持對英戰時貿易
page 4	德報著文恫嚇中立國圖迫令斷絕與英國貿易
page 4	土代表團與英當局晤談
page 4	日本政治的怪現象
page 5	日艦砲轟張家邊中山我陣線鞏固犯劉村日軍已被擊潰廣州三日兵向我投誠
page 5	潮汕的血淚
page 5	兵役舞弊責任問題重新規定懲處辦法
page 5	張黃改良造紙已獲初步成功質地韌滑足供報紙之用不日將有大批產品上市
page 5	寶安前線昨日無大戰我機昨飛深圳散發傳單總反攻軍事日內將展開
page 5	新督再作廣播促進生產事業增加稻田鼓勵華僑種植保證民主國家必獲勝利
page 5	釋粵府資助華僑教育
page 6	干諾道隆源匯莊昨午被五賊行搶地在油蔴地碼頭繁盛區劫去現鈔金飾值五千元
page 6	運貨赴星確受相當限制不受限制說係某報誤傳有運貨赴星者不能起卸
page 6	港僑自衛團明日正式成立函促各區呈報所轄地段統一財政總部發進支簿
page 6	統制糧食專員規定糧食零售價格新例中國澳門本港產品不得增價廢除九月八日糧食專員命令
page 6	賣花女皇后平安相繼開演
page 6	五婦女團體雙十國慶大會籌備完竣函約各校參加在南華場舉行升旗典禮
page 6	中賑會常委王曉籟昨赴新界視察難民情形並予慰問缺衣缺食者尚有數百人
page 6	救濟留港機工選送赴渝兵工署工作失業工友願反國服務
page 6	琴齊書法班第一班已告額滿
page 6	南渡旅客上月四千三百餘人
page 6	雲南號輪行駛香港瑣羅門島線
page 6	廣肇客棧行自衛團隊議決組織原則多項
page 7	本屆足球聯賽明日揭開序幕各會球員紛紛向總會登記阿鍾金海重返南華會
page 7	南遊日記
page 7	澳星聯籃球隊明晨率師犯港
page 7	星洲足球聯賽馬來榮奪錦標中華隊僅得預備組亞軍
page 7	學界籃球賽明日開會議
page 7	米杜息名將葛尼駕車失事受傷
page 7	和謠影響英鎊續起港元匯值亦回漲匯豐銀行再購進國幣廿萬元申匯市況昨仍極穩定
page 7	股票微露生氣因和謠影響買戶漸增加但存戶堅持成交仍不多
page 7	八九金市復趨淡靜買賣愈少價再下降
page 7	英鎊在美價格突漲
