page 2	社評澤潞告捷的重要性
page 3	中山沿海形勢仍緊我軍陣地始終鞏固潮汕附近我軍夜襲竹竿山
page 3	贛北游擊隊大舉將瑞武路破壞
page 3	豫南有激戰我軍各路分頭挺進
page 3	一週戰況自七月廿三日至廿九日軍事委員會發表
page 3	遠東危機與美國三
page 3	壯烈犧牲某部連長四人奮勇殺Ｘ殉職
page 3	南匯我游擊隊發動總反攻京滬路Ｘ損失慘重
page 3	蘇日激戰未已北庫頁島油田問題蘇方提出強硬要求
page 3	敦化義軍詐降殺Ｘ
page 3	刺范石生案滇法院偵察終結
page 3	Ｘ航校學生來華補充空軍
page 3	鄂南我軍襲擊武昌之Ｘ
page 3	滬蘇州河北大糾紛日軍竟包圍英兵闖入英防區自架鐵絲網附近居民紛紛逃避
page 3	Ｘ聯隊長在潮安受重傷
page 3	金學誠被架Ｘ認與游擊隊有關
page 3	孟壽椿談湘西教育情形各校學生時入鄉村宣傳當地民眾抗Ｘ情緒極高
page 3	滬豆腐漲價
page 3	川西霪雨為災
page 4	英日東京談判今日賡續舉行傳英外相訓令克萊琪要求立除津租界封鎖
page 4	英國外交政策將受美國影響倫敦報紙之判斷
page 4	英美平行政策足破日本迷夢我某外交家觀察
page 4	德國優勢已失遠非英美之敵英報傳德圖拉攏蘇聯
page 4	站在僑胞地位正告汪逆兆銘
page 4	法財長演說解釋新法令推進文化復興加速擴充軍備
page 4	人小氣量窄蘇美大使館宴會日武官托詞拒絕
page 4	義空軍演習實行遠途空襲
page 4	勞合喬治演說抨擊張伯倫政策英國欲履行保證諾言非與蘇聯合作不功
page 4	英蘇法談判大體已完成軍事會談將同時進行龐萊在閣議中報告稱
page 4	防空利器
page 4	德日商約不影響中德貿易關係亦不適用於淪陷區域
page 4	希特勒健康發生問題喉患尤為可慮
page 4	西內長否認內部瓦解說
page 4	印人計劃改革政制提高現有地位
page 4	日反英示威
page 4	滬物價問題
page 5	Ｘ竄擾麻子鄉橫門我軍冒雨逆襲玻璃圍一帶爭奪仍劇烈
page 5	粵銳意革新政務施政綱要開始推行九月訓練區鄉鎮長
page 5	橫門前線春城張縣長勇敢站在最前線督師營幕裹記者和吳司令談戰況
page 5	華振中電告潮汕現狀侵入Ｘ軍無法進展我對戰局極有把握
page 5	增從花Ｘ情
page 5	粵青年團幹事紛集韶關下月開始籌備
page 5	遂溪聯中成立
page 6	國立院校招生各學院考試科目定下月七日至十日舉行多填志願者須增考科目
page 6	胡蝶影夫婦乘車撞傷老婦
page 6	國人在銀行存款共達七萬萬元應本愛國之心踴躍輸捐使抗戰偉業得早竟全功新任華商總會主席郭泉談話
page 6	中山青年會八一三開成立會現籌備獻金運動
page 6	小販義賣獻金商賑會應予援助ＸＸＸＸＸＸＸＸＸＸ小販聯會現擬自行請求
page 6	本港強化空防築大規模防空部設備完善實習防空工作非常時期可變為救護站
page 6	四毫的爭執樂聲公會發生刀斬血案糾察與徵收員發生衝突張元被斬四刀傷勢甚重
page 6	電報月刊第二期已出版
page 6	吳淞街上流血慘劇男女三人械鬥
page 6	新文字學會昨日成立掃除文盲宣傳抗戰
page 7	南華在吉隆坡義賽零比零戰和華聯收入盡匯返祖國賑濟難胞在此戰罷即率師攻打星洲
page 7	昨晨棒球聯賽友啤完成覇業十一比五大挫西洋兵百戰百勝贏得無敵銜
page 7	帆布艇大比賽陳雷璧第一費時二六分五三秒六女組何潔貞名列前茅
page 7	林山網球比賽英選手派定
page 7	小小新聞
page 7	港滬埠際游泳港方準備參加下月中旬舉行游泳賽檢閱成績選員標的
page 7	歐帶台盃決賽德國佔先成績二比一
page 7	今日水球兩塲
page 7	國產運港出口仍旺上半年度達港幣一萬萬餘元桐油藥材茶葉礦沙豬鬃最多
