page 2	紀念婦女節
page 3	漢宜路上我軍得勢天門岳口Ｘ軍無法進展Ｘ機數十昨竄擾陝甘
page 3	一週戰況軍事委員會發表
page 3	西北巡廻教育團已組織成立日內即啟程赴甘
page 3	Ｘ侵海南島後南洋群島的動態上
page 3	二次金融會議孔院長訓詞扶助戰時經濟之發展使省與中央結為一體
page 3	汪兆銘傳將赴義大利
page 3	滬百老匯大樓英商售給日商代價五百萬元
page 3	行政院會議褒揚黃展雲及馬鄰翼郭學禮任青民政廳長
page 3	短衫褲運動慰勞將士總會發起
page 3	吳鼎昌兼代綏靖副主任
page 3	渝市報館一部將遷內地
page 3	滬Ｘ對租界開始取壓迫行動暗殺事件仍連續發生榆林路捕房事件解決
page 3	沙遜爵士返滬於接見新聞記者時稱英國決不會援助日本
page 3	滬郊Ｘ軍加築防禦工事
page 3	Ｘ議員中野正剛在滬發狂言竟謂不必顧忌歐局儘可聽從軍部蠻幹
page 3	三八節前夕渝歌女獻金情緒熱烈感人
page 3	滬工部局下月選新董事
page 4	英外次在眾院聲明維護在華利益如需採取實際行動時當不致減少其需要性
page 4	Ｘ眾院議員質問對華政策本年經常及特別預算業經貴族院可決成立
page 4	興亞院在華設置聯絡部
page 4	東京又出現新興亞會
page 4	美參院通過增強空軍案里海出席參院海委會研究重提關島設防案
page 4	外籍顧問在英演說稱頌我國婦女今日蔣委員長夫人之於中國正如維多利亞女王之於英國
page 4	英美法應共同行動抵禦侵略國史汀生在報端發表意見
page 4	本報記者潮汕視察記四黑了都市亮了農村三戰爭不過是繁榮的搬場
page 4	英王夫婦巡游加拿大日期已改為五月六日
page 4	羅外長返國
page 4	西局將急轉直下各方意見多傾向和平瑪德里或可避免流血
page 4	比王下令解散國會下月二日舉行普選
page 4	巴勒士丁問題英阿代表舉行會議英猶代表非正式會商決定是否修改英建議
page 4	瑪德里成立新內閣
page 4	英不承認共和政府
page 4	回佛爭端解决甘地中止絕食萊考特藩王業已應允在該邦設憲法顧問會
page 4	美國態度仍未變更
page 4	日本決沒有和平的意思
page 4	一個及時的呼聲
page 4	德新戰艦完成俾斯麥號在漢堡下水
page 5	粵省府移韶後整肅內部勵精圖治統一政令各廳處不再單獨對外派高級職員隨朱暉日出巡各縣
page 5	僑閩台民請纓四百餘名受軍訓為祖國自由而戰
page 5	粵北五縣新血債一月份空襲廿九次死傷民眾近四百人曲江防空機關注重防空救護
page 5	中委陳策談救濟海南島難民分積極消極兩辦法難民擬移滇省開墾
page 5	澳門市政局改定米價如違公價即處罰金
page 5	九江Ｘ又增兵三桂鄉竟遭蹂躪烟酒雞猪掠奪一空南海平洲近亦被擾
page 5	福建省當局籌設科學研究所四月一日起舉行科學運動週
page 5	澳婦慰會今日慶祝婦女節售紀念章籌款勞軍
page 5	江門航業大會
page 5	順德更易縣長
page 5	仁化修復橋樑
page 6	灣仔區發生械鬭工兵華隊與小販對壘因戀愛私娼吃醋爭風
page 6	肺癆症上週百七十宗死亡九十八人
page 6	本港電話公司昨日舉行年會去年獲利八十四萬餘元省港通話短期內難辦到
page 6	婦女節紀念會分區舉行女校女工均放假
page 6	李應林等救濟失業教授設校招生或介紹返國曾向教育部請求撥助
page 6	本港當局收容露宿貧民前晚派車送往難民營難民統計共一萬餘人
page 6	置地公司資產增至千萬元
page 6	香港婦慰分會跳舞籌賑籌備委員今日會議
page 6	皇后大道西汽車輾斃小童司機畏禍竟駕車逃遁當局正嚴緝歸案究辦
page 6	英國皇后輪今晨九時抵港
page 6	防空展覽會今日開幕港督夫人主持儀式
page 6	太平劇團今日演飛來俠
page 6	有備無患防空當局疏散人口辦法將密集區域居民遷移選空曠地帶以供居住
page 6	業餘聯誼社擴大徵求社友運動
page 7	今日甲組足球賽南華華會師海軍下午五時起在嘉露連山交綏狄臣墾脫將于週末調防離港
page 7	兩個新紀錄跳欄游泳
page 7	海外動態
page 7	女子乒乓球王
page 7	公開草地網球黃福南酣戰小林珍雖敗猶榮徐氏兄弟擊退番將易如反掌
page 7	勃琪對梵恩斯比賽告一段落前後三十九戰勃琪勝廿二場全部收入達二十萬美金
page 7	克拉姆重返球場
page 7	外匯牌價仍無變動英美匯市先靜後穩申匯略緊華商吸進逾二百萬
page 7	八九金市靜而略淡全日買賣寥寥無幾
page 7	買戶紛至㳫來股票市仍穩定成交總值達二十二萬強以香港電車股票為最多
page 7	英再對我貸款金融基礎穩固國幣粵幣價昨均告上漲
