page 2	社評希特勒的嚴重試驗
page 3	豫北戰事益見激烈我生力軍開上前線敵方宣傳四日已侵入鄭州
page 3	粵北繼續追擊殘敵紛向三水西南潰竄潮陽敵又蠢動被我擊退
page 3	我流動砲兵擊沉敵運艦
page 3	敵猛犯太岳山晉察冀邊區亦展開激戰冀省阜平廣宗俱經克復
page 3	豫敵三路進犯中途遭我截堵
page 3	長沙會戰大捷經過
page 3	湘北我克復金井長沙平江間已無敵蹤
page 3	滬大美晚報門首發現炸彈
page 3	開發西北油田派員赴美購機
page 3	游擊隊活躍蘇錫偽軍消滅殆盡
page 3	滬各民眾團體聯電祝捷並向蔣委長致敬
page 3	湘北視察團一行九人過桂赴湘
page 3	各地紛起祝捷勞軍
page 3	粉碎日本西進新攻勢反侵略勢力包圍中的日本動態
page 3	豫田賦徵實已定期開始
page 3	衡陽女記者捐金釧勞軍
page 3	三青團將改為團長制總部亦有更動
page 3	外匯管理委會已開始辦公格拉第倪邁爾等抵港後即將舉行三國金融會議
page 3	美日談話遲滯東京極感焦慮
page 3	何應欽赴菲說我方予以否認
page 3	澳軍又一批開抵新加坡
page 3	專賣設計委會制定各項法規
page 3	受凍結法令影響津市商業不景氣
page 3	日窘態一斑國內十五歲男子即被強徵作砲灰
page 3	田賦整委會研究整理方案
page 4	紅軍反攻獲勝克復數十據點德軍傷亡萬五千人
page 4	歐洲被壓迫民族大規模武裝抗德南游擊隊俘獲德軍六百名希人數百會進襲保境
page 4	德對挪人窮於應付
page 4	制裁日本譯自倫敦經濟學者週刊
page 4	英坦克產量繼續激進中
page 4	美國防支出約占收入百分十四全國收入亦達到新水準
page 4	九個月來美機產量達萬二千餘架年底產量可達預期目的
page 4	牛賴特失勢被打落冷宮
page 4	美墨談判賡續舉行
page 4	駐美英使談話進攻時機未熟船舶飛機尚待補充
page 4	英德交換俘虜宣布延期原因
page 4	希斯謠言九九九號
page 4	波遠征軍第三師已編成助蘇對德作戰
page 4	蘇當局保證信教自由並禁止反宗教宣傳美天主教領袖表示好感
page 4	印度設立滑翔學校
page 4	英機飛襲西歐沿岸
page 4	滬外僑同情蘇抗戰窮苦白俄踴躍輸將
page 4	戴樂抵紐約將向總統及國務卿報告有價值之消息
page 4	蘇捷簽署軍事協定
page 4	赫爾強調斥責德國濫襲商輪並主張援用自衛行動
page 4	希特勒演說目的蘇認德軍已陷入窘境
page 4	蘇聯聲明信教自由
page 5	江會敵勢危急厓門砲戰劇烈
page 5	蘇德戰局觀測楊杰談德冬季攻勢困難暴日將看準戰機始北進
page 5	陪都小誌
page 5	教育部訂頒導帥制綱要養成學生健全之人格避免教育商業化
page 5	川省滑翔運動即將展開擬定三年計劃積極推進定本月內開始徵求會員
page 6	美訪華軍事代表團昨乘轟炸機抵港蔣委長派代表來港歡迎
page 6	傷兵之友社副總幹事過港赴美工作徐維廉昨日對記者談述最近此項工作進行情形
page 6	斯義桂的歌樂會韋瀚章
page 6	戰債會再催促繳交債款
page 6	港九教育界雙十贈旗獻金國旗三十萬枝分發各校此次贈旗只限戶內舉行
page 6	昨葡僑祈禱紀念國慶
page 6	港出入口商不滿貿易統制辦法領取出入口證均感困難認為影響港正常商業
page 6	劉春華女士鋼琴演奏會下月在半島舉行
page 6	益群藥房貨倉被焚損失達數萬元
page 6	孫院長對外報記者談湘北大捷意義此役已奠定我反攻基礎六個月內將有驚人發展
page 6	導群中學熱烈購募公債
page 7	近萬球迷擠滿嘉山南華戰和東方一比一戰事平淡上場無建樹阿滔德祺先後立功和平了局
page 7	健康破壞的補救尚志
page 7	宋靈聖脫離星島會
page 7	甲組聯賽形勢
page 7	中國健身學院開聯歡會
page 7	鐵城杯主力戰星島對抗中青頭場新青狹路逢黑貓
page 7	桂孔誕杯籃球戰藥群獲冠軍二十七比二十一軍校不敵乙組隊桂中得天下
page 7	雷電小球隊四比三勝燦華
page 7	驚人新聞
page 7	倫敦舉行援華網球賽
