page 1	社評論以色列之謎
page 2	新行政院長迄未決定國民黨立委昨假投票何應欽領先張群吳鐵城次之張群昨飛抵渝表示拒絕組閣
page 2	國軍奪回老河口沙市告急郊區有接觸承德以西濼平激戰後失守
page 2	農村的潰爛與蛻變
page 2	南京記者團延緩赴察綏因為平綏路中斷了
page 2	總統副總統謁陵各機關首長參加
page 2	傳作義奔走部署飛張垣又飛大同
page 2	關麟徵返蓉
page 2	長江水位續漲漢口在江漢大水環抱中贛江大堤發現漏洞多處
page 2	張嘉璈辭職獲准俞鴻鈞兼央行總裁吳鼎昌薛岳職務不變
page 2	奢侈品不許入口經濟部公布物品種類
page 2	滬學生大會改今天舉行
page 2	蘇大使羅申今抵京履新
page 2	治安意見書陳公佩提交治安考察團
page 2	省參駐會質詢徐景唐沉痛問粵政禁止演戲未免削足適履情報人員橫行珠江三角洲委派縣長未根據甄選成績
page 2	行轅改成綏署穗行轅已奉到命令何時實施待宋子文決定
page 2	穗各報將加價每分兩張的六萬元一分
page 2	廣九路頭等車票價聽說要減
page 2	英大使抵蘭將赴蓉渝昆
page 2	調查湖北煤田平地質調查所派員出發
page 2	司徒巴大維要赴台據說是為了去看看美僑但也要去訓練新兵所在地
page 2	復區地權清理法第六條業經修正
page 2	美技術代表團即來華史迪爾曼任團長兩週內啟程援華初期撥款用途分配已定
page 2	人心向背政府其知之乎
page 3	對日和會將無限延擱日準備與各國恢復邦交美當局認為最好暫不訂和約
page 3	日人感謝蔣總統聲明說顯示兩國合作希望表示想派商務代表團來華
page 3	世界科學的趨勢
page 3	日人馬首是瞻要禁共黨做官
page 3	日人看賠償問題賠償局主任叫人民勿樂觀
page 3	抵制日貨國產廠商呼籲
page 3	日本工業水準遠東委會討論
page 3	日政府再來盟總准被整肅者復職
page 3	華萊士表示願訪史達林
page 3	柏林撞機未了縣案英蘇互相索取賠償蘇方暗示將封閉英美機場
page 3	一蘇機降落南韓駕馭員將飛機毀壞
page 3	英鋼鐵工業將國營工黨擬好法案即送議會
page 3	杜魯門演說說美致力和平
page 3	阮文春粉墨登場將乞求各國承認
page 3	金九退隱證實本人聲明將赴麻谷寺養病
page 3	美覆史達林聲明節略
page 3	義新閣組成社會堂擔任重要職務
page 3	美將有娘子軍美國會批准婦女入伍人數得占全軍百分二
page 3	聖地戰事應停止聯合國已派定調人蘇控英指使阿人作戰
page 3	公主入舞場有失禮統兒童看接吻大不相宜
page 3	在暹被劫黃金據說已運越南國防部長監查納打消辭意
page 3	暹內閣迎新王返國定十二月舉行加冕典禮阿拱巴侯爵受命為駐華大使
page 3	阿猶血染聖城阿拉伯軍團向舊城猛攻
page 3	小馬登樓忙煞消防隊鬥鷄之訟難倒審判官
page 4	四千兩煙土投下海總值約廿七萬元餘投下前先打成小塊免人檢拾
page 4	運煙來港伎倆日新
page 4	漁政當局放映影片
page 4	徐繼莊案昨日續審何嘉裕受兩方訊問全案展至六月二日再審
page 4	中華廠商會昨開理事會
page 4	煙土來自東江運港可獲大利
page 4	糧食雜貨商會紀念成立二周年
page 4	十一歲小女獨自飛古巴
page 4	九龍籌組潮州公會
page 4	工務局佈告撤銷公賣地
page 4	華商總會訟案改六月三日審
page 4	車站巧遇抓住黃才
page 4	續審鍾生被綁案警察供述破案經過
page 4	被勒索經過
page 4	文錦渡關卡走私貨減少
page 4	南洋紗廠罷工工人三分之二復工廠方已雇用救世軍送去孤兒
page 4	九十天的契約經總局長批准
page 4	本港新富昨天真除國大之花開到香港房租之貴要算中環
page 4	控告二房東自己不出庭法庭撤銷原案
page 4	台人流浪香港被判遣回原籍
page 4	三百餘兩黃金昨日被判充公
page 4	與夫爭吵婦人服毒
page 4	三人屢犯盜案法庭嚴厲懲治一判十二年兩判十年
page 4	勒索五塊錢坐牢一年多
page 4	收帳員虛報盜劫昨日在法庭認罪
page 4	海面酒店在醞釀中
page 4	救火車撞柱三個人受傷
page 5	財部通令禁止香港向國內國幣匯款國內行莊代港澳交付國幣一併禁止
page 5	工商供應處新定五金出口種類鋼板鋼條禁止輸出
page 5	金融市場全面靜寂美匯轉挺貢紙突升黃金息價去五分交收萬二千餘兩
page 5	申匯市況上下不定
page 5	政府從未考慮開放外匯市場豬鬃業呼籲修改外匯政策
page 5	紗錠南運先應呈准
page 5	紐約市場英鎊跌價
