page 2	社評巴爾幹會議的前瞻
page 3	桂南日軍兩路竄擾邕賓路已發生戰事我大軍增援分頭予以痛擊
page 3	鄂贛前線大雪紛飛我軍活躍積極出擊
page 3	晉南我軍冒雪前進壺關一帶日勢動搖
page 3	全國各報社聯電討汪國際廣播電台反汪宣傳週
page 3	一九一八與一九四○一
page 3	南路黨政軍學開聯席會議通過重要議案十八項粵朝野合力復興農村
page 3	日汪密約米內在貴院稱即將予以發表
page 3	小學教師待遇教部積極改善對增薪及其他優待辦法通令各省教廳從速施行
page 3	滬西問題工部局與偽市府間尚未簽訂任何協議
page 3	馬來華僑回國服務團由滇首途赴渝
page 3	華北慰勞團今日由蓉赴陝
page 3	白主任召開之行政會議閉幕戰區政治問題已解決提高鄉鎮村街長待遇
page 3	戰區學生轉校教部規定辦法
page 3	日機又炸滇越鐵路
page 3	日本經濟枯竭難再支持兩年戰事荷馬女士觀察結論
page 3	挪威僑民在滬西被劫受傷
page 3	上海大雪半日積雪三寸為十年來僅見
page 3	滬無名女屍迄仍無人認領
page 3	渝英使館斥日人造謠
page 3	抑制書價辦法教部頒發辦法五項飭轉令各書業遵行
page 3	滬汪方特務人員竟無惡不作持槍行劫勒索陋規與警捕發生大格鬭
page 3	日領會議業已結束內容不詳
page 4	美國一般民眾反日情緒高漲政府意見亦極堅決禁運法案可望通過
page 4	日議會空氣黯淡民政黨代表開始質問米內等答辭牽強無力輿論不滿閣員演說
page 4	櫻內財政報告
page 4	偽滿經濟的落沒上
page 4	天津英租界糧食奇缺日領訪懷德惺惺作態對糧食缺乏表示詫異
page 4	淺間丸事件日海相吉田向英恫嚇謂如外交交涉失敗海軍準備武力應付
page 4	英美飛機運抵芬蘭作戰駐美蘇大使謁國務卿赫爾芬總統表示願獲榮譽和平
page 4	日對楊格提起控訴將在普通刑庭開審
page 4	日方宣傳將重整海軍規定五萬八千五百萬鎊
page 4	巴爾幹協商國決延長協定時限德義加緊使用壓力土羅態度最堪注意
page 4	南歐地震波及範圍甚廣
page 4	張伯倫解釋內閣委會職務檢討戰術形勢因素供給戰時內閣意見
page 4	我國觀察家評有田演說不論如何巧言掩飾對美關係難望改善
page 4	蘇日關係改善難廣泛協定亦無締結可能美報論劃界會議之決裂
page 4	日方解嘲謂將另組委會
page 4	如此志士
page 4	日閥的效顰
page 4	奇勒基寶偕妻出遊一去不返
page 5	廣州市黑暗蕭條日軍濫捕青年人心惶惶我駐市便衣隊活躍異常
page 5	我軍衝入會城燬日營兩座日軍圖犯桂洲不逞
page 5	翁源難童搶運抵韶唐灝青接任軍法總監
page 5	岐關公路客車增價每站收一角五分
page 5	東江軍政當局嚴密護僑分途出巡伏莽歛跡派警護送僑胞稱便
page 5	廉江縣投變呂春榮逆產
page 6	電教協會港分會籌設大規模攝影場建設費約為港幣十萬元並將向華南各片廠貸款
page 6	我貨船兩艘又遭日艦焚劫在本港附近被日艇堵截兩船損失共達四千餘元
page 6	馬師曾義演收入突破紀錄
page 6	粵文物展收件定期截止
page 6	文藝協會定五日舉行聚餐會歡迎蕭紅瑞木蕻良
page 6	世界書局香港分局昨日開幕
page 6	青年生活社售貨兒童均着制服率領職員亦佩徽章
page 6	中國婦女會今日賣花售出名譽花款已有五百餘元
page 6	本港存米打破以往紀錄官商躉存共達一百萬包政府認為無需限制米價
page 6	戲劇宣傳團今日成立關德興奉命組織
page 6	華南婦女節制分會昨舉行第八次全委大會某洋行擬向難民自助社定織檯布
page 6	娛樂消息
page 6	本港簡訊
page 6	播音講演
page 6	畫展
page 7	特別銀牌第二週南華南鬭水兵甲組聯賽今日無戰事
page 7	大生杯排球英皇對漢中
page 7	今天戰表
page 7	女子籃球賽今晚壓軸戲
page 7	教部體育會議由陳部長主席致詞檢討過去勗勉將來
page 7	台盃綱球今年停止舉行
page 7	西貢名單寄到總會公開發表南華東方兩會兵馬選定磨拳擦掌嚴陣以待客軍
page 7	協會足球義賽昨開籌備會議
page 7	招待越隊程序總會昨日正式公布
page 7	銀行籃球賽今日有三場
page 7	美匯市況略緊英匯市況仍呆滯申匯略見好轉銀行頗多拋出
page 7	八九金市略緊但靜
page 7	投機者靜極思動股票市略好轉全日成交總值近十萬元
page 7	法幣市價趨跌原因係美匯需要增加
