page 2	社評美修正中立法的估價
page 3	日軍慘敗妄圖報復各路進犯均未得逞
page 3	蔣夫人向美廣播全文對美國制裁日本表示深切的感奮
page 3	冀南激戰中南宮日軍被圍困
page 3	救濟難童美人熱烈募捐成績極為良好
page 3	一個有歷史意義的座談會
page 3	中航渝仰線今日正式開航每週來往各一次
page 3	達王獻金慰勞湘將士
page 3	外交協會歡迎于斌主教演講美國遠東政策
page 3	滬工部局將召開董事會
page 3	兒童保育院院長會議閉幕向蔣馮二夫人獻旗
page 3	林發黎勒死台灣獄中
page 3	湘北日軍埋藏軍火
page 3	克萊琪昨行抵神戶英日談判已現裂痕美國採取行動援英制日
page 3	滬大美報發行橫遭阻礙
page 3	第某戰區公布捐款數目
page 3	中央統籌訓練辦法各省分設訓練機關
page 3	津愛國份子引渡津偽法院
page 3	豫東我軍活躍
page 4	德國勢在必逞聯軍嚴陣以待英空軍隨時準備出擊西線開始空前砲戰
page 4	德機圖轟炸英國難如願以償
page 4	瑞荷比三國邊境形勢仍緊張
page 4	燧石城號事件美朝野憤慨將採進一步有力行動該輪行蹤蘇德互推諉
page 4	北歐風聲鶴唳蘇芬談判神秘莫測似弛實緊人心不安
page 4	捷克建國紀念普拉格舉行示威遊行貝奈斯謂捷克未亡
page 4	土耳其縱橫談
page 4	柏林方面宣傳蘇德軍事談判有成立協定之可能
page 4	美中立法修正案英法首蒙其利大批訂購品準備起運德責美達反中立態度
page 4	巴爾幹前途法方傳蘇德將攻羅國羅京運日開重要會議
page 4	奧保守黨人圖謀復辟正向各方接洽中
page 4	日米產量大減評價委員會建議禁罐頭食品內銷
page 4	中立國船隻輸送違禁品英按原定辦法處置
page 4	美日談判無望
page 4	蘇德談判
page 5	汾水江一帶激戰三埠形勢又緊張輪渡遭狂炸損失頗重石龍方面我控制全局
page 5	江佛路我軍活躍圍攻瀾石獲捷日軍狼狽應戰敗走石灣
page 5	中山米價暴跌
page 5	各方積極救濟瓊崖難胞籌款建築住屋
page 5	廣西職業訓練的推進
page 5	粵南日機騷擾靈山北海被炸法國天主教堂亦遭炸毁
page 5	粵省軍事當局征集游擊區壯丁施以嚴格訓練抗戰保鄉
page 5	省振濟會設立勞資合作墾區將組織南路墾區管理處劃分荒地配置難民墾殖
page 5	軍部電令嚴禁強拉買替壯丁
page 5	失業教師分批抵韶訓練三個月後分派教育工作
page 6	關於所得稅輔政司表示港府在考慮中能否取銷開徵尚不可知外商建議公共事業官營
page 6	醫務當局發起種痘運動勸市民從速種痘
page 6	西區自衛團今日出發募捐昨成立財政保管委員會所有捐款均將送交總部
page 6	兩船報案被劫一貨船在果洲途遇賊艇一漁船在華界海面遇禍
page 6	本港第一次美女表演會明年一月舉行
page 6	罌花日募捐運動各界踴躍捐助
page 6	惠陽商會促進戰時交通寶安沙魚涌至惠陽淡水力謀減少行旅貨運困難
page 6	中中交農四行駐港人員赴渝鄭鐵如談四總行均設渝謠傳由港遷渝殊非事實
page 6	各的士公司下月一日增價起碼車費四角增至五角每四分一哩增加一角五
page 6	青記學會週年紀念秩序中國青年新聞記者學會
page 6	流浮山難民處置辦法無法維持生活者移送新界難民營
page 6	英國救濟會捐款首批萬鎊匯英籌款工作現仍積極進行下月十日舉行義影籌款
page 6	華員會舉辦馬灣旅行下月五日前往
page 6	新界盜風日熾鄉民擬請武裝自衛大埔荃灣已有自衛團但徒手巡邏無濟於事
page 6	琴齋書法班添設現讀生補習班
page 6	賈乃錫夫婦昨離港北行
page 6	老介福商號下月二日開幕
page 7	海軍隊一敗塗地東方六出祁山金海乖巧奮勇取三關
page 7	新蕩寇志
page 7	港澳小球戰打成和局客軍今日返澳
page 7	昨午網球義賽惠堂組獲冠軍
page 7	明年世界運動會美提出接辦意見
page 7	會真記
page 7	馬迪夫人改嫁
page 7	心嘉杯小球賽壓軸好戲鍾聲戰太古
page 7	征菲籃球隊定明日動身
page 7	本年國產品經港外銷情形歐洲戰事影響尚不大桐油豬鬃價格均飛漲
