page 2	韋爾斯訪歐的再認識
page 3	廣州日軍又圖蠢動嶺東方面連日血戰潮汕日軍增援反攻卒被擊退
page 3	滬日軍無賴強拉我壯丁迫令入伍調往前線補充開放虹口用意原來如此
page 3	樊仲雲陳中孚等國府明令通緝附逆有據應予嚴辦
page 3	討汪通電
page 3	偽軍紛紛投誠數逾十五萬人
page 3	居院長公子赴前線殺日 
page 3	日人反戰同盟招待桂文化界報告決心反戰到底定期演劇三日募款勞軍
page 3	青參議會首次大會閉幕通過要案甚多
page 3	日警備司令被我擊斃
page 3	綏西軍民合作日人絕難立足軍事進犯已遭遇慘敗政治陰謀亦不攻自破
page 3	滬槍殺案汪派嘍囉汪駿被人槍擊重傷
page 3	人事行政會議提案在審查中
page 3	僑委會歡迎南僑慰勞團已組織籌備委員會
page 3	滬巨竊案丹比夫人所失珍寶價值達二十餘萬元 
page 3	任鴻雋談
page 3	生前略歷
page 3	得病經過
page 3	蔡元培逝世定於明日下午入殮蔣委員長電唁家屬
page 3	黃主席報告劫賓陽災情慘重當局正積極救濟中戰區實生清潔運動
page 4	芬卡列利亞防線蘇軍猛烈進攻北歐正注視今後局勢希望能打開和平之門
page 4	日火車失事旅客罹難者百餘人
page 4	韋爾斯抵洛桑定今日乘車赴巴黎
page 4	非洲義屬地邊境英軍集中英方力言並非對義煤運爭議尚難解決
page 4	美眾院討論在華貿易問題本報渝版論英美合作
page 4	德機屢襲英荷兩國商輪荷蘭人士極感憤怒將向德國要求賠償
page 4	英國內閣傳將局部改組賈特菲等有將去職說
page 4	齋藤正式表示決不自動辭職日議贈指摘米內外交煙俊六不滿國內情形
page 4	行政院議決嘉獎鄂七縣長黃紹秋任皖南行署主任
page 4	英孩作歌譏希特勒余之潛艇竟伍波臣斯比上將冤沉海底
page 4	某國武官在桂談對日觀感在華軍人腐敗已極內部恐將發生變化
page 4	中蘇文協四屆職員選出孫科連任會長
page 4	悼蔡孑民先生
page 4	三兄弟將公演
page 4	英國思想界之軒波上
page 4	蘇聯作品運我國展覽
page 4	英援華情緒熱烈劍橋舉行募振會盛況詳誌劍橋市長夫婦均列席郭大使陳述抗戰情形 
page 5	日軍分兵四路再度向中山進犯我分路堵截形勢緊張石岐方面人心甚鎮定
page 5	我軍反攻大良在近郊相持中
page 5	粵主席李漢魂革新琶江要政培植民眾武力撥款振興教育修築琵江河堤誡民禁絕煙賭
page 5	粵婦女界徵募棉衣共得二十二萬餘元
page 5	西藏紀行七
page 5	粵北各縣煙毒禁絕煙民多已入院施戒
page 5	西康日記六八
page 5	謁見攝政
page 5	粵北造林運動劃定四林墾區籌備會議擬定各項辦法
page 6	昨晚燈火管制歷時僅三十分鐘燈火掩蔽成績較前進步空軍因天氣不佳未出動
page 6	立法局明日例會接納戰稅委員會報告書輔政司將提請通過
page 6	國光公司漆油出品精良
page 6	三八婦女舉行售章紀念茅麗英女士
page 6	菲島公理報廣播國內外電訊每晚十時半起至十一時國內香港等處均可收聽
page 6	舞女被騙案歹徒劉啟雲被捕小輪中與探目狹路相逢李小妹黃愛梨認出其人
page 6	花展開幕獲獎出品已經評定
page 6	春禮勞軍國貨公司慨捐千元 
page 6	中山難民救濟院屈定伯函港澳振濟會接濟已經轉呈中央濟委員會
page 6	華商籌振會昨日之成績
page 6	建築總工會響應一碗飯運動擁護商會及振聯會領導人人皆可貢獻一碗飯
page 6	克利蒲爵士昨日抵港下榻督轅明日赴美
page 6	東樂
page 6	天文台公布歷年氣候及雨量最高溫度九七最低溫度三二一九○九年尾雨水連綿六十日
page 6	星洲商人如何採辦受限制之商品海峽殖民地政府憲報之通告
page 7	爭奪銀牌決賽權週末大戰爆發南華兄弟戰東方警察
page 7	督憲杯第二戰下星期日舉行盼協會慎選良將上陣我軍勝或和即獲錦標
page 7	東方足球隊秣馬厲兵週末戰雜鳳
page 7	兩華籌備南征
page 7	記者體特會旅行鴨脷洲 
page 7	籃球聯會昨日會議改期
page 7	願珍重自愛體育界對國家的觀念
page 7	英匯沉寂美匯趨緊申匯市況先緊後靜
page 7	八九金市昨交易仍稀少
page 7	本港股票市況昨日略形鬆馳成計總值共三十餘萬元
page 7	日本布疋運港激增滬疋頭亦見增加
page 7	記者公會撥款賑濟粵北難民
page 7	南大體育概況
