page 1	論省縣自治通則
page 2	增援國軍昨夜重入開封西安將領雲集會商軍事
page 2	何應欽軍事報告被洩露立院決組特種委會徹查會議場中引起一場軒然大波
page 2	總預算擬不好關於軍費兩種意見相背政院昨開臨時會議討論
page 2	立委月薪若干八千四百萬元
page 2	龍文治等提議維護新聞事業決議先付審查
page 2	台灣通訊漂向激流的船上
page 2	廢物利用中國願買美剩餘物資不向私人工廠訂新貨
page 2	何應欽今飛平
page 2	幣制改革確在籌劃司徒立門在穗透露消息據說這是他的任務之一
page 2	怎樣建設廣東宋子文提出參考材料
page 2	吳國楨不肯罷手一再表示要傳交大學生交大校友社會人士不滿
page 2	白崇禧昨抵漢
page 2	湘省府秘書長由楊宣誠繼任
page 2	河南大學將遷蘇州
page 2	反對徵財產稅滬工商界即派代表晉京
page 2	加緊練兵中美要員若干人即抵穗指導第九訓練處遷穗事
page 2	大法官考試委員民青兩黨提人選
page 2	卅七年下半年度粵總預算制定歲入歲出各為三萬餘億歲出方面以軍費佔首位
page 2	鄧錫侯離渝飛蓉川陝甘綏署人事已內定
page 2	粵漢路下月起改善縮短行車時間加掛客車廣韶間改開正式特快車頭等卧車分為甲乙丙三種
page 2	防治霍亂補助費穗市分得十五億
page 2	粵省參會情緒激越盼中央駐粵機關報告施政政院迄無覆電參議不耐了
page 2	砲手淩維素不出席審查會
page 2	平市參會鬧劇參議員和警察局長對罵雙方都不甘休事態僵持
page 2	台鶴公路看災災民在廟宇祠堂裏棲宿塌的房子多是年久失修開平縣境災情不算嚴重
page 2	各航空公司請調整運費
page 2	軍人打戲院鬧四小時傷二人事情發生有廣州
page 3	美共和黨大會三度投票杜威當選為總統候選人代表一致擁護共得一千餘票
page 3	杜威大談援華盼上台後能加強援助
page 3	他的援華論調
page 3	南韓籌組政府李承晚挽留美駐軍
page 3	柏林馬克戰稍緩和西方國家各管區修改規定不絕對禁東德馬克流通
page 3	美軍長駐柏林克萊說除了戰爭沒有其他方法能趕他們走
page 3	美兵役法案杜魯門簽署
page 3	英鎊貶值問題解決美同意不越俎代庖英政府證實已與美協議
page 3	暑假臨頭想到學生
page 3	華沙會議結束東歐八國一致主張四強籌組全德政府莫洛托夫已飛返莫斯科
page 3	英將購日布一億碼總值在一千萬鎊左右精製後運銷各自治領
page 3	法國也表示決久駐柏林
page 3	英當局也下令禁貨車入蘇區
page 3	本是同根生猶人相煎何太急以色列政府與地下軍內訌未已
page 3	外約但宣布決繼續戰爭
page 3	話說杜威
page 3	英調大軍赴馬來說要竭力撲滅恐怖行動繼續有人被殺繼續有人被捕
page 3	日刦我車頭在朝鮮發現
page 3	菲游擊隊爭取團結泰洛克說並非投降目的是與政府合作建國
page 3	非洲酋長有妻一百多蘇聯軍官受勳十一人
page 3	美軍一紙命令蘆田內閣轉危為安日眾院否決不信任西尾案友黨預算修正案亦可成立
page 4	九龍城內荒涼徬徨居民組織漸趨分裂選舉會以監選未到改期
page 4	司徒立門等昨到港嚴家淦談此行任務他否認救濟物資在港起卸說
page 4	銅鑼灣區修築新村
page 4	東華三院總理今日新舊交替
page 4	民主同盟發表聲明
page 4	有人賣委國入境證商民千萬不要受騙委內瑞拉中華商會來函警告
page 4	德士古工潮談判無結果
page 4	飛行管理總部落成港督視察啟德機場
page 4	防空救護隊領戰時薪津
page 4	經濟學人航空寄港
page 4	少年軍人行劫高庭破例減刑
page 4	租務官司法庭難決
page 4	十四歲少女作證供說兩婦人誘良為娼證據不足法庭判決無罪
page 4	選香港小姐十六位報名
page 4	金馬拉馬戲定今天開鑼
page 4	華商總會幹事值理會昨討論債務法例
page 4	白晝搶劫留下假槍
page 4	請免狗尾鞭高庭不批准
page 4	要她揾錢約同出走
page 4	幸獲同居代為作證
page 4	福州水災本港關心
page 4	鄧寄金鐲法庭沒收
page 4	青年拒捕被警槍傷
page 5	路透社報道逃港游資六百億港元港戰後三億發行也在投機家手中正當需用只五千萬餘均用於投機
page 5	申匯續跌百分之廿最低成一點四五元端節迄今跌掉三分之二
page 5	南京物價劇烈上漲
page 5	星洲國布慘落平均跌三分一銷途疲弱貶價求售
page 5	加強對外易貨
page 5	粵海關六月來稅收四千餘億緝獲私貨三千餘宗
page 5	台幣匯率昨又提高一比五六三元
page 5	定貨貸款收購成品四聯通過處理辦法另核定存款利率計算標準
page 5	股票市態疲弱成交最少一週本週股市黯淡結束
page 5	越南當局規定攜帶外幣數額
page 5	滬黑市美鈔漲至四百萬米每擔升至一七○○萬結匯證高價一三三餘萬
page 5	滬市行莊四月資負存放統計
page 5	滬穗米麵紗布齊漲海口糧食油類堅挺廈梧物價一致步升
page 5	金鈔牛皮國幣瀉油糖疲軟紗布跌
page 5	柏林不安港金企定
page 5	糖價連日微瀉星洲下月禁糖入口行家看淡定戶縮手
page 5	游資又南流穗金融波動粵關緝獲現鈔六十億結匯證高價八十八萬五季輸入證開始簽發
page 5	我向英購人造絲機器價七五萬鎊明年交貨
page 6	鐵崗一幕排球賽南華受挫聖堡羅三比零保羅勢如破竹
page 6	世運籃球代表隊今夕對警星交鋒在滬最後一仗戰美海軍
page 6	嘉山今日無戰事黑白明日鬥自力南華改廿九日應戰
page 6	世界拳王決戰可能改今晚舉行
page 6	世運點將錄二千里馬
page 6	大華飯店黑白宴客
page 6	公開籃球賽今天三場
page 6	嶺英定期舉行畢業典禮
page 6	東北角的體育將披上一副新裝太古華人福利會積極發展在足球場附近擬建健身室 
page 6	教次杭立武表示教育經費拮据國大礙難增設光華三學生自願退學
page 6	南華廿八屆選舉複選昨夕揭曉郭贊得票佔多數
page 7	再審漢奸大打折扣偽瓊崖主席免死僅被處徒刑四年
page 7	廣寧稅官五人貪污舞弊被扣
page 7	新公路殺氣大迎黃佛爺去鎮壓妖魔新會石咀北洋一場熱鬧
page 7	都市的陰暗面澳門自殺案層出不窮少女少男多人都跳樓
page 7	修堤民工得不到工款每丁還要繳十五萬元惠陽參議會質詢縣政
page 7	五邑災後各縣賑災忙
page 7	抗議兒戲法律小偷送服兵役海口各界反對法院出面依法處理
page 7	報業公會舉辦杭州選出富豪共投了一千七百多張票名單送給特捐分會參考
page 7	觀眾走後台灣零拾之四
page 7	五歲男孩肚裏割出怪胎大腸出血產後三天便死胎兒有齒有髮有腳但無頭無手
page 7	怪胎的形成有三種可能
page 7	怪胎大小如胖子拳頭
page 7	江門大抓娼妓抓了良家婦女其中一人是快要結婚的
page 7	怪胎之母小史家在武進父親是醫生三年前肚子便隆起了
