page 2	抗戰進入第三年
page 3	蔣委長告戰地民眾粉碎Ｘ方毒計完成最後勝利
page 3	抗戰勝利的保障
page 3	政治進攻的陰謀
page 3	蔣委員長通電慰問抗戰陣亡將士家屬補充撫䘏辦法數項令各機關認真查報
page 3	五個月間Ｘ機暴行胡世澤照會國聯
page 3	抗戰第二週紀念日告日本民眾書續
page 3	七七紀念滬情況緊張被捕者達六百餘人
page 3	華北各界擁護緝汪通電
page 3	薛西爾爵士製紀念旗獻給蔣委員長
page 3	英報評論
page 3	上海Ｘ僑要求解決租界問題
page 3	Ｘ機窺陝在渭南墜毀一架
page 3	雲南設農學院
page 3	粵我軍各路挺進廣州Ｘ軍一部已撤退
page 3	華北偽組織排斥外商利益規定掠取外匯大綱
page 3	滬地面下陷每年達一寸許
page 3	Ｘ機連日襲渝在城郊濫投炸彈
page 4	英外相表示對日決不妥協平沼米內發表談話竟欲強英曲徇已意
page 4	津日軍總司令大言恫嚇英國代表四人已抵東京
page 4	東京英使館前日本羣眾示威欲將英人逐出亞洲
page 4	抗戰兩年本港士蔑西報七月七日社評
page 4	英政府向西慈發出新訓令三國代表將繼續談判
page 4	美財部宣布購銀新價格每盎斯三角六分七五將繼續向外國購白銀
page 4	美海軍部長史璜生逝世
page 4	不降必勝論紀念七七兩週年作下
page 4	英努力空防英倫威爾士兩地將建撒退居民營
page 4	但澤軍事措置波決定對策不擬正式提出牒文
page 4	傳美對日貨將徵收附加稅法對進口日貨實行簽證制度
page 4	英礦工大會議決致書德礦工請勿受獨裁者利用共同携手抵抗侵略
page 4	英軍事代表團在土京談判完成啟程赴韃靼納爾
page 4	德對保加利亞盡拉攏能事保總理抵德將談判經濟
page 4	顧大使歡宴法總統
page 4	英貨款四國案提出眾院討論總數為一萬萬鎊
page 4	貝爾湖上空蘇日空戰
page 4	昨日之上海
page 4	Ｘ方的七七
page 4	美駐菲專員數週內將辭職
page 5	抗戰建國兩週年紀念五邑戰區盛大舉行紀念會及獻金情緒均極熱烈Ｘ不顧人道用毒氣彈攻舊社
page 5	蔣委長告全國軍民書昨續
page 5	潮僑鄭子嘉捐欵散賑共國幣五千元
page 6	抗戰建國兩周年港僑昨熱烈紀念購債獻金義賣義唱捐款各界社團學校公祭先烈
page 6	三文化團體聯合舉行紀念王冷齋報告廬溝橋事變Ｘ人詭計陰謀不顧信義
page 6	天氣報告本港天文台昨日下午五
page 6	八十餘工團向各長官獻旗張一麐許世英代表接受前英工黨議員到會演講
page 6	歌星劇人小販義唱義演義賣文園義唱銷票成績甚佳佩記義賣連同小賬捐送
page 6	華商總會開會追悼
page 6	港九各社團公祭陣亡將士參加四十團體二千餘人會場空氣緊張儀式隆重
page 6	基督教徒國難祈禱
page 6	男女各學校分別開會紀念或捐款或宣誓盛極一時粉嶺農院生赴鄉村演劇
page 6	團體及個人踴躍獻金購債惠陽商會獻金成績極佳沙籐商會徵集書畫獻金
page 6	紀念花共領二十八萬餘朶成績華商總會公佈
page 6	婦女節制會為難民社募捐使難民參加生產工作吳鐵城到會並致訓詞
page 6	四團體舉行國民宣誓典禮影人劇人影響民眾甚大宜各遵守公約完成使命
page 7	溫布爾頓女單打瑪博小姐發雌威斯比靈光盤直落毫無生望男雙打美選手獲得決賽權
page 7	網球雜感
page 7	公開棒球聯賽南華逢中華下午二時半起在嘉山雙方旗鼓相當有惡戰
page 7	千里寄來一封書南華檳城戰紀第一仗打勝檳中華隊
page 7	第一砲三比一大勝中華
page 7	英美滙市況乏生氣各滙牌價昨仍無變動申匯市靜買賣均稀少
page 7	八九金市仍滯且靜買賣寥寥價少起落
page 7	股票市仍穩靜賣户態度強硬堅持不放全日成交僅屬六萬餘元
