page 2	社評義戰必勝寄苦鬥中的蘇聯軍民
page 3	蘇德戰事轉見沉寂史達林線固若有金湯德坦克車又被炸毀數百輛
page 3	蘇聯遠東的軍備二
page 3	舊金山海灣美海軍布雷
page 3	敘利亞澳軍傳攻克貝魯特休戰條款已送達維希法內閣定期會議決定
page 3	冰島國會同意美軍代管防務英國承認冰島獨立主權
page 3	美參院議長宣誓就職副總統監誓
page 3	秘魯赤道國派使赴美京商討休戰建議
page 3	美國派軍接防冰島孤立議員鼓噪叫囂
page 3	挪威京城發生巷戰民眾反抗奎斯林
page 3	德空軍能員被英軍擊斃
page 3	駐美德領將赴日本英方已保證其沿途安全
page 3	史達林主席再延見英大使蘇聯望英能更進一步使德軍陷於兩線作戰
page 3	德高級指揮在蘇戰死步兵指揮朗西爾
page 3	英國空軍續炸德後方鐵路航運皆遭破壞對德威脅日漸增加
page 3	瑞典丹麥電話不通德機飛越瑞境北部
page 3	授權總統接收工廠案美眾院予以否決
page 4	顧大使謁英王呈遞國書并墾切長談
page 4	我與羅馬尼亞斷絕外交關係德義駐渝使館人員定期撤退
page 4	希特勒弄巧成拙本想誣衊蘇聯不料刺著尾巴
page 4	美僑又一批自滬撤退
page 4	日本又神經過敏謂中英美蘇締盟韋爾斯否認圖在蘇設根據地
page 4	粉碎侵略者陰謀首先應擊潰日本我外部發言人表示意見
page 4	馬尼拉首次燈火管制演習成績甚佳
page 4	美大使晤郭外長暢談半小時
page 4	芳澤談話反說荷印不了解
page 4	日將召集臨時議會近衛要求擁護準備作新冒險以求一逞
page 4	敵機前日狂妄襲渝本報渝館中彈起火損失雖重仍照常出版
page 4	美國探險家威金斯抵渝
page 4	論法幣與平準基金一
page 4	參政會駐會委員開第九次會議
page 4	粵北始興發現脊椎動物化石
page 4	我游擊隊襲杭州詔安秩序漸恢復
page 4	田賦改徵實物粵府商定辦法
page 4	自由世界協會電國府表示擁護
page 4	滬日軍扣留英輪機件五百箱補卸下英總領已向日交涉
page 4	滇獻金運動四日獲廿餘萬
page 4	沙遜抵滬謂日已如釜底游魚
page 4	納粹的作風
page 4	敵機的暴行
page 4	美國名記者殷傑蘇爾來華
page 5	粵省臨時參議會連日審查提案業已收到提案共八十餘件多側重經濟吏治教育問題
page 5	第三次會議中各軍政長官出席作施政報告參議員提出質問均圓滿答覆
page 5	資源委會與粵省府合資開發粵北工業
page 5	粵省府四委員公畢由渝返韶胡銘藻暢談財政會議經過高信談中樞關注土地政策
page 6	燈火管制學習定廿一日起舉行一連三日或繼續至四日同時舉行防空燈罩試驗
page 6	穀米統制專員談米價暫難減低米價及運費均較前增加羅文錦認當局已力求平抑
page 6	美參贊麥曉昨晚抵港
page 6	英經濟審計專員工作進行順利先後調查港府各機關視察後即將轉往澳洲
page 6	少年夏令營聘定名演講明日截止報名
page 6	菲島又起颶風有襲港勢昨日距港六百哩
page 6	稅專招生今日報名投考資格及手續
page 6	港建造掃雷艦四艘獻贈英國政府殖民部大臣電謝港政府認係對英海軍一大貢獻
page 6	油蔴地東安街全興義館被警解散慶祝寶誕警探突到捕人全部館員物件均被帶署
page 6	傷友服務員在港徵求名額擬定百名
page 6	客棧行商熱烈購債
page 6	澳門海外發現怪輪全數二十餘艘
page 6	司徒永覺函菓菜行徵求合作發售蔬菜規定公價發售菜欄抽佣菓菜　將舉行會議討論
page 6	工合發表二週年報告工合遍設各省現有工合五百八十一所日用衣著織品大量生產
page 6	回僑輔導會港登記處由生產建協會代辦
page 6	貨船十餘艘被日輪洗劫水客胡昌死於棍下
page 6	特務警察三千名即可開始招募組織大綱及徵募計劃將呈由港府當局核准
page 6	鶴堅士任交通警司強化行政機構整頓港九交通
page 7	今天兩幕棒球賽中華對岷甸奴第二場南華鬥香港會
page 7	今晚游泳對抗勵進域多利
page 7	卓雄杯賽巧甡同義大勝
page 7	東方新職員今日正式交代
page 7	公開夏令籃球賽仿林初逢新青雙方勢均力敵惡戰難免頭場初級組電青對金銀
page 7	股票繼續猛漲需求大增買戶乘勢居奇昨日成交總值九萬餘元
page 7	外匯牌價仍無變更美匯靜寂申匯穩定
