page 2	社評我們的和戰觀
page 3	晉西捷後士氣益振禹門渡口相繼收復粵東江我軍正積極部署中
page 3	Ｘ機炸湘桂贛
page 3	冀中我游擊隊在安國重創Ｘ軍
page 3	郭沫若對外記者談Ｘ國內情勢不穩軍閥與財閥摩擦日甚有引起政治地震可能
page 3	新四軍精神好在江南牽制着Ｘ人所苦的是醫藥缺乏一位醫生的報告
page 3	一週戰況自一月二日至八日
page 3	中愛友好條約本月十日起正式生效
page 3	平郵務局長在明陵被綁架
page 3	滬救國捐又匯三萬餘元
page 3	粵各區行署奉令撤銷
page 3	滬義兵行兇開槍擊傷一行人捕房正在調查中
page 3	保護遠東利益英態度確趨強硬詹森赴倫敦與英美合作有關
page 3	美使離英返國
page 4	張伯倫昨抵義昨晚與義相初次晤商過法時曾與法揆長談
page 4	比將退出西亂委會
page 4	羅斯福外交政策與軍事相輔而行最主要者為關島設防制裁日本波拉有異詞
page 4	張伯倫與墨索里尼
page 4	歐洲局勢是一幅暗澹的和平圖畫美駐英法大使之報告甘納代言歐戰將爆發
page 4	抗戰的威海衛一個概括的報告
page 4	沙赫特赴英係希特勒派遣試探英國的報復程度結果如何待事實證明
page 4	西戰雙方互有勝負加泰隆叛軍死傷慘重法決運大批麵粉赴西
page 4	英國防軍二十萬四千人
page 4	艾登演說讚美羅斯福外交
page 4	德國向東發展假道波蘭乎將繞道乎柏克邀德外長止華沙
page 4	捷匈談判決裂匈牙利要求捷克道歉捷克覆文謂匈方開火
page 4	美海軍擧行空防演習六十六機載三千人三千英里長程飛行
page 4	小麥會議在英商務部舉行廿二國代表大會
page 4	靠自己打到底
page 4	傀儡的醜聲
page 5	潮汕糧食不敷商民再請免洋米稅各公團電李主席轉請中央核准汕新市長張虞韶定十五日就職
page 5	粵西區六邑災情報告
page 5	鄭豐任粵民廳主任秘書
page 5	陳村沙灣市橋均被我團隊收復Ｘ機又炸高要高明龍山墟內空前浩劫
page 5	佛山近况觸目傷心冷如鬼墟
page 5	廣西的心臟柳州素描
page 5	瓊崖入口客貨海口設所總檢查檢查辦法八條元旦開始實行
page 5	福建參議會人選閩南參議員候選人已先後向省府提出
page 5	瓊崖裁戰工隊
page 6	九龍仔新兵營可駐紮防軍三團工程須兩年始能完成料將由倫敦方面承築
page 6	全港收容難民統計約共萬人深圳渡河竹橋將竣工惠陽商會募棉衣二萬
page 6	商會籌賬會昨開例會報告還債成績欠佳捐助救護站欵千元
page 6	難兵營巡禮他們精神和肉體都感到苦悶
page 6	警局通告各旅店禁住客吸食紅丸苟查出旅店須負責
page 6	中大决遷滇教部撥旅費六萬元
page 6	港造船業日蓬勃居世界第七位英格連船公司建八新輪其中兩艘現在太古建造
page 6	港婦慰會開座談會贊助工業合作社
page 6	港粵基督教團體成立還債運動會學界體育會聯合教聯會發起學界一元還債運動
page 6	金山號輪昨日開省
page 6	銀行業聯誼會定期成立
page 6	防空當局擬定防毒室設備
page 6	九龍關報告禁小麥出口
page 6	新稅研委會昨二次會議
page 6	筲箕灣東大街今晨大火被焚店舖兩間捐失約達萬元
page 6	諾貝司令將赴西貢二月二日返港
page 7	田徑界一大改革短跑採用起步器國際體協會新規定本年一月起實行百碼成績可縮短十分之一秒
page 7	一九三八年度美國田徑界概况黑人再度獲得短跑霸權各項人材輩出成績優異
page 7	昨晚女子籃球賽培道力克西南華僑南華亦均先後獲勝
page 7	今年台杯賽德國代表人選已決定
page 7	記者公會主辦足球游藝大會定期後日在嘉露連山上演請羅旭和開球何香凝頒獎
page 7	港督發起足球義賽
page 7	外牌價少變更申匯略漲市况稍淡英匯美匯俱屬沉寂
page 7	來源稀少求過於供棉花價格暴漲各淪陷區內Ｘ人統制外運港棉織廠商陷入進退維谷
page 7	八九金市先靜後堅較前稍漲六仙七五
page 7	股票市仍靜但穩港匯豐銀行股猛漲三十餘元賣家乘機操縱成交數量不多
