page 2	社評日閥幻想之中思想鎖鍊
page 3	上林一戰桂南穩定殲滅日軍逾萬六千侵入賓陽武鳴日軍漸陷絕境
page 3	浙西我軍活躍日軍後方感受極大威脅
page 3	綏西加緊掃蕩中陽日軍南擾被我痛擊
page 3	大洪山東日軍被創傷亡慘重
page 3	汪派內部渙散人員紛紛離滬曾資生已脫圍過港返國暹羅僑胞通電討汪
page 3	汪派引誘滬各報工人散發鼓吹和平信件
page 3	山西的新軍一
page 3	東莞縣長由李鶴齡繼任
page 3	美大使抵港勾留數日即經越赴渝中美文協定後日歡宴
page 3	滬菜蔬業日方竟亦實行壟斷中央市場已開市
page 3	交長張嘉璈視察桂公路
page 3	中華好男兒粵北各縣壯丁紛紛請纓殺日
page 3	贛省厲行禁烟限十月底完全禁絕
page 3	滬氣候回暖凍斃屍體續有發現
page 3	金沙江試航隊一行八人由渝抵滇定期出發兩月完成
page 3	中央詳細指示憲政實施問題
page 3	前司法部懲戒委員王開疆含垢蹈海在滬被汪派監視迫任偽中委乘隙逃脫來港中途以死明志
page 3	桂慰勞團定期出發粵北
page 4	美倡導和平反響良好羅馬表示欣慰德雖緘默但極重視
page 4	希特勒遄返柏林德外長力疾回任
page 4	赫爾再發表聲明重早斡旋之旨趣
page 4	羅斯福演講美國對蘇態度反對剷除宗教干涉鄰邦美人同情芬蘭決予援助
page 4	英空相伍德論英法合作軍事經濟步伐齊一實為聯軍偉大武器
page 4	齋藤隆夫演詞全文
page 4	法眾院通過信任政府案秘密會議休會
page 4	倫敦日記二一月十六日劍橋航信
page 4	瑞典搜查共黨並捕去多人
page 4	膺懲侵略者海員工會通電世界籲請制裁日本侵略
page 4	美對蘇輸出大見增加以機器為大宗
page 4	傳駐蘇美使斡旋蘇芬糾紛國務部謂尚無所聞美使已離蘇赴愛京
page 4	美國海軍在太平洋演習外交上具有重要作用美對我先作經濟援助
page 4	菲律賓規定移民數額法案正草擬中
page 4	古柏演講料歐洲必成合眾國
page 4	春禮勞軍運動
page 4	美海軍大演習
page 5	西江日軍圖蠢動各縣加緊動員積極備戰日艇進犯馬房已被擊退
page 5	戰區被毀房屋將開始修建監工隊四隊已出發工作並規定貸款與貸牛辦法
page 5	日艦艇滋擾中順邊境江會砲戰激烈
page 5	財廳嚴令各縣廢除苛雜限期三月全部完成
page 5	中山金融糧食日趨安定沿海私梟已漸見歛跡
page 5	來函更正
page 6	國貨展覽會今日義賣募款勞軍會中廠商紛紛報名參加門券遊藝收入撥充捐款
page 6	閩粵桂與本港間信匯稽延時日三省淪陷區均不能通匯向粵桂匯款有免費獎勵
page 6	中國的交通線
page 6	保良局難婦移送京士柏難民營
page 6	痘症蔓延九日發現八宗希望市民種痘
page 6	蘇浙滬商人協會昨舉行春節敘會
page 6	九龍盆栽書畫會觀眾擠擁展期一天
page 6	教聯會將再籲請改善校舍新例日間向最高當局遞稟章勿因衛生行政影響僑教
page 6	太平劇團今晚演烽火奇緣
page 6	羈留中之孤軍希望從事手工業減少無謂糾紛從事生產深盼僑團廠愛玉成其事
page 6	百新書店聯歡讀者大贈品
page 6	業餘聯誼社昨開二屆社員大會
page 6	來函照登
page 7	西貢隊再度喪師南華吐氣揚眉爭持劇烈四比一收場
page 7	看台公論
page 7	港埠際足球隊敗於西聯
page 7	加山足球大戰東方迎戰西貢下午四時半開鑼
page 7	尖事記
page 7	零零碎碎
page 7	去年度本港貨物進出口增減情形糧食五金進口減少一千餘萬頭油類則俱見增加
page 7	最近四個月內鎢砂由港運日總值達二百萬元
