page 2	社評英蘇合作之展望
page 3	晉西戰事激烈展開Ｘ軍企圖渡河進窺陝北東荊河西岸Ｘ軍已肅清
page 3	汪王兩Ｘ傳將在滬會晤吳佩孚拒絕合作
page 3	李主席視察粵北實業
page 3	二期作戰之Ｘ我新戰略周恩來對中外記者講演中央社重慶航信
page 3	矢志殺Ｘ兄弟爭相入伍教員投筆從戎
page 3	冀境我軍到處襲擊Ｘ人
page 3	圍攻淮安Ｘ軍外援已絕
page 3	美國女子大學贈蔣夫人學位駐美使館參事陳長樂代讀蔣夫人致謝電文
page 3	晉南偽軍又有一部反正
page 3	我機襲龍華盤旋許久始去
page 3	Ｘ機窺湘
page 3	滬陶園酒家顧客中槍事後並未聲張偕友會帳離去
page 3	十三個俘虜思家厭戰無限悲哀咸認中國不會失敗
page 3	Ｘ酋伊藤在傳官屯擊斃
page 3	古巴被扣曾携有通行證日軍竟不承認
page 4	英美法會商聯合對日步驟將採經濟報復手段以維護在華之權益
page 4	替狄斯號慘劇英全國悼惜現正設法將艇身拖出遇難者傳達九十九人
page 4	法總參謀長明日抵倫敦英官方招待程序已定土軍事團將接踵而往
page 4	法添造主力艦
page 4	奧蘭島中立瑞典不予保障設防問題恐勢在必行
page 4	德義對南斯拉夫以武力威迫南國亦加強邊境實力保祿親王備受德歡迎
page 4	英國民眾擁護徵兵法案報名青年達念五萬人勞工大臣認結果滿意
page 4	紐約世博日本館開幕紐約市長演說極盡諷刺能事
page 4	羅斯福不擬參加競選
page 4	英王偕后抵米爾維爾人民熱烈歡迎
page 4	蘇聯外交政策二
page 4	美加緊造艦二十四艘計劃設法早日完成
page 4	Ｘ對歐政策仍在徬徨近衛又要駐西園寺
page 4	農產展覽會
page 4	Ｘ經濟狀況已捉襟見肘倫敦泰晤士報著論稱日經濟力尚不及軍事
page 4	蘇波商約蘇政府正式批准
page 4	美中立法問題畢德門認煙炎禁運失之公允慶予修正
page 4	蘇聯提出覆文後英國態度樂觀對保障波羅的海方式蘇聯主效漢英波先例
page 4	對日報復
page 5	Ｘ驅偽這替死洋尾虜獲偽大隊長高級偽員被擒挺進隊瓦解澳門三埠輪渡昨日宣佈停航
page 5	會見余漢謀將軍談廣東戰局粵北構成弧形包圍線前哨距廣州三十華里
page 5	粵省府訂不定式振恤辦法鼓勵抗戰撫恤傷亡
page 5	李宗文抵港談輸出貿易現況政府經營成效尚著估計本年數額可增
page 5	粵北盛會李漢魂招待文化人盼港文人來韶工作
page 5	粵省府嚴懲貪污縣長
page 5	澳六賽馬展期
page 6	水陸警探破獲深水灣海盜巢穴捕獲海盜十名搜出槍械召集劫案事主認出四人
page 6	游泳季談游泳
page 6	各僑團昨歡迎吉隆坡服務團該團幹事報告組織經過回國動機純為忠愛祖國
page 6	集賢工會廿一周年紀念新任職員補行宣誓典禮蘇國山談解除勞工痛苦
page 6	粵省衛生人員港澳開始登記辦事處在中青救護團內不登記者當局將予懲處
page 6	中藝劇團成立粵語班本月底公演四天
page 6	大學生聯誼會昨假青年會健身室舉行至三校代表極一進之盛
page 6	許世英
page 6	海陽輪今日開赴溫州
page 6	中化義學編級試驗完畢因幫未考勤制度者將准予補考注冊總理得教育司通融
page 6	夏季大減價大綸綢莊
page 7	中華隊棒打勁敵七比零南華慘敗漏洞疊出第三局連輪六分突擊奏效岷甸奴壓倒西洋
page 7	岷西戰況
page 7	南華遠征第一戰大勝河內冠軍結果六比零僑胞勝歡
page 7	乙組籃球入圍決賽
page 7	芬蘭人以沐浴作為一種訓練
page 7	台杯網球半年決賽備南佔居優勢第一日兩單打英比均告失利
page 7	過去四個月內茶葉出口情形運銷俄國佔總額十分之八
page 7	日人造絲織品在港銷場近來復形活躍今年最初四月進口大增
page 7	華北雜糧出口減少花生油銳減八倍荳類亦逐月低縮
page 7	港電筒業銷路暢旺
