page 2	美國人今天怎樣抉擇
page 3	鄂西浙東日軍動搖南路我軍繼續追擊小董大崗克復鎮南關激戰中
page 3	川康經建委會已正式成立首次全體委員會會議決定擴大資金成立推動機構
page 3	貴州光復紀念貴陽各界熱烈慶祝
page 3	黔參政員選出
page 3	日反戰同盟前線工作隊離桂赴粵省前線
page 3	上海法當局竟亦排猶
page 3	希臘貨輪在滬被日扣留德義葡輪已釋放
page 3	滬法院問題尚在相持中兩院人員決拒絕接收法使戈思默現在渝交涉
page 3	社會部改隸行政院籌備竣事月內實現
page 3	建川在莫斯科活動無發展荷日談判實際亦陷停頓
page 3	監察院巡察團行抵沅陵
page 3	湘省各界獻機運動正積極推進中
page 3	海員黨部加強宣傳網粉碎和平攻勢
page 3	上海的怪現象巡捕捕盜反成階下囚憲兵逞威迫受簽伏辯狀
page 3	孔副院長招待美大使定明日下午舉行
page 3	敘昆路加緊趕築昆嵩段今日通車滇發現鉛與石油礦胍
page 3	颶風猛襲關島機場被毀飛剪號延開港內船艦皆未受損失
page 3	湘貿易會議定本月廿一日舉行並舉辦特產展覽會
page 3	徐培根氏著文論太平洋形勢
page 3	滯留海防貨物轉運地點問題政府正與法當局交涉中
page 3	邕龍等地收復後桂南之善後事宜
page 3	信陽東犯日軍被我包抄痛殲
page 4	美國大選今日舉行各方觀測羅斯福勝利希望較濃
page 4	多瑙河會議蘇聯否認英有權置啄英不能視為委員之一所提抗議予斷然拒絕
page 4	德義外長秘密會商討論援用盟約問題德駐土大使巴本極活動巴爾幹局勢將有新開展
page 4	蘇陸軍採取下級幹部制加強紀律增加職權
page 4	德西續有會談桑納晤德大使
page 4	義將加緊攻希英艦開抵雅典科甫海峽義希艦交戰希援軍陸續抵達前線
page 4	珍連那區兩軍激戰
page 4	美洲法屬地居民願附美國美方認將有成立協定可能貝當已函覆美總統
page 4	滬法院問題
page 4	尼赫魯英當局開庭審判
page 4	蓋達之咆哮
page 4	希軍奮抗義機肆暴
page 4	為了甚麼羅斯福會勝利
page 4	羅斯福威爾基華萊斯麥克納萊誰是白宮主人
page 5	欽防日軍動搖日機濫炸粵南路水東投數十彈廬舍為墟靈山縣城連日迭遭空襲
page 5	日軍撤退
page 5	日機濫炸
page 5	桂驛運處一日正式成立
page 5	中山日軍大部集中唐家灣灣仔澳門交通情形漸復乾霧涌口被日砲擊起火
page 5	粵政務團第五團出發兩陽第三團赴海陸豐
page 5	粵節建儲蓄第一期超過四百萬元論文比賽日內可揭曉
page 5	越澳航線小廣東號今返越將定期正式通航
page 5	四川鹽場新法製鹽可省燃料半數以上黃海化學社之貢獻
page 5	西康日記一九九第九篇九龍木裏途中
page 5	粵省務會議通過黎卓仁代白沙縣長公路客票每公里收一角
page 5	桂南光復記
page 5	收復邕寧俘獲甚夥
page 5	國旗飄揚軍民鼓舞
page 5	龍津等縣殘日竄越
page 5	綏署省府佈告安民
page 6	沙頭角文錦渡日軍昨晨全部撤退各次要地帶傳亦將抽調深圳南頭間將保持 現狀
page 6	鯊魚涌平靜無事
page 6	港韶貨運暢旺當局整理河道加派車輛本港苦力紛紛赴鯊工作
page 6	桂第六軍分校招收回教學生本港回教團體考選保送資助旅費俾便赴桂入學
page 6	軍械廠當局著華工趕辦登記應工人之請訂優卹條例祗限於終身在廠服務者
page 6	本港出境犯遞解手續加緊以防途中潛回成績良好粵府增加東江各縣囚糧
page 6	驅逐艦撞沉小輪水手等共九人均被救起海軍部發言人無所表示
page 6	國防公債還本付息三次中籤號公碼布
page 6	防空當局建築安迪生防空室在港九各空地開始興築為空襲時路人走避之用
page 6	悼魯美音女士
page 7	海陸軍聯理想隊今日作二次試賽罌花節義賽將闢設特別座位足球總會決定維持秩序辦法
page 7	孫科夫人發起足球慈善賽華聯對抗港聯隊暫定廿七日舉行
page 7	體壇什景
page 7	港圓外匯牌價略漲美匯趨淡申匯穩定
page 7	四四金市再度傾疲
page 7	股票市況呆滯買賣寥落成交一萬餘元
page 7	國幣市況依然穩定
page 7	九龍區校際兒童小球定九日開始比賽
page 7	獻給門守的提示與規則下遠東足球界權威戴維林原著
page 7	球國春秋
