page 1	中國學生在美國旅美觀感之二
page 2	鄭州外圍大戰即將展開西平遂平已入混戰狀態空軍整日飛往豫南各地轟炸
page 2	張垣宵禁提早歸綏局勢稍鬆
page 2	國大會議日程通過十九日選舉總統廿四日閉幕還要聽取報告討論修改憲法
page 2	制憲一年來蒙古問題的展望
page 2	總統人選張君勱曾琦會商決定支持蔣主席
page 2	蔣主席經濟軍事報告續昨
page 2	會議日程五點意見
page 2	國大花絮幸勿用噓聲逐我請君看紅袖傾城
page 2	國代糾紛難決胡適等往見蔣主席再覓妥善解決辦法
page 2	司徒雷登和宋子文將於明天同機飛瓊
page 2	鄧錫侯在滬曾電川省各界告別
page 2	上海青島基隆准許外艦駛入
page 2	國際郵資今起加價
page 2	張君勱在京答記者問
page 2	師院被捕八學生釋放學生要求保證不再捕人
page 2	我們要飯吃成都學生千餘請願多人被捕多人受傷
page 2	公教人員本月起調整待遇
page 2	調查華南經濟美參贊說觀感甚佳
page 2	摩根索等七人接受我國勳章
page 3	哥倫比亞革命爆發泛美會議會場被搗毀美大使館也在砲火中祕魯代表建議遷利馬開會阿根廷代表團決撤退回國
page 3	波高達城大火自由黨領袖被殺引起了革命群眾到處進攻工會下令罷工外交部長戈米茲等傳已被殺
page 3	物以類聚西班牙阿根廷簽約阿貸西鉅款買糧食
page 3	世界兒童互助運動從兒童互助說到師範教育運動
page 3	積極籌組西德政府西方三強旬內開會傳蘇柯洛夫斯基返蘇京英蘇進行調查撞機事件
page 3	英美法照會蘇聯邀蘇共商特港問題下月初在巴黎開會
page 3	芬總統論蘇芬條約芬蘭藉此將不捲入大國鬥爭
page 3	霍夫曼走馬上任開始訂購一批援歐物資西歐外長十六日在巴黎開會
page 3	改善僑資輸入辦法輸管委會提出建議
page 3	義加入聯合國美國要求批准
page 3	南韓普選八百萬人登記
page 3	日本太子淫威仍在美國官員販賣護照
page 3	諾貝爾和平獎金候選人名單公布史達林杜魯門都在內
page 3	安理會非正式會議商討巴勒斯坦局勢蘇代表葛羅米柯沒有出席阿拉伯聯盟同意美託管計劃
page 3	鑾披汶粉墨登場美英將承認他的政權
page 4	勞工顧問碧架釋工團新法例意義他說新法例是要幫助工團民主化不妥善處可修改
page 4	欠了一筆債不能還兩次華商總會將上呈文請不訂立債務新例
page 4	穀米零售商聯合辦事處職員昨舉行就職典禮
page 4	中國金屬工業公司昨開年會報告營業所有國幣股份改作港幣營業停頓董事建議清算
page 4	去年六月財政憲報昨日發表
page 4	中國戰事影響營業
page 4	肺癆病犧牲者一週三十八人
page 4	東華三院昨日盛會六十八位護士畢業港督夫人發證書給她們
page 4	招商局海外線即將加售客票航線展至加城仰光
page 4	洒盡乾冰未成雨無奈行雲不肯留今日淩晨將再試一次
page 4	演出冤枉相思賠了五百元港幣原作者馮志芬昨勝訴大中華作證變成被告
page 4	九龍關稅務司公署公布懲治走私條例
page 4	西裝青年自摑嘴吧苦苦求饒莫送差館
page 4	酒店職員奮勇下海救起少女
page 4	兩起車禍一人一電車都傷了頭部
page 4	大批傢具即將拍賣高喊走鬼被處罰金揀了便宜不免官司
page 4	香港廣播電台
page 5	近日來盛傳運港十萬盎斯黃金謎底揭曉實際僅到一萬二千盎斯黃金定貨難美匯買賣稀
page 5	國際黃金均呈渴市黃金市道穩比金需求減荷京納粹黃金輸出阻滯
page 5	暹羅僑匯大見增加三月分總計三千餘億
page 5	米價跌後轉穩頂上絲苗每擔八五元餘
page 5	遠東金商開出價格
page 5	福州貿易的分析二
page 5	港匯暴縮走私旺盛紗布外銷受影響日本紗布競爭烈外棉市價上漲猛
page 5	中國需糧殷
page 5	外匯掛高後梧市物價動
page 5	港府公布魚鮮價格
page 5	台灣銀行發行萬元本票並有發行大鈔準備
page 5	近日英美市場桐油豬鬃市價國內價格高國外進貨稀
page 5	高方請辭財部慰留
page 5	申匯週末回市省匯國幣趨穩
page 5	滬穗商情
page 5	美金庫券停售上海市場
page 5	紗布日用品回漲外商銀行折放多
page 6	紀念杯展開奪標戰快活谷華聯對華聯比賽採用九十分鍾制
page 6	甲組足球聯賽傑志得錦標兩隻罰球光華敗走
page 6	爪哇征滬初遭敗績三比一青白打贏仗今天第三戰東華上陣
page 6	全運會記者登記昨天開始
page 6	女籃球員鮮衣奪目紏察組長大發牢騷市長登台訓勉努力大會開幕誤了時辰
page 6	中華星島先打頭陣
page 6	東方揚威嘉山三比一勝砲兵
page 6	警察勝燕兵巴士挫巴符
page 6	愉園兩幕足球戰中華擊敗星島香港纏和南華
page 6	拳國三雄二
page 6	南華香港之戰
page 6	粵穗參加全運昨天預賽田徑成績
page 6	滬全運籃球選手男女隊名單發表
page 6	粵穗預選開幕即景
page 6	燕大校友分會定期旅行長洲
page 6	國際教育會議在日內瓦召集
page 6	鍾聲免費小學增設夜班
page 6	大力士舉重破全國紀錄
page 6	約瑟海軍昨天賽和
page 6	教部通令音樂教材注意選擇
page 6	水球選手試賽今在麗池舉行
page 6	公開籃球賽十七晚開始各組參加共廿五隊每逢星期三六舉行
page 6	南京足球選手定期開始訓練
page 7	一場浩劫廿七分鍾雄偉莊嚴的大雄寶
page 7	淒涼火後金山寺數百僧徒對劫灰百餘間房都付之一炬建寺以來經歷了七次火災
page 7	潮汕糧荒聲中洋米進口不得市府與輸管會成對立市長強卸下一船洋米兩百包暹米倒流來港
page 7	海南苦旱疫癘流行西路各縣已死耕牛千頭部份鄉村且有鼠疫發現商民反對瓊米運濟汕頭
page 7	損失之大天文數字單是大雄寶殿時價已逾千億
page 7	粵國際救濟會舉辦東江農貸在石龍兩個村試辦
page 7	澳水警殺伶人將受軍法審訊
page 7	籌畫重建求助章嘉
