page 2	從赫爾聲明說起
page 3	西江日軍兩路侵擾我軍嚴備予以重創贛北進攻順利距南昌僅四里
page 3	粵主席李漢魂赴東江巡視並商全省食糧運銷問題公務員等一律發給米貼
page 3	國代選舉事宜政府統籌辦理總事務所工作加緊
page 3	汪派圖窮匕見又大放烟幕汪兆銘南北朝拜結果仍不能打開目前難局
page 3	滇省各界決為汪鑄像長跪無名英雄墓前
page 3	滬公共租界正副總董選出新預算增多一千餘萬元捐稅將同時加百之五十
page 3	言論無自由大權操日人
page 3	前方難胞將疏散至滇省實行以工代賑
page 3	國民政府明令褒揚宋幫委員
page 3	程時煃談贛教育現況前方後方同時推動社會教育尤見進步
page 3	浙當局竭力推行三年施政計劃詳細項目業經省府通過並指定專款作實施之用
page 3	蔣委員長招待南僑慰勞團
page 3	桂慰問團事畢返抵桂林
page 3	重慶航信農貸四萬萬元二
page 3	鄂東沿江繼續掃蕩中條山麓重起血戰
page 4	美國關注荷印地位赫爾發表聲明太平洋現狀不容改變美忠實支持條約義務
page 4	香霍斯特被擊重傷
page 4	東南歐四國家採取警衛行動組織共管多瑙河委會檢查船舶限制居留民
page 4	里賓特羅甫有再赴蘇說圖促成蘇德義同盟
page 4	法軍事代表團由敘利亞抵土
page 4	聯軍決制止違禁品運德海參崴輸入額激增聯軍將採有力措置 
page 4	艾登發表演說英國對德作戰原因全在維護人類前途
page 4	德宣傳部否認辛穆勒被刺謂並未赴丹京
page 4	戈培爾演說迷信武力強權謂勝利全賴戰爭行動竟自詡侵略丹挪武功
page 4	三夫人聯合對美廣播呼籲繼續援助
page 4	阿部信行由神戶赴上海
page 4	還要撒嬌
page 4	義國態度
page 4	期望國貨廠商
page 4	荷蘭局勢略見鬆弛警察嚴搜外僑 
page 4	美國海軍下週演習遠東艦隊司令哈脫現在廈門注視時局
page 4	教皇發起祈禱和平特致函教廷國務卿
page 4	再展一月五月十五日期滿
page 4	蘇南將訂商約義方甚表驚異
page 4	英義兩國舌劍唇槍
page 4	史托克重申擴大海軍案文生提案可望通過美新主力艦將下水
page 4	德軍截斷挪中部鞏固挪京外圍德飛艇載運軍隊增援英機猛襲德機場奏功
page 6	惠寶沿海日軍昨一度在南頭登陸我派隊伏擊日旋即退去日機昨三次飛深圳偵察
page 6	防止迫遷法例修正案通過二三讀後頒布實施戰稅法案逐條審查
page 6	防止迫遷法例
page 6	審查戰稅法案 
page 6	普羅刁士號輪在西沙群島擱淺風浪甚大無法拯救出險幸全部船員乘客已救還
page 6	萬世師表
page 6	明末遺恨
page 6	上海婦女界關心憲政問題三八宣言中提出具體意見曾電史良及孫蔣孔三夫人
page 6	回教青年會響應傷兵之友運動
page 6	中華國貨產銷協會香港分會今日成立由星五聚餐會改組努力發展國貨事業
page 6	港廠運菲之貨須用國貨罐罇華商總會接菲僑團來函廠商聯會昨召開理事會
page 6	丹挪商輪本港扣留二十艘 
page 7	菲中華女籃球隊明晚開始義演最後兩場加插男女表演賽客隊昨午來參觀本報
page 7	南華國術部開聯誼會定二十日舉行 
page 7	籃球聯會今晚開代表會
page 7	全馬華僑游泳賽廿七在星舉行 
page 7	學界排球比賽昨開代表大會賽程編定下月六日開始
page 7	東方遠征隊五比二勝拉沙
page 7	外匯牌價仍無變動美匯穩定英匯沉寂
page 7	八九金市依然穩靜買賣不多價少變動 
page 7	股票市仍堅稱昨日成交二十三萬餘元
page 7	征越埠際選手展期一天發表混合隊人選正式公布 
