page 2	社評論美國參戰的展望
page 3	長沙外圍空前血戰我克復汨江三渡口
page 3	粵西北江殘敵經我分別阻擊
page 3	我軍事發言人痛斥敵謠以事實證明其向壁虛構
page 3	本年紀念國慶推進國防科學運動中宣社會兩部擬定辦法
page 3	新縣制成績良好將設法普遍推行
page 3	全國童子軍慶祝國慶辦法
page 3	中英美貨幣會議商討支持我法幣英美代表趕程來港參加
page 3	越日軍暴行案維希亦提抗議
page 3	電播教育教部商定辦法
page 3	三國同盟週年紀念東京怪現象民間懸德義旂即被卸下
page 3	像鋼鐵一樣的鍛煉着上
page 3	英科學協會年會顧大使出席演講我科學家亦對英廣播
page 3	我科學家願意合作創造一新世界郭秉文發表演說
page 3	後方經建動態中農行設土地金融處糧食工業公司已成立
page 3	郭任遠氏演講戰後中國復興問題為國際和平安定因素英美與我充分合作
page 3	納粹主義若勝地球將成巨獄邁斯基大聲疾呼
page 4	克里米亞爭奪戰晝夜猛烈進行列寧格勒區蘇軍續勝
page 4	蘇空軍仍強大屢予敵軍重創
page 4	英蘇兩國空軍密切配合作戰
page 4	英美援蘇工作正大規模展開飛機坦克及原料大量運蘇英坦克援蘇週成績優異
page 4	德國攫取南美的陰謀二
page 4	捷人反德愈烈怠工破壞事件送出不窮德派秘密警察領袖加緊厭制
page 4	平英使館參贊失妻已獲團圓
page 4	英國改良運輸系統加強對華對蘇聯繫伊朗印緬交通積極發展中
page 4	鐵蹄下的冤魂比人二十名被納粹槍斃法人兩名又被處死
page 4	諾克斯再度呼籲取消中立法澈底保護三洋航線
page 4	敵在淪陷區推行毒化政策我向國聯揭發敵人陰謀促各友邦予以注意
page 4	斯末資演說認美已接近參戰
page 4	解放匈牙利運動在匈前總理領導下展開倫敦設有委會負責進行
page 4	德土商務談判進行未順利克羅第斯突作離土準備巴本已兼程遄返安喀拉
page 4	賀爾抵英
page 5	敵軍竄擾開平赤坎恩平兩陽形勢吃緊我各路大軍正嚴密堵截中
page 5	奧省幹訓團舉行入黨宣誓李主席監誓並致訓詞闡場團員入黨之意義
page 5	四邑的烽火春城
page 5	浙贛路東段已通至安華市金華被炸已漸復原狀
page 5	仰光疏散計劃分三期施行初步預備期現已開始老弱婦孺將先予登記
page 5	柳州籌設軍墾區經費定為一百萬元救濟遺孤榮譽軍人
page 5	寧偽組織內哄哄益烈
page 5	桂省訓練驛運人員分發各段工作
page 5	必須收復東北記九一八座談會首次會
page 5	桂林米價日見回跌
page 6	平糶會增闢九龍食堂設在巡理府舊址決定兩星期內開始售飯港府戰時食堂月內竣工
page 6	新聞記者公會昨開會員大會通過要求加薪等四議案選出第四屆全體監理事
page 6	港九工團響慶一元獻機運動港九分區派員聯絡策動定下月二日舉行籌備會
page 6	華僑教育會港分會明日舉行理監事會全部理監事名單昨公佈理事會全體職員亦選定
page 6	韋瀚章獲准文藝貸金額定國幣千元
page 6	郵政檢查加嚴因最近屢發現不法郵件廣西貴州郵件近已暢通
page 6	婦慰會舉辦雙十餐舞開始售票每張七元同時舉辦時裝表演
page 6	王姓少婦神經錯亂潛入廚內持刀自刎氣管切斷性命頗堪虞
page 7	光華會青雲有路南華飲恨嘉山熾芬一腳石金頭淨勝兩球國威國祺表演雙絕
page 7	蘇軍英勇如昔六比零勝水兵
page 7	南華辱命記
page 7	鐵城杯賽今晚有兩場
page 7	樂斯杯星島戰黑貓
page 7	港僑校際水運會男女錦標得主曾昌明何惠瓊冠軍群曹打破全國紀錄凡三項
page 7	銀牌籃球賽民大克康元
