page 2	社評日本與三國同盟
page 3	湘北前線砲戰猛烈敵軍已被我大包圍敵機數十架竟日飛長沙逞兇
page 3	軍委會發表一週戰況湘粵戰事正激烈展開
page 3	我轟沉敵艦已發現殘骸
page 3	浙東我軍出擊一舉克復溪口
page 3	又一批敵軍無言凱旋此為第五十八次
page 3	沿海工廠內遷後方工業蓬勃產量較前增加三倍
page 3	菲島防務法案衆院島務委會正式提出總數達五千四百萬美元
page 3	蘇州偽軍一部反正
page 3	英駐泰公使抵新加坡公幹
page 3	美運通銀行津支行停業
page 3	日軍部發言人宣稱日無意退出軸心中野詆責近衛內閣缺乏勇氣
page 3	納粹在東線勝利將加速日軍侵蘇陪都各界均作如是觀
page 3	美國援蘇新航線二北冰洋海道
page 3	陝縣民趙盧氏變賣棺木獻金
page 3	財部緝私處將在各省設分處
page 3	季鸞先生哀榮國府明令褒揚領袖親臨致奠昨在陪都嘉陵賓館開弔各界蒞臨弔祭者數千人
page 3	谷主席出巡視察新縣制
page 3	安徽號離日載英僑赴星
page 3	豫省豐收
page 3	日考慮撤退在美國僑民
page 3	日皇召見近衛聽取政務報告
page 3	印度生力軍又一批開星
page 4	蘇德戰局穩定中路蘇軍局部反攻
page 4	德用大批傘兵進攻克里米亞
page 4	英蘇合作愈緊密兩國空軍配合作戰李維諾夫任三國會議代表
page 4	德軍不敷分配勒令夥友出兵
page 4	英美軍用品運抵土耳其其中包括飛機及曲射砲德向土保又施行神經戰
page 4	美運輸艦發出緊急呼救苦救失事原因未詳
page 4	英軍攻德路線二
page 4	美正研究增加精煉航空汽油以應目前急亟需要
page 4	塞爾維亞人奮起抗軸心哲尼克愛國團領導行動德義趕派大軍冀圖厭制
page 4	克羅西亞民眾反義情緒濃厚納粹傀儡至今不敢上台
page 4	美將撥款三十萬萬購置坦克車及大砲除供自用外更運赴英蘇
page 4	美參議員正式提議取消中立法案因違背傳統之海洋自由政策民眾過半擁護一見即射命令
page 4	法國民委會已正式成立委員共十人高爾任主席决定自由法國一切政策
page 4	美參院通過徵發財產案
page 4	澳洲新預算接近十萬萬元
page 4	賀爾返倫敦逗留三四星期
page 4	美財部規定工商業利潤非常期間應以百分之六為限人民生活將予重新調整
page 4	艾登勗勉英科學家努力奮鬭爭取勝利
page 4	短評三張照片
page 5	今日足球聯賽揭幕星島初逢工程兵五時三刻在愉園香港會球場東方移師掃桿埔戰米軍
page 5	縱談球國大勢
page 5	醉筆談球經馮振華
page 5	全港游泳冠軍賽今晚繼續開始下午九時零七分在域多利池百碼胸泳吳年希望濃
page 5	緊要新聞鐵戰支
page 6	中大港區新生揭曉計共取錄一百一十六名未獲取錄者亦設法收容
page 6	蔣委員長電勉港中蘇文協
page 6	實業界及外聯會昨歡送景偉港商託壽氏調查美商場在外聯講國聯貿易問題
page 6	本港各教育團體奉令統一組織鄭震寰等出任常務理事定期三十日開首次會議
page 6	蔡寶田轉授出口證被罰二千元
page 6	中西人士請當局釋放被禁孤軍使效命祖國或防衛香港孤軍營可改臨時肺癆
page 6	封存我國幣影響港貿易金銀業貿易場主席
page 6	美來華軍事代表團明日由菲抵港共十餘人抵港後即飛渝昨美領對該團來華談話
page 6	冒警司名行騙沙士入獄判決監禁半年期滿遞解出境
page 6	夫唱婦隨在澳妻子團電港督請求准許返港團聚
page 7	本報全體同人昨公祭季驚先生中外來賓參加頗踴躍
page 7	祭季鸞先生文
page 7	輓詩誄詞
page 7	崔廷獻先生祭文
page 7	外匯牌價不動申匯市況先鬆弛後微緊英匯美匯市況依然靜寂
page 7	股票市況尚稱堅穩
page 7	國幣市況仍甚堅定
