page 1	"星期論文中國青年的成長一"
page 2	"中美雙邊協定昨天簽字詳盡規定使用美援辦法中國必須自助援助隨時可停美在華採購物資得享受便利"
page 2	"協定全文"
page 2	"北平通信跌在糟房裏記流亡在平津的五千學生"
page 2	"大法官暨考委人選蔣總統昨咨文監院"
page 2	"立院財金委會請改幣制徐柏園說國行正研究中應該何時實行還待立院決定預算委會昨秘密討論預算案"
page 2	"今年徵實照辦無息徵借也要照舊實施九月中開徵三個月辦竣"
page 2	"重慶通信小春後看農村"
page 2	"今日航業船數及航線都有增進物價波動製造了困難"
page 2	"漲風未見平息滬當局嚴厲監視市場潘公展大罵軍餉作祟"
page 2	"蔣總統飛豫東前線決定性的戰鬥正在進行魯境兗州激戰界首收復"
page 2	"孔祥熙捐錢作國民黨黨費"
page 2	"本報總經理胡政之昨六十壽辰本報同人在滬集會慶賀"
page 2	"流亡的豫省府一切都沒有了"
page 2	"一批國代請願請發戡委聘書對薪水問題也有要求"
page 2	"請速走馬上任翁文灝敦促左舜生等"
page 3	"柏林局勢依然沉悶英將與蘇商談恢復交通美陸次說可能武裝運糧西方三國自設柏林管制委會"
page 3	"三國敦促西德制憲 各邦總理定期會商政府成立三國仍操大權"
page 3	"制止日本侵漁有有效辦法"
page 3	"法人痛定思痛反對重建德國歐禮和大聲疾呼"
page 3	"美蘇算舊帳馬歇爾說已接到蘇覆文兩國談判一直在進行中"
page 3	"蘆田度過難關日眾院通過預算"
page 3	"南斯拉夫連發三照會嚴辭警告阿爾巴尼亞說不應支持情報局罵狄托聲色俱厲猶如哀的美敦書"
page 3	"日歸還我船隻一共只有七艘我請盟總調查者百餘艘"
page 3	"英也拉攏南國建議狄托邀請開多瑙河會議英與南簽訂合做一筆木材買賣"
page 3	"達欽努的花樣反法西斯同盟決定改組並通過了他的團結計劃"
page 3	"日福井縣禍不單行地震之後又將有水災河水泛濫有決堤之虞"
page 3	"日皇每年可花千萬日圓德賊輕易劫走萬二馬克"
page 3	"英要撲滅馬來星火宣布採取嚴峻措施無照帶槍者一律處死"
page 3	"芬蘭普選農民社民兩黨得票較多"
page 3	"謀求聖地的和平調解專員再接再厲分別邀請阿猶舉行和平會議"
page 3	"暹王明春登位阿都達將由瑞士返國"
page 3	"美國獨立紀念"
page 4	"酒家飯店前途黯淡五窮六絕七難翻身"
page 4	"閩水災善後委員會再電本港同鄉求援"
page 4	"九龍總商會泳棚定今日行開幕禮謝伯昌女公子主持剪綵"
page 4	"寄禮物到英國郵局徵詢意見"
page 4	"續審萬福士輪劫案警探出庭證供拘捕疑犯經過"
page 4	"上週生死統計"
page 4	"嘉馬拉馬戲團今日奉令停一天據說是半島客人嫌他們吵"
page 4	"刀傷女友旅店自殺董玉昆未死入苦獄一年"
page 4	"鄧次乾在法庭宣告破產"
page 4	"謀殺盧啤案兩犯難免一死向英廷抗告又遭駁回"
page 4	"工人跌下五層樓全身無一處重傷"
page 4	"西藏商務代表團昨飛檀香山考察"
page 4	"醫務總監公布本屆及格護士"
page 4	"白晝入帳房被疑作竊賊"
page 4	"虧空店款入獄九月"
page 4	"搶去港鈔三十元留下國幣廿餘萬四個赤足匪搶一海味店"
page 4	"宋子文來港與家人度週末"
page 4	"搜出信件同一手筆"
page 4	"自稱作水客同床者是妾"
page 5	"國幣內匯較前略升黃金美匯漲落相關申匯賣家極稀買方競購美匯升降步趨黃金價格"
page 5	"黃金一週述評來路漸旺去路日狹整週市勢走向下坡"
page 5	"徵收財產稅與吸引外資"
page 5	"我駐日商務專員談中日貿易途徑輸出豬鬃麱皮苧蔴輸入人絲紡織機器"
page 5	"星鐵市價回升鐵釘扯銷稍殷"
page 5	"黃金市場一片淡風"
page 5	"穗金管局成立以來發表經辦案件結果勒令停業清理行莊廿二家非法買賣黃金外幣四三宗"
page 5	"六月以來的福州市場福州特約通訊"
page 5	"滬物價一致回低穗生絲香紗微升海口米油紗布跌"
page 5	"武漢半年物價平均漲廿二倍白報紙棉花列首位煙煤漲十餘倍最少"
page 5	"新結匯辦法實施後穗出口貿易未好轉豬鬃桐油輸出增加走私出口仍極普遍"
page 6	"世運籃球隊的評價"
page 6	"嘉山球場空前盛舉世運大軍打垮星島隊今晚第二戰出擊港聯戰前加插記者對影星比賽"
page 6	"戰後談兵世僑文華稱雙絕兩個守衛也出色"
page 6	"麥克凱利創新紀錄"
page 6	"林珠德太吃力四五比二八一場大戰經過"
page 6	"港體協分會昨通過修章案會員登記定期止截"
page 6	"嘉山一戰鋒芒露"
page 6	"南華新職員昨產生胡好膺選足球主任郭贊陳榮柏蟬聯正副主席"
page 6	"朝鮮世運足球隊擬在港表演一場"
page 7	"反對開放內河航權粵航業界與海員工會態度一致昨天是第一屆航海節曾有慶祝"
page 7	"穗市預算從新編造因歲出龐大恐不能獲准下半年的經費一增四倍稅收預計為一萬六千億"
page 7	"穗市預算從新編造因歲出龐大恐不能獲准下半年的經費一增四倍稅收預算為一萬六千億"
page 7	"上半年的支出中警察費用居第一"
page 7	"賠償物資首批抵穗活動倉庫三幢自滬運到黃埔倉庫問題從此解決"
page 7	"生一日寄嶺東各縣趕修機場"
page 7	"梅埔共軍南移豐順饒平緊張"
page 7	"號召逐臭汕頭處置　溺垃圾市府奉命公開投標"
page 7	"東江又不靖新民輪在鐵尾派被劫"
page 7	"擅設機構濫收稅捐朱克勤被拘押訊辦月入八百億收了有半年交部曾制止他居然不理"
page 7	"救濟特捐怎麽辦廣州還要等等看"
page 7	"新縣長遲遲不來舊縣長早就走了儋縣形成無政府狀態"
page 7	"汕記者公會決延期改選"
page 7	"宋子文請假職務由黃鎮球鄒琳代"
page 7	"五百共黨青年廣州綏署集訓"
page 7	"五區清剿部設立勞役隊"
page 7	"嶺東各縣趕修機場"
page 7	"美救濟機構換了個招牌"
page 7	"汕頭配糧以後人口突然多了"
page 7	"瓊島松柏湖畔商車五輛被劫"
