page 2	社評英日關係到緊要關頭
page 3	英大使克萊琪抽日政府提出警告日挑釁行為將引起遺憾事件日方決定繼續支持對鎖政策
page 3	國際同志委會請求譴責日本
page 3	Ｘ方情報部長發表狂謬談話
page 3	日方ＸＸ性成菜販無辜被戮
page 3	華北漢奸媚極力宣傳反英
page 3	汪逆兆銘返滬對新偽組織形式Ｘ方尚未予同意
page 3	粵李主席擁護緝汪
page 3	褒揚蕭佛成中常會之決議
page 3	國府命令褒䘏四存員生
page 3	晉南戰事仍激烈湘鄂我軍進擊中
page 3	滬南大火塘灣全鎮焚燬
page 3	是真英雄胥祖誓死不屈Ｘ人亦為讚歎
page 3	華西大學被炸教部致電慰問
page 3	英將貸華新信用借欵數額現尚未宣佈
page 3	蓉市善後何部長前往視察
page 3	中山將設臨時小學省府會議通過
page 4	史德隆謁蘇外長舉行首次談話以波海問題蘇仍堅持英蘇將談判修改商約
page 4	艾登在法演說英不畏戰爭仍有認英怯戰者勢必有後悔一日
page 4	英政府將增設對外宣傳局首相張伯倫在眾院稱情報部祗適宜於戰時
page 4	由港駛美帆船鵬程號沉沒船員六人均獲救
page 4	Ｘ軍間諜在滬被人槍擊
page 4	堅忍抗戰自力更生孔院長對全國民眾播廣續
page 4	英王向加拿大發表辭別廣播加拿大為世界安樂土其他地域應引為模範
page 4	滇祿豐恐龍發掘記一千五百萬年前的走獸遺骸
page 4	舟次觀念灣將登陸遊覽
page 4	英國武官最近難望開釋
page 4	荷議會通過延長軍役國防部長報告海陸防務情形
page 4	芬克宣布改組德國銀行所有外籍股東所持股票將由該行出價予以收買
page 4	美男女影星赴蘇考察
page 4	德駐蘇大使返國述職
page 4	英殖民大臣逗留日內瓦
page 4	中國犧牲抗戰為已亦為他人李平衡在國勞會演說
page 4	斯洛伐克人反德被捕五十餘人解集中營
page 4	愛沙尼亞將召開國會
page 4	德捷間快車出軌肇禍死傷三十餘人
page 4	期酋更調杉山將赴滿喜多將離平
page 4	義海軍在大西洋將舉行演習參加軍艦約達百艘
page 4	羅國議會選出新主席由阿加杜美繼任
page 4	我們的譴責
page 4	汪光銘的夢
page 4	Ｘ閥黷武銳意經營空軍招致青年入伍
page 5	Ｘ偽又圖侵擾睦州禮樂均起激戰中新邊境各鄉情勢漸緊
page 5	戰雲籠罩的中山沿海視察記徐進
page 5	韶關鱗爪粵北展覽戰利品謝瀛洲就審計長
page 5	Ｘ艦擾潮汕刻在媽嶼對峙中汕頭市面秩序尚安
page 5	大博發生水災
page 6	倫敦賣物會徵募主賣物品各婦女領袖昨日會商由六女團體進行徵募
page 6	美賣物會現已開幕
page 6	抗戰攝影展覽土一
page 6	兒童保育會二次遊藝大會今日在何東私邸舉行節目極豐富歡迎參加
page 6	符羅飛書集二集同志的死出版
page 6	粵紅十字會救護隊準備出發粵北服務
page 6	緊急難民會組織兩委會分別處理各地賑濟事宜協助中國紅十字會一作
page 6	文協會員明日舉行晚會
page 6	防空局編印保衛你的家中文譯本出版
page 6	生活書店最近出版新書
page 6	賽龍舟鍾聲社籌備端陽節舉行
page 6	草裙春色皇后平安今日同映
page 7	女子籃球義賽今晚有精彩表演中華對各行勝負有關錦標西南戰華雄雙方旗鼓相當
page 7	今天棒球賽中華重逢香港下午二時半在嘉山會戰
page 7	法國綱球賽男子單打美選手包辦決賽
page 7	英法台杯勝負關鍵的一戰
page 7	上海十三英里馬拉松慈善賽
page 7	施愛斯勇氣百倍力克法名將地斯推摩
page 7	南華在新加坡小勝中華隊結果四比三看客八千人鬥文上陣果然不辱使命
page 7	萬人空巷盛況空前瘦猴王媲美孫行者
page 7	昨日本港外匯市況初淡後略緊遠期貨需求較多牌價均趨縮申匯市況略好轉買賣則仍少
page 7	本港股票市況昨再主傾疲投機家多存觀望買賣均稀少匯豐銀行股降跌五十元
page 7	英金續漲項銀再跌
page 7	八九金市稍形堅挺買賣較多價格上漲
