page 1	國慶夜再走出金水橋毛主席席地而坐同百萬羣眾聯歡並與劉少奇董必武周恩來等在天安門同看焰火
page 2	毛澤東主席與一百五十萬革命羣眾同慶國慶
page 2	全國盛大祝國慶各地羣眾集會遊行歡呼祖國空前繁榮陳郁李井泉劉瀾濤分在穗蓉西安參加
page 2	紅衛兵同各國青年聯歡齊聲高歌讚毛澤東思想許多外國朋友講話稱頌偉大領袖毛主席
page 2	河內放映東方紅觀眾高歌東主紅革命讚歌等影片也上映
page 2	印國大黨前主席由港赴台灣活動
page 2	陳毅昨天分別接見馬里巴基斯坦友人
page 2	毛主席席地而坐
page 2	十月一日在天安門城樓上參加慶典的國家領導人和各方面負責人
page 2	毛主席林彪等領導人
page 2	人大政協方面人士
page 2	中共中央委員
page 2	中共中央國務院各部門
page 2	中央文化革命小組
page 2	古巴華僑集會熱烈慶祝國慶
page 2	招待工農代表華僑港澳同胞北京盛大遊藝晚會大唱革命歌大跳革命舞兩千紅衛兵穗部隊海上文工隊出場
page 3	胡志明等出席我大使國慶招待會范文同祝毛主席萬壽無疆讚中國援越非常堅決有效越南人民以有中國作為抗美大後方而感到鼓舞
page 3	我駐外使館招待會動人場面外賓齊讚毛主席巴基斯坦朋友爭着去取毛主席著作加納朋友背毛主席語錄法友人祝毛主席長壽
page 3	周總理接見東巴省督劉寧一招待各工會團
page 3	荷蘭華僑慶佳節共一千多人與會我代辦勉僑胞　好毛主席著作
page 3	滇邊境各族人民與越朋友同度節
page 3	美軍步一師炮轟自己人
page 3	麥克納馬拉本週赴西貢這是他第八次到南越
page 3	東京慶祝中國國慶二千餘人參加酒會日朋友高唱歌頌毛主席的東方紅
page 3	澳洲各界人士集會祝我國慶名作家威廉斯稱讚中國文化革命是一個偉大運動
page 5	歡呼毛主席萬歲萬萬歲港澳同胞熱烈慶祝國慶新華社報道幾天來港澳各處集會慶祝情況
page 5	高舉毛澤東思想偉大紅旗新聞界歡祝國慶孟秋江講話指出文化大革命和紅衛兵好得很千四百餘人熱烈歡呼偉大的領袖毛主席萬歲
page 5	回教協會慶祝國慶斥反動派無恥讕言所謂文化大革命反對宗教謠言破產
page 5	帝修和一切反動派的喪鐘響了比豬還蠢的老爺們決撈不到甚麽好處毛澤東思想普照賽球我們為東風壓倒西風而歡呼
page 5	愛國愛的就是社會主義祖國工商界三天大歡宴歡呼毛主席萬萬歲表示熱烈擁護祖國文化大革命
page 5	掌握了毛澤東思想我們就無敵於天下
page 5	毛主席會見新聞界代表使我們受到極大的鼓舞我們要學習毛主席著作用毛澤東思想武裝我們的頭腦提高愛國主義覺悟加強團結忠於祖國
page 6	姊妹歡聚心情興奮工商婦女祝國慶江泓致詞說要以愛國思想教育孩子
page 6	中旅社祝國慶七百餘人歡宴
page 6	滿懷歡樂慶節日廿嘉家屬國貨同業歡宴客家山歌唱出了同胞的心聲
page 6	一切勝利來源於毛澤東思想呢絨運輸等業盛大慶祝國慶
page 6	各界游藝會昨晚續舉行全場觀眾深受激情感染
page 6	港九木材行同業舉行盛宴祝國慶
page 6	從圖片看紅衛兵
page 6	一組令人激奮的圖片
page 6	毛主席接見小闖將
page 6	新生事物不朽功勳
page 6	要使祖國永不變色
page 6	最聽毛主席的話
page 6	紅衛兵好得很
page 6	二次體育表演博得觀眾讚賞前日在伊利莎伯館舉行
page 6	文員協會祝國慶昨舉行游藝晚會一千五百人聯歡度節日
page 7	北角連環撞車慘禍巴士撞爛月台死傷二十六人深夜英皇道交通曾受阻一小時
page 7	市局擴大問題今天將有討論徙區空置學位有質詢
page 7	國產收音電唱機新貨運抵港供應
page 7	雪櫃藏毒案四疑犯將一併受初級偵訊汽車藏毒疑案今天續審
