page 2	社評日本之錯覺
page 3	美考慮進一步辦法準備提高日貨稅率對向日購買金銀問題亦將加研究英國醞釀繼起廢止英日商約
page 3	英報之評論羅斯福總統之英斷足以使極權國失色
page 3	日閣議討論相顧茫然毫無對策一致決定靜觀事態
page 3	柏林之觀察此舉含有政治意味不啻兩國經濟戰爭
page 3	英美兩國議員一致表示贊助英對日談判有恃無恐孤立派議員亦棄成見
page 3	美日商約要點
page 3	美國對日舉動將予致命打擊羅斯福此種斷然措置我朝野一致表示欽佩
page 3	英日賡續談判治安問題英相當讓步經濟問題雙方僵持中
page 3	遠東危機與美國
page 3	滬大美晚報盛讚蔣委員長對英日談判觀察準確
page 3	莫斯科報紙批評英日協定美報認英妥協非偶然
page 3	滬Ｘ軍鼓動印人反英
page 3	津英僑接獲恐嚇函件
page 3	新加坡軍港嚴密統制
page 4	鄂南我軍反攻一部已攻克汀泗橋贛北游擊隊切斷瑞武路
page 4	尾崎警告國人改變對華觀念針對其國內現勢指責Ｘ軍閥妄動
page 4	滬西續有激戰浦東Ｘ防務空虛
page 4	河北遍地洪流我游擊隊活躍平郊Ｘ渡滹沱溺斃數百
page 4	福岡煤礦焚毀Ｘ軍大捕嫌疑犯
page 4	大批輔幣源源運滬
page 4	Ｘ在蘇州郊外黑夜趕築工事壯丁被拉苦不堪言
page 4	王外長發表談話美國毅然廢止美日商約維持太平洋威望表現
page 4	法幣問題檢討續
page 4	陝民深明大義爭送子弟入伍
page 4	粵貪汚縣長正在偵訊中
page 4	北寧路偽軍反正痛擊Ｘ軍
page 4	虹口公共汽車華工罷工汽車多未出廠
page 4	滿邊日軍傷亡慘重迂迴戰略使用失敗蘇重砲兵發揮威力
page 4	滬各商店提高貨價大餅油條亦增價
page 4	桂美教士參加七七獻金
page 4	滬Ｘ偽報紙禁在租界發售Ｘ方提出抗議
page 4	邵逆式軍秘密赴日活動企圖保全位置
page 4	信用借欵談判尚在進行雙方並未簽字
page 4	滬一漢奸昨被擊斃
page 4	英將舉行防空演習範圍將及全境之半
page 4	法國瑞士購買美棉談判業已成功
page 4	滬中美日報又險遭襲擊暴徒十餘昨晚準備起事捕房處置得法化險為夷
page 4	莫斯科談話賡續進行中距最後決定尚有待
page 4	德轟炸機曾入英領空英當局近始宣布
page 4	荷新閣又瓦解各黨多投票反對
page 4	必然進一步
page 4	信賴與期望
page 4	粵省肅清貪污
page 4	但澤情形日趨不安
page 4	英王核准阻止犯罪案共和軍續有活動
page 5	中山封鎖線未破橫門戰事昨仍緊張玻璃圍芙蓉山斃Ｘ百餘台山空戰Ｘ機兩架敗北
page 5	灰燼繁華潮州毀於Ｘ手
page 5	由軍艦帶來的汕頭歸鴻淪陷前後情形報導上
page 5	粵省府促令遷移物資規定遷移機器種類粉碎Ｘ人以戰養戰
page 5	廣州灣中行開業
page 6	八一三至八一八港九小販義賣獻金成立義賣委會組織嚴密華商總會今日開會討論
page 6	Ｘ赴德使節寺內大角過港參加努連堡納粹黨大會ＸＸＸＸＸ在港未上岸
page 6	桂婦女領袖籲請徵集蚊帳張兆棠轉函各僑團擬在內地購料縫製
page 6	海壇輪昨日下午返港
page 6	七七花款十二團體尚未繳交
page 6	陳海鷹畫展籌賑響應募賬運動許世英主持揭幕
page 6	財政評論八月號現已出版
page 6	港渝港菲間將通無線電話半月後開始三分鍾起碼將來發展可遍及全世界
page 6	婦慰會舉辦海浴游藝舞會體育家與影星分別演出今晚六時乘輪赴茶菓嶺
page 6	中美文協昨日餐敘吳鐵城蒞會演講
page 6	灣仔兩匪行劫竟敢開槍拒捕華探狹路相逢捕獲一匪搜獲駁壳手槍及各贜物
page 6	黃啓明賻儀捐作購藥義款
page 6	偽防疫證已有三宗被罰
page 6	本港重倡輸血運動應付非常時期需要
page 6	龍虎風雲皇後平安今日起映
page 6	港粵青年會會商服務軍隊事項
page 6	純正夜校增聘教師多人
page 6	神秘夫人中央戲院今日起映
page 7	溫布爾頓大戰後煮酒論英雄瑪博性如烈火馬迪冷若冰霜
page 7	南遊日記
page 7	會友排球今日大決戰
page 7	夏令足球賽今天一場南組對友字
page 7	溫布爾頓冠軍力格斯不下海拒絕參加職業網球界勃琪達到目的將退休
page 7	中量級王位戰菲拳手十月出馬
page 7	小球經
page 7	夏令籃球賽大中出師南星上陣迎抗
page 7	帆布艇比賽四女將參加
page 7	港外匯市勢稍趨緊申匯市況初時不定後轉趨淡各行拋出申電申鈔近二百萬
page 7	八九金市初靜後緊買戶較多價格稍漲
page 7	事局浮沉不定股票市況仍呆派息期近未能挽回頹勢投機進出多以時局為準
