page 2	社評讀周恩來先生的信
page 3	中條山日軍已動搖晉西軍奮起突襲同蒲路日軍各據點均受威脅
page 3	美大使高斯昨呈遞國書頌詞真摯說明中美友誼深信兩國主義必獲勝利
page 3	美總統爐邊談話對國際局勢將有決定影響
page 3	將說明美援英速度將顯示美加緊國防華盛頓方面一般揣測
page 3	越前總督駱賓由日過蘇返法
page 3	德對美恫嚇萊德對日記者談稱
page 3	日所欲者我不為日所不欲者我為之周恩來先生致本報的信
page 3	美先鋒論壇報揭斥日陰謀認最近戰局日依然不振
page 3	傷愈官兵重上前線
page 3	日機襲渝未逞
page 3	桂林各界舉行晚會補祝本報獲得獎章陳嘉庚氏亦來電獎勉
page 3	我空軍駕駛員周君脫險經過
page 3	夏季勞軍湘定期舉行
page 3	日海軍日及川發表演說
page 3	威爾基氏廣播呼籲加緊援華中國為保衛世界自由之前哨美欲爭取優勢必先與華合作全美中國週情緒熱烈
page 3	政府努力紗布增產甘擴大糧食貸款
page 4	德傘兵增援克里特兩軍肉搏戰事激烈德坦克車在島上著陸
page 4	希王抵埃及發表諭告述撤退經過重申與英合作之決心
page 4	北愛人民反對徵兵安德魯斯離英抵愛拒絕發表商討結果
page 4	墨西哥政府沒收德義輪
page 4	英軍迫近巴格達格拉尼政府解體德已完全控制敘利亞
page 4	北非風沙戰事沉寂東非英軍續有進展
page 4	蘇外交評論員力闢謠諑否認出租烏克蘭之說
page 4	義報之謠不值一笑
page 4	印度孟買又發生騷動被捕者五百餘人
page 4	德國收買阿人唆使反對英國
page 4	大西洋英艦出動追擊德艦隊
page 4	伊前攝政宣布返國
page 4	聚利亞法司令加入自由法軍
page 4	美農部發表歐洲糧食情況德國無缺乏之虞渝陷國情形嚴重
page 4	越南日機突增掩護劫奪行動
page 4	美海軍供給品將可移讓菲島羅斯福即簽署授權案
page 4	美總統今日演講
page 4	克里特島戰事
page 4	加法關係轉趨惡化南美法屬扣留加水手
page 4	法國俘虜一部獲釋
page 5	桂農作增產情形植棉植桐正分區加緊進行中糧食可望達至一萬四千萬擔
page 5	工合運動在安康
page 5	彗星的殞落記煉油專家蕭之謙追悼會
page 5	今後計劃
page 5	揭陽剷除煙苗
page 5	滇緬邊境發現黑水病
page 5	清無廣寧邊境匪徒為患當局已派隊清剿
page 5	粵省普遍開展農田水利貸款珠江水局擬訂三年計劃全省分十五區需款千餘萬
page 5	中央在粵省設立煉茶廠粵省當局已籌備一切開辦費預定四十萬元
page 5	發展對外貿易統一收購粵茶
page 5	桂籌設播音室第晚對各縣播送公訓示新式收間機即可分發應用
page 6	輔政司對本報記者談我在港設領問題郭外長在英商洽結果在最近期內即可成立
page 6	穀米官營局開會決定官營辦法詳細辦法日內正式公布該局理事羅文顯昨談話
page 6	米行商會訴述苦衷請求改善專營辦法楊永麻昨招待報界
page 6	港滬游資內移三個月達國幣八萬萬元港占三萬萬滬占五萬萬
page 6	司徒永覺建議設立公共膳食堂公平糶米委會昨開會米店被控者百卅餘家
page 6	一碗飯運動五行商會拒捐炒飯各界表示遺憾吳澤華認為不近人情馮儉生望能設法補救
page 6	一仙輔幣券正在趕速印刷中票樣與我中央輔幣癧相似大小銅仙繼續在市面流通
page 6	港肺病死亡率驚人年達五千七百餘人防癆會籲請捐款建醫院
page 6	今日開始收買鮮魚醃貯一萬擔
page 6	鮑少游個展延期至廿八日
page 6	港大本屆畢業生共五十九人三二日舉行畢業典禮校長羅富國親授學位
page 6	搶麵粉歹徒活動猖獗警探嚴密查緝
page 7	南華足球隊捷報淨勝星聯三球李碩友鄒文治劉松生各建一功東星隊在澳首戰遇勁敵
page 7	居聯水藝大會三晚賽程公布
page 7	第一晚六月六日
page 7	鐘聲游泳場龍舟義賽港督蒞場犒賞
page 7	第二晚六月七日
page 7	夏令籃球比賽仍分兩組舉辦特別銀牌賽亦繼續舉行球員資格問題提出討論
page 7	南華會友排球截止報名
page 7	籃球聯會公開投籃比賽下月開始報名
page 7	乒乓中級賽南華第一下月八日頒獎
page 7	華員泳場端午龍舟賽
page 7	團體乒乓比賽合理的新方法
