page 2	社評從近衛到近衛
page 3	日內閣提出總辭職近衛奉命再組新閣松岡忽稱染病重光傳將登台海陸軍首腦昨舉行重要會議
page 3	納粹對日控制今後將見加強上海人士對日閣改造之觀察
page 3	星洲方面不感驚
page 3	華盛頓持緘默拒絕予以批評
page 3	軸心及其尾巴一幕代用品的歡迎儀式
page 3	文生主張肅清夏威夷日間諜美海軍已採必要預防
page 3	防美凍結資金滬日商拋下外匯
page 3	倫敦報界評論日本內部分歧
page 3	建川訪問莫洛托夫
page 3	英國防委會歡宴顧大使
page 3	日又壓迫維希圖攫取金蘭灣英美已予嚴密監視
page 3	美重視太平洋充實菲防務海軍飛機準備單獨作戰美以十五萬萬建築海防
page 3	巴黎鼓噪改組內閣
page 4	蘇軍加緊反攻戰事重心仍在北路
page 4	英大使演講民主政治中國走向民主進步迅速其思想適合國民之天性
page 4	孤島血案白俄巡官被擊斃日憲又任意捕人
page 4	緬甸僑胞捐贈國父先烈遺墨中執會特予獎狀
page 4	第四年抗戰經過三
page 4	粵田賦管理處下月成立張導民兼任處長
page 4	廣州敵軍強封民船
page 4	皖南敵壓戰官兵集體跳江自殺蚌埠敵殺害我民眾
page 4	蘇聯實行計口授糧
page 4	義報之論調謂美將參戰
page 4	全國教育會議下月被在陪都舉行
page 4	全國經建側重農業改良水利加緊生產農林部整理國有林業
page 4	美輪西點號開往里斯本載有軸心領事館員
page 4	國聯秘書長發表報告書
page 4	軸心及甚尾巴一幕代用品的歡迎儀式
page 4	田賦改徵實物川省定期施行各省亦均在積極籌辦中財部設講習所訓練幹部
page 4	英國正式接收貝魯特行政權雙方曾舉行簡單儀式威爾遜已入駐貝魯特
page 4	魏剛全權控制法屬非洲除管轄非洲各屬地外兼任阿爾幾里亞總督
page 4	蘇波成立協定釋放波蘭俘虜並在蘇境組波自治軍
page 4	休矣黑衫軍因反對調防叛變
page 4	美兩要員前赴倫敦
page 4	美國徵集大量糧食援英包括棉花菸草穀類今後問題仍在航運
page 4	加緊援助英蘇堵塞納粹惡潮麥克諾特演講
page 4	美孤立派喋喋不休惠勒訪諾克斯
page 4	希戈不睦說欲蓋彌彰戈林行蹤秘不發表但謂即將改任某職
page 4	秘赤邊境成立中立區兩軍將由前線撤退
page 5	本年粵省糧食可增九百萬市擔保育農業畜力擴大防疫擬定六年計劃開發水利
page 5	國粹與國學四
page 5	豐順揭陽風雨成災各地堤岸多被沖毀農人物損失千萬元
page 5	韶關籌備舉行燈火管制演習
page 5	粵積極籌設三大工廠資本定一百七十萬元
page 5	資源會協同省府開發粵北工業成立工礦事業理事會合併原有鍊鐵機器廠
page 5	華僑教育總會籌備近況擬於明年暑期召開代表大會
page 5	馬松亭返桂談國立成達師範中央允年撥經費十萬輔助回民教育之發展
page 6	拉第摩盛讚蔣委員長譽為最偉大領袖認中國將為亞洲之模範摩氏昨在太平洋學會茶會演講
page 6	新任港陸軍司令莫德庇即抵港賈乃錫少將交代後離港將返英國任某軍事要職
page 6	藥品印花稅由八月一日起漏稅者當嚴辦
page 6	中央各代表歡宴拉第摩參加者中外名流五十
page 6	特務警察下週開始徵募隊員待遇昨日正式公布俞允時自任特務警察司
page 6	新港督楊格九月間抵港羅富國夫人將來港
page 6	張歆海赴英任英中華協會長
page 6	保良局總理昨謁港督新舊總理報告局務
page 6	羅富國師資學院昨舉行畢業典禮港督羅富國主持頒獎禮中英文班畢業生二十人
page 6	模型飛機比賽參加者頗踴躍各方捐贈銀杯獎品甚多該會發表工作報告小冊
page 7	中西游泳慈善賽改下月初開幕因西隊有數健兒參加義勇軍操演華會同情將予以接納
page 7	港九澳小球賽今日遴選代表下午六時一刻在工務局球場
page 7	小球協會公布週末比賽秩序
page 7	桂中正杯籃球戰軍校獲冠軍四十七比三十殺敗樂群兒童組剛隊勝仗
page 7	華僑足球隊約戰米軍在對海陸軍場
page 7	桂林各項杯賽頒獎
page 7	中青泳場明晚會友聯歡
page 7	美菲荷匯牌價稍漲申匯市況略見好轉
page 7	股票市況沉寂賣戶意圖拋出價格續略下降昨日成交總值僅三萬元
