page 2	桂南大會戰即將展開
page 3	桂南戰事形勢順利我軍克復永淳甘棠大規模會戰在劇烈展開中
page 3	鄂北我軍挺進直薄隨縣城郊贛北克馬廻嶺包圍德安星子
page 3	晉南日軍已成弩末戰鬭力量年遜一年
page 3	綏省我軍分途合擊西犯日軍後路被斷
page 3	各地慰問團已抵鄂東召集軍民開會聯歡
page 3	桂各校員役瘧疾為患省府購藥分發救治
page 3	一九一八與一九四○二
page 3	日機逞兇到底再炸滇越路此舉背後另含有陰謀美大使促日政府注意
page 3	各地日軍蠢動內幕原來如此軍閥圖向議會掩飾失敗
page 3	日汪密約中傳無撤兵規定冀東將恢復戰前狀態
page 3	討汪之聲
page 3	欲蓋彌彰滬汪方圖掩飾部屬醜行浪人強迫滬西各住戶訂閱汪派中華日報
page 3	桂省當局注意成人教育通令各縣再造實施計劃呈報地方建幹學校二期學生畢業
page 3	榮譽師參謀長舒適存有功已升任副師長
page 3	美使抵滬
page 3	桂米鹽漲價農行辦理平糶
page 3	桐油業擬改變運輪工具以人畜力代替火汽車
page 4	齋藤事件震盪未已日議會今續開陸海軍發表聲明空言掩飾一部議員同情齋藤
page 4	淺間丸事件日宣傳已獲解決英方則謂尚待折衝
page 4	天津租界仍鬧糧荒英僑時遭留難
page 4	蘇軍否認向芬總攻
page 4	美教會領袖發動禁軍火運日二千六百萬人將為後盾美人踴躍捐款救我難民
page 4	德機飛襲北海英輪反被擊落飛機兩架
page 4	美兩議院通過緊急補充法案參院收回減縮提議
page 4	達拉第接見澤田
page 4	法駐蘇大使請假回國昨已動程
page 4	日本通貨膨脹實況
page 4	菲行政院批准明年度預算經費共菲幣七千九百萬將建馬奇諾陣線
page 4	荷蘭破獲重要間諜案該國軍佐不少被捕
page 4	羅斯福美伊州已正式提出任下屆總統候選人
page 4	一頁回憶蘇當年抗日將士紀念紅軍之偉績
page 4	蘇報暢論日本經濟
page 4	土耳宣布對英成立協定利用英借款發展貿易德在土市場將受影響
page 4	郵務總工會成立十週年在渝開會紀念
page 4	愛國老婦以私蓄捐獻政府
page 5	粵北我軍攻勢鋒銳新街郭塘間激戰從化方面我亦收獲戰果
page 5	桂某軍醫獻議防毒罩製法輕微毒性足可抵禦製法簡單經濟有效
page 5	徵收營業稅粵實施新制抽查賬簿作為徵稅標準
page 5	容奇舊寨崗日偽肅清台灣日艦駛粵增援
page 5	對待負傷將士應表示尊敬各界宜盡力予以優待
page 5	嶺東各縣米荒嚴重當局已購運湘米濟銷
page 6	中華廠商聯會主辦國貨展覽今日開幕各商攤位裝飾富麗堂皇並有遊藝多種可供消遣
page 6	惠陽商會急賑石峽尾難民災民共五千六百零二人許世英杜月笙昨往視察
page 6	九龍塘學校新建校舍落成
page 6	今年英國人過冬至及新年節國民政府立法季員夏晉麟播講
page 6	新稅研委會報告書尚未審查完竣
page 6	太平戲院農曆新年佳劇
page 6	節省陽光港政府已草擬法例將提出立法局會議
page 6	王昭君中央戲院今日起映
page 6	泰興公司收買西江南路桐油貿委會經理處撤銷
page 6	出版消息
page 6	港僑自衛團冬防後即結束國際嚴重時期已成過去以後團員生活不成問題
page 6	生活書店春節特價六天書刊一律四折
page 7	愉園一幕刺激戰東方痛擒雛鳳四比一竟成祺祥金海阿滔各立功勳張榮才出色博得好評
page 7	大生杯排球劇戰聖保羅敗於逍遙
page 7	光華出師不利警察打贏仗四比二文貴連克三關下半時子祥受傷離場
page 7	甲組聯賽最近形勢
page 7	昨日球賬
page 7	南方小球隊率師征澳十日晨出發
page 7	去年國產經港外銷總值逾三萬萬元礦砂桐油茶葉出口俱見增加
