page 2	社評Ｘ的掙扎與我的奮鬥
page 3	西北形勢依然緊張Ｘ軍集太原企圖西犯我空軍轟炸黃陂揚州
page 3	我在包南連捷
page 3	鄂中Ｘ退京山
page 3	費吳生將赴渝謁蔣委員長盛讚西南堅决精神相信中國必獲勝利
page 3	平沼有田演說難挽狂瀾於即倒英美法三國不為所動援華制日係既定事實
page 3	Ｘ國政局的Ｘ痕軍閥財閥摩擦日盛在新舊閣內的暗鬭
page 3	滬公共租界副探長遇刺一般認係復仇
page 3	江陰Ｘ軍譁變原因由於厭戰思鄉
page 3	忠烈軍人遺物捐獻國家
page 3	杭州偽市長何瓚被擊受傷
page 3	滬市商會電史汀生誌謝
page 3	粵省專員更動各縣政費折扣取消
page 3	戰時圖書雜誌原稿審杳辦法中常會會議修正通過公佈
page 3	我游擊隊最近總攻南京城內外時聞槍砲聲Ｘ由滬增援三千名
page 3	蔣夫人招待渝顯貴婦女討論動員婦女工作
page 4	巴薩隆納環城架砲堅守政府軍宣稱決不投降英法兩國表示焦慮
page 4	叛軍濫施轟炸
page 4	造艦競爭方興未艾昨年新艦可與一九一九相等歐戰以還船塢從未如此忙碌
page 4	直布羅陀舉行防禦演習
page 4	蘇聯整飭勞工紀律加幹諾維區幼弟任國際貿易部長
page 4	日福岡煤礦坍塌慘劇
page 4	Ｘ海陸軍
page 4	畢德門演說擁護羅斯福政策用合理手段抵抗侵略小塔虎脫亦擁護擴軍
page 4	靈　之旅
page 4	德報為日悲觀
page 4	墨索里尼嘲民主國家義向東南歐發展勢力與南國談話發表公報
page 4	英國的生意經研究向印度投資使成為製造及分配中心收之東隅彌補在華損失
page 4	美報要求禁鐵出口
page 4	奧瑞邊境
page 4	英約克郡軍事演習
page 4	日議員在滬談希特勒只會撒謊日本人對希有信心但終不免撲一個空
page 4	德捷談話限於經濟邦交並未涉及軍事
page 4	模範軍人
page 4	羅斯福將勝利
page 5	張瑞貴赴前方指揮軍事派員視察惠東寳游擊狀況惠冬防會議决組軍警督察處
page 5	少數Ｘ兵往來作態西江各地仍對峙我游擊隊控制佛山龍江龍山Ｘ均戒嚴
page 5	滇緬路通車後國境警察滇省府議決趕速籌設
page 5	Ｘ機空襲南路北海欽縣均被炸潿洲島Ｘ入夜即退
page 5	中山縣政府令各區署長出巡推行政令加強自治
page 5	淪陷區內Ｘ混銷冒牌假貨英美紙烟多係贋品固本肥皂亦被偽造
page 5	中山擴大紀念
page 5	澳門飭減路捐
page 5	瓊崖辦幹訓班
page 5	信宜籌設省中
page 6	瓊僑全代會議決組織瓊僑聯合會設實業銀行開發富源成立墾殖會救濟失業
page 6	黃旭初電港呼籲救濟廣西難民賑聯會今討論接濟辦法昨日常會決定要案六項
page 6	青年服務團服務孤軍營內舉辦識字班受傷華軍昨判獄
page 6	美人小型帆船海龍號將赴美定於明後日揚帆西駛
page 6	柴來源仍缺價格難降低
page 6	華南難民工業社籌設第二工廠共分四部基金定十萬元廠址已覓得正在磋商中
page 6	李政耀今晨返港
page 6	中大合唱隊昨日考驗
page 6	營養研委會開首次會議期定二月三日
page 6	港織造手工業蓬勃織機達三千餘架每日出布千五百餘匹銷場日狹前途抱隱憂
page 6	婦女會主辦慈善賣物會
page 6	英賬募捐會賣物游藝會開始徵集物品游藝項目豐富
page 7	菲足球隊來函通知定下月中旬啓程對中華之戰改期二十日舉行
page 7	蘇聯運動家多名失踪
page 7	抗戰期中的體育問題
page 7	德國室內網球錦標賽
page 7	1938世界女子運動明星
page 7	下海學生網球隊月底來港比賽一行七人預定比賽四場
page 7	美菲德瑞匯價稍縮英匯沉寂美匯穩靜申匯市況略趨好轉
page 7	股票市猶乏生氣全日成交依然不振
page 7	八九金市稍為堅挺較前漲二毫一仙半
page 7	魚翅輸入驟增
