page 2	社評美國與世界變局
page 3	中條山我軍反攻中黃河南岸安謐如恒鄂北日軍潰退我克復棗陽浙東諸暨以南殘日亦不支
page 3	閩省我軍克復連江浙西勁旅攻入吳興
page 3	滬四大學師生聯電美總統對加緊援華表示敬慰
page 3	鄺炳舜返抵舊金山旅美僑胞情緒熱烈
page 3	東江戰局好轉日軍被殲逾千四百人惠博一帶我完成反包圍線
page 3	滬商務工潮尚無解決趨勢
page 3	後方糧食生產激增耕地增加四百餘萬畝糧產可增千五百萬擔
page 3	自製汽車第一輛已完成汽車零件亦可自造
page 3	美國舉行國外貿易週滬美僑昨開演講會
page 3	中蘇擴充易貨協定原則已得妥協
page 3	近衞宴請同盟使節蘇大使亦被邀參加
page 3	馬來亞總指揮普希華已抵星
page 3	桂林各界慶祝會展期
page 4	英法空軍交綏敘利亞形勢益逆轉傳伊軍已攻入外約但
page 4	英報痛斥維希
page 4	維希助德戟英國美注視法屬西非洲
page 4	德法合作程度傳將可公佈柏林謂法國付與全權允許德軍越過敘利亞
page 4	法人心日益頹廢對國運漠不關心
page 4	北非英機械部隊加緊壓迫德軍毀德裝甲戰車甚夥多布魯克防軍一再反攻
page 4	蘇聯限制邊境旅行各國外交官亦先須批准
page 4	美國煤礦工又醞釀罷工
page 4	美國橡皮將採分配制因船隻缺乏運輸感困難
page 4	德義與土增進貿易關係德土將成立新商約土義航運重行開放
page 4	傳德發動清黨拘捕希斯黨羽希斯談話報告已送英首相
page 4	美國飛機生產有顯著增加最近一月逾一千六百架英將在美訓練機師
page 4	西班牙法西斯黨有將被解散說
page 4	美公民日全國將舉行紀念
page 4	英機不斷出動猛炸德工業區
page 4	印王呼籲反對格拉尼因其已違反回教信條
page 4	希傀儡政府規定各校必修德文
page 4	羅斯福總統論國際貿易極權侵略不祗威脅美國繁榮且危及民主生活精神與制度
page 4	德國清黨
page 4	紐西蘭總理飛抵開羅曾視察紐西蘭軍
page 4	埃政府查緝親軸心領袖
page 4	英海軍發表死傷人數共一萬餘
page 5	粵新穀將登場糧食難關可度過財政不敷之數中央已允補助吏治方面決嚴懲貪污
page 5	胡銘藻報告粵省糧食狀況提請加強縣鄉間糧政機構曲江糧食公賣辦理頗順利
page 5	遂溪稅務局解釋納稅手續計稅標準係從價徵收專稅票有效時期六月
page 5	陽江蒲石村日軍竄擾被擊退
page 5	西江南路日機肆虐高要市區被慘炸
page 5	中山日軍虛張聲勢揚言將進攻斗門
page 5	興寧麻嶺河堤崩決淹沒禾田千餘畝
page 5	寧波時事公報被冒名發行該報負責人發表聲明
page 6	港各僑團學校追悼謝晉元團長昨日在港九教聯會開會李汝涵報告謝團長生平
page 6	英河港設計專家渥雲爵士生平前日在返英途中突逝世行前手擬改良本港計劃
page 6	上書羅斯福總統昨簽名者踴躍一日內簽名者萬五千人加設公眾簽名地點九處
page 6	僑務局發表歸國路徑
page 6	優生學會昨發表港兒童死亡率驚人難民兒童百之四十死亡勗父母親應注意優生學
page 6	汕尾水產學校學生來港途中兩遭慘劫在擔桿山為日艦截留至英界烏石嚴被賊劫
page 6	專營米業期近當局積極籌備入口米商將定貨運澳滬零售米店領買米證展期
page 6	港澳書法比賽初賽揭曉六月一日決賽
page 6	倉庫專員赴庇能運辦柴薪來港史美謂官營柴薪說不確銅鑼灣零售站開始賣柴
page 7	協會隊人馬不齊英陸軍佔優勢全場統計協會僅得三項第一三二比二二洋丘八滎膺冠軍
page 7	恩德排球大戰培英得錦標三比一輕易打退南華許讓成頒發獎品
page 7	南華會友排球開始報名廿七日截止
page 7	星華中水選會成績優良情況異常熱鬧
page 7	中學籃球賽培英出師培正派隊迎抗
page 7	加山棒球友誼賽港啤實力強十比五大勝美艦投路沙南華一比四敗於岷甸奴
page 7	岷甸奴隊四比一勝南華
