page 2	一幕醜劇
page 3	英德折衝毫無進步歐局空氣益見緊張英二次覆文提出後德態度仍硬德波邊境戰雲密佈一觸即發
page 3	蘇聯強化遠東政策續
page 3	蘇德關係德國官方發表聲明力闢發現裂痕之說
page 3	歐局弛張靡定各國準備不輟
page 3	維特世界和平英美具有同感英新駐美大使遞國書
page 3	倫敦銀行堆置沙袋
page 3	倫敦巴黎疏散兒童
page 3	法將徵用交通工具
page 3	德義比荷火車中斷
page 3	波蘭準備炸毀工廠
page 3	蘇聯商輪奉令返國
page 3	埃及防務準備充足
page 3	匈京趕作軍事準備
page 3	但澤實行計口授糧
page 3	教廷當局預防空襲
page 3	Ｘ閣首次會議後阿部發表談話依然高唱東亞新秩序
page 3	軍人主張繼續反英
page 3	閣員照例大談施政方針
page 4	東江反攻順利我軍猛襲增城側背晉東南我軍勢如破竹長治爭奪戰劇烈展開
page 4	一週戰況自八月廿三日至二十九日軍事委員會發表
page 4	青年團中央團部組織略有變更設監委會與幹事委會各部分人選大致任定
page 4	大批Ｘ機再襲重慶
page 4	鄧錫侯等通電聲討汪兆銘叛國求榮廣佈邪說行為荒謬ＸＸＸＸ
page 4	達王抵渝
page 4	津市颶風
page 4	豐收與抗戰前途
page 4	汪逆醜劇落幕
page 4	朱惺公遇害今日入殮館方代為募捐
page 4	華僑學生回國升學教部訂優待辦法
page 4	我軍準備大規模反攻機械化部隊積極訓練三百餘萬新軍成長中
page 4	滬偽海關監督竟擅發偽令繳納關稅使用偽鈔稅務司方面無表示
page 4	天津英國官方Ｘ已引渡四華人援救工作仍繼續進行中
page 4	上海一奇聞院長變成獄中囚
page 4	德波空氣益緊
page 4	日本當務之急
page 4	今日記者節
page 5	Ｘ艦虛張聲勢砲轟疊石全祿反攻睦州仍隔河對峙中
page 5	各縣恢復禁烟督導員並加緊籌設強民工廠
page 5	粵省決恢復工業化驗所
page 5	暹僑文化事業近況
page 5	湘桂路上
page 5	粵北我軍各路銳進江村高塘已在控制中
page 5	番禺團隊收復市橋
page 5	專門人材粵機關登記錄用
page 6	昨日本港陸軍分隊演習攻守戰Ｘ軍圖攻惠州外圍我軍加緊封鎖九龍水陸邊境
page 6	立法局今日例會修正迫遷法例將提出通過業主住客名稱均詳細詮釋
page 6	駐港荷領昨慶祝女皇壽辰
page 6	人去樓空招租紙觸目皆是
page 6	各僑校發起愛國簽名運動表現僑胞之愛國熱忱參加之學校極為踴躍
page 6	平面三角中文譯本出版
page 6	雙毫飛漲澳門值港幣八八
page 6	銅鼓灘刼船案六賊均處死刑謀殺貨主李洪罪名成立六人聆判後若無動於中
page 6	國際博覽會出口協會前月底暫告結束
page 6	記者節青記學會今日聚餐東請黨政軍要參加
page 6	時人行踪
page 6	英皇中學暑期義學舉行頒獎典禮
page 6	粵衛生處召集留港醫師護士四日在青年會開談話會磋商回國服務及登記事
page 7	越南北圻足球隊七日可抵香港預定九日先戰東方隊
page 7	南遊日記
page 7	英國丹麥游泳賽勢均力敵丹麥人魚獲兩項第一女子入水賽名將撞板
page 7	調兵遣將應付強敵
page 7	大陸足球隊明日出兵約戰米杜息
page 7	千五百米跑法名將稱雄
page 7	千五百讓程賽萊德奧特寫意獲冠軍
page 7	尖事記
page 7	加拿大籃球隊昨晚又勝星島六二比五十戰情鬆弛今日乘原輪北上滬濱
page 7	八九金市先鬆後緊買賣不多價少起落
page 7	港外匯昨日穩靜下午因傳歐局惡化市勢稍緊申匯市況先穩後不定銀行拋出不多
page 7	歐局動盪不定股票先堅後靜各股價格漲後略回降
