page 2	英蘇接近的新趨勢
page 3	Ｘ軍在杭州灣登陸修河戰況愈形劇烈晋西北方面戰事我佔優勢粵省當局加強游擊區軍事
page 3	靜樂安澤激戰
page 3	生產會議定五月舉行各機關會員均已派定
page 3	青年報國圖刺Ｘ酋失敗
page 3	英眾院二讀通過中國幣制借欵案議會中援華空氣濃厚咸認此案乃一大助力
page 3	慰勞將士總會組慰勞隊出發各地
page 3	我軍民合作小學生幫助渡河老翁奮勇任響導
page 3	行政院會議褒揚魯保安司令郁仁治國立同濟大學更易校長
page 3	海南島Ｘ軍受創澄邁定安連日激戰
page 3	汪兆銘在河內遇刺未中
page 3	蘇日軍隊在綏芬河北激戰
page 3	新加坡華僑組救國隊前往桂滇服務
page 3	滬日商店職員昨被刺受輕傷一華人遭暗殺兇手逃逸
page 3	滬Ｘ沒收書籍美領提出抗議
page 3	陳逆錦濤傳已被刺殞命
page 3	漁業問題日方仍未死心
page 3	滬西商總會主席責難日本蔑視第三國在華利益外商咸蒙受重大損失
page 3	加強對Ｘ宣傳訓練日文人才
page 3	白銀四千箱運抵馬尼拉
page 3	津英商會會長被綁後無下落
page 3	留渝西籍記者組戰地採訪團本週內赴前線視察
page 3	川康視察團即將離蓉出發
page 3	偽邊防軍兩師長反正
page 3	贛建設廳開闢礦產充裕經濟動力
page 4	英蘇傳均贊同召開六強會議根據歐洲互助精神建立新的安全制度
page 4	德破壞國際法英難熟視無睹
page 4	希特勒無信義自食明興諾言
page 4	證諸歷史因果德國終必失敗
page 4	對德國併捷美提強硬抗議拒絕承認乃合法舉動美蘇關係將完全恢復
page 4	英眾院質問
page 4	捷克整個大勢政府正研究中
page 4	各黨意見一致擁護政府政策
page 4	英經濟助羅決派商務代表團前往德羅商約今日可成立
page 4	歐局日益緊張法政府密令動員後備役亦將績召入伍總統勒伯倫已抵倫敦
page 4	在德國鼓動下米美爾緊張日耳曼人今晚大示威立總統呼籲全國抵抗
page 4	伏羅希洛夫演說蘇聯紅軍實力續陸海軍實質較前改進空軍數量亦大見增加
page 4	軍民合作
page 4	法總統赴英
page 4	戈林赴義義駐德大使昨奉召返國
page 5	李漢魂關心民食籌集鉅欵救濟米荒實行根本救濟米荒計劃中央已准洋米免稅入口
page 5	Ｘ增援東江不確再度侵擾聯和墟志在焚劫舉動無聊
page 5	粵教廳登記戰區借讀生梁冠寰等三十名分發五個大學借讀
page 5	委員長故鄉壯士請纓踴躍服役志願兵
page 5	廿日拂曉我軍突擊順德城四路反攻大獲全勝任務完成奏凱而歸
page 5	滇省限本月底修竣滇緬路工程共徵民工二萬八千趕雨季前迅速完成
page 6	賑聯會議決黃花崗義演延期撥款千元組特委會籌備各善團要求均分別資助
page 6	議決各案
page 6	立法局明日會議財委會繼續討論
page 6	結束會議討論擴大婦聯組織婦慰會昨舉行常會
page 6	旅港新會商會撥款救濟桑梓東莞賑濟會得海外捐款派員回鄉調查散賑辦法
page 6	法院重懲藏毒人犯昨判決兩宗藏毒案
page 6	振委會許代委長昨視察新界難民撥三團體白米二百包
page 7	澳港埠際足球賽港選手大致內定出征菲島埠際陣線亦經決定四月二日將先戰星洲中華隊
page 7	南華南對聖約瑟今日會師嘉山欲獲錦標有待諸將苦幹
page 7	昨日公開草地綱球林珍兄弟單打逞能
page 7	今晚籃球賽南華遇培英
page 7	麗華盃足球决賽中華陣容產生本星期日對抗西文員
