page 2	社評論湘北二次會戰
page 3	湘北戰況已呈膠著汨羅江南敵受重創北岸我主力分三路西進截擊
page 3	敵軍一部北潰
page 3	粵敵圖犯台山
page 3	贛皖我軍奏捷錢江北岸激戰
page 3	王部長發表談話論國際局勢美日談話消息多出揣測蘇聯英勇抗戰至表欽敬
page 3	緬甸總理赴英訪問
page 3	于院長已抵西北視察
page 3	慰勞總會預祝湘北勝利撥款十萬勞軍
page 3	行政院會議
page 3	日本向那裏走
page 3	我軍事發言人暢談湘北戰局敵軍攻勢成強弩之末
page 3	滬西報著論虹口混亂狀態秋山談話對該報表示不滿
page 3	中緬移民問題雙方成立協定
page 3	滬工部局總董告租界市民書
page 3	敵統制肉食
page 3	爪哇火山爆發四百里年猶見煙燄當局疏散居民避免危險
page 3	美日談話之謎近衛二次私函說赫爾謂並無所聞
page 3	陪都新聞界籌備公葬張季鸞先生
page 3	日本各報章又強調反美
page 3	東北敵軍傳達百萬攻蘇企圖益露骨
page 3	德夫古柏將赴澳洲
page 3	普法姆抵臘戍視察
page 3	艾格斯頓使華我方表示歡迎
page 4	三國會議期近英美代表團抵蘇聯
page 4	基輔蘇軍大部安全撤退南路德軍圖兼程推進英嚴密注視土保態度
page 4	大選前夕的菲律賓二
page 4	德軍又宣傳迫近卡科夫
page 4	保總理菲洛夫突作反蘇論調
page 4	斯摩倫斯克區戰後凄凉景況
page 4	烏露圭建空軍根據地由美借款興建戰時歸美使用
page 4	美貨輪緋星號又被潛艇擊沉沉沒地點在冰島附近赫爾主張修改中立法
page 4	菲防務問題美菲當局將進行會商討論經費支配各事項
page 4	聯軍會議將在英舉行蘇聯亦將派員參加討論戰爭目的及戰後建設
page 4	義輪圖駛弱非又遭潛艇擊沉英機烽的黎波裏告成功
page 4	凍結國幣存款
page 5	四邑烽火再起我軍三路截擊中犯新開路敵軍受重創台城近郊正展開激戰
page 5	何總長過筑在各界歡迎會席上指示黔政改進要點
page 5	黃海波濤洶湧遊艇失事沉沒兩少年壯志未酬僅以身免
page 5	戰後西江瘡痍滿目馬房一帶焚屋千餘家當局已趕辦急振
page 5	粵省行政會議通過糧食增產交通建設等要案多起
page 5	撫輯情形
page 5	桂防空司令夏威飭屬改善空防
page 5	善後辦法
page 5	中山各地義軍紛起連晚襲擊斬獲頗多
page 5	桂省登記收容僑生回國升學登記日期本年十月十日止省府當局決予以種種便利
page 6	陳光甫由渝返抵港昨續召開平準會議鄭鐵如談提存國幣辦法
page 6	一元獻機百萬元運動定三個月完成為策動一元獻機工作陳慶雲發表告港僑書
page 6	策動戰債募運動蔣委員長告僑胞書盛讚僑胞捐輸愛國熱誠
page 6	滬納稅華人會王曉籟發表聲明
page 6	各界振聯會決定擴大慶祝雙十節推羅旭龢為主席團主席並邀請各名流參加慶祝
page 6	港大學生人數激增本學期新生達二百人
page 6	港府函請各報館縮減報紙篇幅望設法能減少紙張一半
page 6	輔政司史美傳將退休由魏斯伯繼任
page 6	衛生局會議
page 7	周末足球聯賽開鑼華會整軍經武星島排出甲乙戰陣迎抗工程友誼賽工程今戰南華
page 7	校際水運今開始預賽
page 7	夏藍大勢民大人才平均冠軍有望康元苦苦追隨亦思染指
page 7	澳門足球比賽各組循序編定
page 7	文治盾下午七時在加山開代表會議
page 7	許竟成昨向總會登記仍為東方效力
page 7	甲組英雄譜
page 7	夏令籃球大戰康元民大奏凱
page 7	中華盾決賽阿Q獲冠軍
page 7	外匯牌價俱無變更美匯沉寂申匯略鬆
page 7	股票市況略好昨日成交二十二萬餘元
page 7	限制提存影響國幣價格上漲昨日最高價達一八二強
