page 1	對奧條約與國際和平
page 2	府令公布行憲法規憲政實施促進會昨通過提案請政府廢止與憲法牴觸法規保障人民權利徹查失蹤事件
page 2	五院組織法要點
page 2	監委選舉罷免法
page 2	立法院組織法
page 2	國府委會改組為期不遠民青兩黨名單即可商決
page 2	接收大連趙家驤在京與有關部門會商蘇大使訪王外長
page 2	水利工程概況薛篤弼　中樞報告
page 2	青市美兵肇事刺死人力車夫
page 2	陝北國軍進駐清澗豫北新鄉外圍戰局轉緊魯中國軍正向泰安城區猛攻
page 2	平古路各段已修竣吉海路南段客車恢復
page 2	鄂上年度徵實僅達定額七成
page 2	鴨綠江漁船被襲擊韓軍射擊趙氏溝海口一帶漁船漁民死一傷三被捕去四十二人
page 2	延安成立警備部王應尊兼任司令蔣主席犒慰陝北軍民
page 2	白崇禧即將離台返京
page 3	交換中國局勢情報美報告書草擬竣事由馬歇爾如期送交莫洛托夫外長會議辯論德國經濟問題
page 3	德國勞工三大目標首在經濟政治統一
page 3	吃龍蝦談中國
page 3	奧總理將赴莫斯科
page 3	魯爾區問題蘇認有單獨解決必要
page 3	德人示威運動英採溫和態度
page 3	朝鮮問題美或交還四強處理
page 3	教皇感不適在梵蒂岡渡復活節
page 3	甘地晤蒙巴頓王公會議討論今後政局
page 3	援助希土問題安理會將有激辯美議員反對援土擁護者亦不熱烈駐土大使謂援土根據於車事考慮
page 3	希外長將演說
page 3	法魯島獨立後或將重返丹麥
page 3	單獨託管太危險足引起不幸後果威爾斯不滿美代管要求
page 3	麥帥看弗朗哥謂係抵抗歐洲共產主義之唯一屏障
page 3	戴高樂突打破沉默賴馬迪讚共和政體
page 3	兩個演說完全對立
page 3	外傳艾德禮要辭職貝文在國內聲望大
page 3	財政部負責人談美金債券發行辦法作為擔保之物業將指定單位到期債票本息支付決不愆期
page 3	我政府勳章贈與捷克要人
page 3	馬帥夫人當選服裝優美婦女
page 3	司徒森將晤史達林
page 3	谷壽夫冀免死擬申辯書呈國防部
page 3	中航渝滬班機機件發生故障降落宜昌乘客與機師幸均告無恙
page 3	空運隊交通機降落周新鎮麥田中機身略損人員無恙
page 3	桂林發現腦膜炎
page 3	中國社教社年會昨選出理事十八人
page 4	生化等三廠不起訴生產貸款購買黃金美鈔均在緊急措施方案之前
page 4	橡膠工業危機原料稀少成本增高銷路呆滯兩廠已停工其他亦多減產量
page 4	濬河工程大部月底可竣事
page 4	庇寒所原址改建習藝所約三個月內竣工
page 4	三月份差額金公布為七萬二千八百六十三元仍按上月七萬三千元發給
page 4	霓虹普照公用局約法三章
page 4	蘇北記者訪問團今晚搭輪赴通江蘇省新聞處上海辦事處
page 4	行總福利工作昨日宣告結束振卹廳長廬廣綿發表談話
page 4	聯總本地職員要求加薪昨日未得圓滿答復
page 4	上海電信事業工作計劃核准郁秉堅局長昨日談
page 4	羅斯福盃籃球賽中華隊拔選原則決定
page 4	二屆乒乓聯賽今日開始報名
page 4	救濟物資運往中共區已達二萬三千餘噸
page 4	國內基督教大學昨討論改制問題
page 4	八達綢廠擱淺職工月薪拖欠兩月
page 4	被控遺棄虞順慰無罪
page 4	幼幼托兒所籌備慶祝兒童節
page 4	兒童教育團體籌備慶祝兒童節
page 4	師範教育運動週演講日期排定
page 4	滬江校董會昨討論如何調解學潮
page 4	調查壯丁初步工作告成
page 4	和平之神將復原位工務局奉令擬具預算
