page 2	社評石油問題與軸心近東油源為英德所必爭
page 3	蔣委員長對美大使臨別致詞中美兩國利害相同增進合作刻不容緩中國獨力足球場與遠東侵略者周旋友邦盡力援華則不必實際參戰
page 3	高斯過日談話新加坡將舉行重要會議中英美荷澳代表均參加
page 3	話說當今英格蘭拾貳疏散與失學倫敦航信
page 3	福州市民勢將絕食日軍搜劫之結果民眾餓死者載途
page 3	日軍部喉舌強調防蘇對德亦表示懷疑
page 3	菲空軍司令將來華訪問
page 3	屈服結果法越軍復員
page 3	日機昨襲滇兩大學均被炸
page 3	滬蘇州河舢板又被鑿沉數十日方是否將再加否認
page 3	日本之官樣文章舉行官民墾談會交換新體制意見
page 3	夏威夷美陸軍擧行春季演習
page 3	川東喜雨豐收有望
page 3	滬西歹徒大肆綁架特區法院職員盡成目標
page 3	傳筱庵之子昨被刺未死
page 3	糧食節約運動贛省積極推行
page 3	上海米價續跌每擔一百二十元
page 4	鄂北我軍又獲大勝碎粉日進攻殲滅日軍三千餘晉南中條山戰事猛烈進行中
page 4	月明之夜倫敦遭猛襲貴眾兩院捐失甚重西寺教堂落彈如雨
page 4	舊金山工潮有擴大模樣工人組織糾察隊警察亦全體出動
page 4	英國本部演習防衛戰術一連四日情境逼真
page 4	英軍艦進襲班加濟德轟炸機出動投彈阿比西尼亞戰事已屆尾聲
page 4	英美日太平洋海軍實力
page 4	胡佛主張保持超然地位認美準備尚示充足對英處境表示同情
page 4	波總理由美返英乘轟炸機橫渡大西洋
page 4	傳德軍將犯聚利亞巴斯丁加緊戒備
page 4	美國會委會討論使用軸心輪船赫爾函請勿予限制蘭德曾提出意見書
page 4	英機夜襲漢堡工廠再度被炸
page 4	晉南戰局緊張
page 5	羅卓英談日軍竄擾浙閩企圖經濟封鎖減損我力量盼國內一致團結打破難關
page 5	穩定滬市民食已獲有端倪當局為預防廉米被隱藏發售辦法正詳細研商中
page 5	婦女問題回到家庭去是對的嗎桂林青運週二次辯論會
page 5	李主席廣播救濟糧食問題取締囤積居奇提請人民注意務期渡過難關力謀根本解決
page 5	佛教聖地仰光風景線大金塔輝煌莊肅堪稱偉構居民複雜如入人種展覽會
page 5	湘歌妓籌獻戈稷號捐十日所得示所倡導
page 5	九月二十一日日全蝕中大組隊赴閩觀測
page 5	廣州灣輪船擬改航澳門
page 6	蔣委長電周壽臣勉倡導籌募戰債譚進愛國可風首購萬元
page 6	購戰債運動熱僑團基督教團體即開會黃炎培昨執行新聞記者
page 6	徐欣女士在港獲得倫敦最高鋼琴學位為港華僑獲得該學位第一人
page 6	余東旋遺體昨晚入殮出殯日期未定商紳吊唁者眾
page 6	港府嚴密查緝私藏無線電機如經緝獲當加以重罰望居民合作予以揭發
page 6	限制迫遷例延長可能輔政司昨表示
page 6	美貨入口量不受限制證明非轉運資敵當局可准其進口
page 6	仰米大量輸港米價續狂跌米行請求難獲批准官米平糶進行順利
page 6	澳門總督昨晨返澳
page 6	鮮魚鹹魚商昨謁糧食統制專員請代政府收購鮮魚當局對兩行商之請求表示接納將提出考慮
page 6	居民不滿官辦清糞投函申訴請改善列舉不妥之處共三大端嘉利主席答允力求改進
page 6	國貨簽證委會已獲批准最短期內即可成立
page 6	經新航線郵件價目公布經美轉英每安士二元
page 6	香港仔漁船捕得海馬重約一百餘斤
page 6	李俠文與林慧潔有情人成眷屬昨在告羅士打招待親友
page 7	南華足球隊明晨出發遠征在星比賽三場轉戰馬來亞各埠行期兩月高佬領隊一行共十九人
page 7	中英田徑義賽協會今日選將今明兩日在加山練習高卓雄報效獎品
page 7	喬路易的軍役問題
page 7	中華技擊老師劉錦東談內功
page 7	學界籃球賽興華大捷今日比賽兩場
page 7	青支少林拳班
page 7	學界排球比賽保羅大勝仿林初級組英皇打走西南今日高初級組各一場
page 7	外匯牌價俱無變更美匯靜寂申匯仍穩
page 7	股票市況穩定買戶視線集中低價股票
page 7	居聯會獻機水藝會定下月舉行
page 7	恩德杯排球南英對抗仍假卜公球場
