page 1	假若修改憲法首先應該刪去國民大會一章
page 2	臨汾巷戰昌樂情況不明鄭州國軍增援局勢轉緩
page 2	國大今天檢討軍事民社黨推徐傅霖競選副總統
page 2	絕食代表飲奶打針除李化成外健康有進步于斌等建議在蔣主席考慮中
page 2	國大花絮
page 2	何應欽將有新職
page 2	陳誠赴美即將成行行前將晉京謁蔣主席
page 2	印大使首途來華
page 2	無根之花上論輿論的社會背景
page 2	蔣主席宴大學校長說教育經費要增加平教育界抗議非法逮捕中大學生百餘昨天絕食
page 2	如國大擴大職權民青將退出大會民青兩黨非正式表示
page 2	成都學生請願詳情
page 2	司徒雷登今天飛瓊宋子文巴大維同行
page 2	急救北方在京北方人士會談目前局勢
page 2	西安各報代表要求增加配紙
page 2	台灣苦旱
page 2	渝市記者團訪問在巴山
page 2	張治中兩覆新疆各族青年勉親漢親族求發展
page 2	台省國代準備要求提前實施地方自治蒙古各盟旗代表團抵京請中央頒盟旗自治方案
page 2	國際絲業代表會議我派葛敬中等赴法參加
page 2	胡家鳳抵贛
page 2	美貸十分之一用來改進農林
page 2	鎮江陰雨綿綿烏龜結隊出現
page 3	哥倫比亞風波已告平靜朝野兩黨組織聯合政府內閣十三席中自由黨獲取其六
page 3	杜魯門星座無光
page 3	星洲成軍火集散地要槍有槍要砲有砲先行付款保證送貨
page 3	改組聯合國美議員有此建議
page 3	巴拉圭革命流產政府宣布逮捕共黨領袖
page 3	英美關懷哥國局勢美人一度擔心馬歇爾等的安全哥代辦不信共黨破壞泛美會議
page 3	美鼓勵採鈾礦開發新礦可獲獎一萬元
page 3	蘇否決義入聯合國責美利用聯合國影響義選舉安理會通過緬甸參加
page 3	大選前夕義境不安左右兩派分別集會羅馬並曾發生衝突
page 3	日政府謀改革計劃簡化機構
page 3	日本低級戰犯判死的僅百餘
page 3	美決援助日本正在草擬計劃
page 3	義大利賠償傳蘇願放棄
page 3	越盟警告保大勿與法國合作否則有被刺殺危險
page 3	西歐五國財長將談錢的問題
page 3	十六國商受援擬妥經濟合作條約憲草各外長日內將開會討論
page 3	柏林的爭執蘇提空中安全案英美法不肯接受蘇英著手調查撞機事件
page 3	日賠償工作慢吞吞盟總心血來潮要加緊辦理打算成立歸還顧問委員會
page 3	攝影人員請願有樂隊患難情侶結婚無頭紗
page 3	鑾披汶內閣即組成預言中暹可能發生糾紛自稱稍右傾求各國承認
page 3	貝當不甘終老孤島要求重審他的附逆案搬出大堆文件作證據
page 3	南韓普選就將舉行美軍打算耀武揚威海陸空軍將齊出動鎮壓
page 3	粵參議會再電中央請求派兵協助剿匪
page 3	阿猶談判失敗停戰又成泡影
page 3	捷克地下組織政府宣布破獲
page 3	黃埔地皮日漲
page 3	穗市無靠女童警局將為擇配
page 4	天上層雲不合要求乾冰造雨昨又失敗剩下的乾冰一百四十磅要等積亂雲出現再撒
page 4	香港電影業近況
page 4	日昇工人所提要求廠方大部不能接受辭退工人補薪可有變通辦法
page 4	港九七十餘工團籌備慶祝勞動節推定常務籌委及主席團
page 4	勞工顧問碧架分別接見工團代表
page 4	冰國遊藝大集會本月十四日舉行
page 4	三賊劫巴士一客失六百元
page 4	英印公司新輪沙丹拿號今日開航
page 4	帶相機要納保證金靠妻子終久不是事
page 4	越南代表紛紛歸去復辟談判已陷休止狀態法代表談法越和平基礎
page 4	何東返港精神依舊很好
page 4	住宅區工廠再望展期遷移
page 4	和平的基礎
page 4	那曲隆先生
page 4	警士初襲石塘咀前日午夜破獲一私褰
page 5	香港工業發展新姿大小工廠千七百家男女工人八萬餘名造船業居首紡織業第二
page 5	經濟要談海客
page 5	星洲權膠生產活躍今年計可達六十五萬噸美銷數量佔全世界半數
page 5	華豐益豐來港設廠
page 5	穗經濟特點實施金融管理不易
page 5	黃金走私在中東七五盧比一土拉
page 5	中信局輸英冰蛋收購價正式決定每噸二億二千七百萬元
page 5	國際糧理會決定緬暹食糧出口數量緬甸出口一百萬噸暹羅出口六百萬噸
page 5	廣州商情一週
page 5	福州貿易的分析三
page 5	援歐計劃實施後英鎊延緩貶值法國缺乏美元
page 6	六大錦標盡是中華天下華聯勇戰奪紀念杯四比一華聯勝來清脆小將區志賢惹人叫好
page 6	全運元首訓詞長跑選手六十名用接力方式遞送成立火炬接力會
page 6	奧林匹克火炬接力跑由希臘橫越歐洲帶到倫敦大會場
page 6	馬華參加全運選手月底動程飛滬職員選手共六十五人參加競賽項目共七個
page 6	爪哇在滬第三戰戰和東華十四日乘機返港
page 6	滬市長杯籃球賽大公勝美空軍四隊同時晉級
page 6	香港參加全運游泳代表昨夕挑選名單發表廿六日動程赴滬
page 6	軍聯演出賣力失敗非戰之罪
page 6	今天公開網球賽區蔡單打有劇戰
page 6	學界籃球賽今天兩場角逐
page 6	拳國三雄三
page 6	全運足球選手戰世運隊廿四廿五兩天舉行比賽地點在快活谷
page 6	廈門大學慶祝校慶
page 6	中山大學一教授談台灣近狀工農生產遠不如前初等教育尚稱發達人民生活亟待改善
page 6	傑志小足球隊十三日征廣州
page 6	中山大學近事
page 6	聯華籃球隊將來港比賽
page 6	市政設施大禮已現代化
page 6	甲組足球聯賽現勢截至四月十日止
page 6	本週足球賽秩序乙組東方星島爭冠軍
page 6	長勝杯賽群英民英不分勝負
page 6	浙省運田徑賽結束印尼華僑選手赴滬
page 6	全運會場週內竣工長期券每張四百萬
page 6	神仙杯賽今午一場
page 7	澳門附近加緊緝私私梟裹足輪隻竟受影響十三家船務行宣告停業緝私人員舞弊疑案近發生一宗
page 7	秦良玉故鄉出現奇女子九年前誤食某種草從此不吃飯只喝水
page 7	又一美麗遠景花園口裝設虹吸管引黃河之水注入舊槽再築壩蓄水用以發電工程計劃已擬訂靜待核准
page 7	騙婚用一張女人照片騙得兩千多萬元
page 7	開發鶯歌海鹽田計劃大致已確定開發籌備處即將成立
page 7	美國漁船在瓊島打漁
page 7	垃圾製磚北平將設廠
page 7	要求聯合國解決疑案重慶警察局收到奇文
page 7	故都食無魚濱海皆為共區鮮魚難到平市
page 7	青島公報社長遇害陳屍沙灘兩眼被挖平日不修邊幅死前忽理髮
page 7	區區貸款要他何用青島今年漁業貸款只夠每人買油三斤
page 7	一塊銀元換一元法幣開封銀元販子被逼輕生有的上吊有的急得發瘋
page 7	奉化賭風熾輸贏動以億計
page 7	滯柳僑胞一一四人獲准赴緬
page 7	婺源糠也貴杜鵑花餵豬
