page 2	社評伊拉克戰事與近東
page 3	巴格達附近大戰中英軍三路猛烈進攻巴勒斯丁英當局加緊戒備傳德機一隊已飛往聚利亞
page 3	土耳其當局注視時局發展傳將召集四國會議德認土將設奔軸心
page 3	伊拉克各地展開反英運動各酋長擁護格拉尼伊軍切斷海法油管
page 3	波蘭國慶日英首相演說戰前波蘭態度至堪頌揚今後光榮傳統更將輝耀
page 3	論蘇彜士之戰二
page 3	英機轟炸西歐沿岸德巡洋艦亦被擊中
page 3	德國會召集會議希特勒將蒞會演講
page 3	德遊客一批赴法屬摩洛哥
page 3	美國校官可破格晉陞不必受服務時間限制
page 3	比人反德牆上滿佈反德標語破壞行動繼續蔓延
page 3	英海軍部宣布希戰英方損失戰艦及運輸艦被沉六艘英軍未退出者約七千人
page 3	德方宣佈擊沉英輪總數達一千餘萬噸約合總額之半
page 4	溫州舉行慶祝大會居民鼓舞國旗飄揚我軍乘勝向瑞安追擊
page 4	郭泰祺在美播講籲請美國商人勿以武器運日援華即援英亦即自助
page 4	紀念五四渝筑各界開會
page 4	林白反戰演說主張美國孤立認為英美飛機生產不及德國
page 4	滬法租界工人械鬥
page 4	澳洲當局考慮駐華公使人選
page 4	推行新縣制何彤對記者談話
page 4	獻機運動川省積極展開
page 4	聯美飛剪機試航新加坡
page 4	詹姆士羅斯福已由渝抵仰光
page 4	論統銷貨品收購價格問題一
page 4	湘提倡節食
page 4	行政院農業推廣團輔導甘省改進農業
page 4	美記者格拉罕赴老河口採訪
page 4	湘槍決烟犯
page 4	泰訪荷印代表談泰國仍願中立不接受日政治經濟領導權
page 4	川康大動脈樂西公路歸客談觀感
page 4	中國印度間駱駝隊古道當局計劃再予重闢正派專家前往勘察
page 4	蘇聯陸軍舉行大檢閱規模極為宏大
page 4	威爾基主張美實施護航擴大巡邏辦法尚未盡善美軍需出產率超過任何國家
page 4	孟席斯氏起程赴美
page 4	滬日屢被襲恐慌異常強迫虹口居民聯保
page 4	浙閩戰事
page 4	美加強巡邏
page 5	粵省中等學校本學年畢業考試教廳訂定辦法轉飭各校遵辦定六月下旬開始舉行
page 5	教部訂頒辦法普及圖書教育提高文化水準培養健全公民
page 5	東江僑匯與金融近況
page 5	上海租界當局設法壓平米價決定直接採運港米赴滬依照成本售予零售米號
page 5	第一國營農場區域劃定
page 5	高州物價最近調查
page 5	西南運輸事業力謀發展中中國煤汽車營運公司定本月中旬在築成立
page 5	淪陷區成盜匪世界大良城內混亂異常
page 5	廣州灣貨運擁塞航輪減少無法流動
page 6	本港閩僑商討救濟閩災發動南洋閩僑一致進行代電中央推行增產運動
page 6	起卸煤炭工人要求增加工值勞工處長召集雙方磋商所提條件資方大致同意
page 6	木屐工人組織工會
page 6	復旦大學校友節港校友昨開聯歡會
page 6	賑濟東江兵災書畫展昨閉幕臨時購券者紛至　來明日起至十日止取件
page 6	促進本港人士投資英國戰債本港政府現在討論中
page 6	女青年會全國協會決定遷往成都
page 6	港九小販生活備受痛苦小販工商聯會開會商討擬請當局體恤予以救濟
page 6	戰債勸委會秘書長黃炎培來港任務參加商討勸銷戰債辦法著重國幣本位軍需公債
page 6	港府決定大量採購仰光米僱專輪多艘來往港緬間官營後米商將大受影響
page 6	救國老人黃炎培先生
page 6	文藝協會香港分會新理事昨選出
page 6	本港教育界籌組學生總會
page 6	限制迫遷法例本月底即行滿期業主聯會擬請取消此例住客聯會則望繼續延長
page 7	加山麓足球試賽南華戰和米軍竟成仲雲國威先後倒串前鋒戰情平淡雙方瓜分六球
page 7	東英排球大戰改在週末舉行友誼賽東方打勝培英滬將鄭亦泉身手不凡
page 7	卓雄杯小球賽今日開始報名全部章程正式公布
page 7	德權鼎小球聯賽黑灰力挫志雄三比一戰況異常緊張藍鷹東山西園西奏凱
page 7	學蜀排球今日開鑼
page 7	港進出口貿易本年俱告低減
page 8	歐戰中的婦女生力軍上倫敦通信三月十九
page 8	關於展開婦女問題的研究
