page 1	社評遠東經濟委會第三次會議
page 2	津浦路戰事向南蔓延魯西南全面進行大戰南陽承德外圍兩軍在酣鬥中
page 2	政院今天臨時會議研討擬定施政方針翁文灝舉行茶會招待立委
page 2	數省主席有更動說
page 2	推翻CC傳黃埔系三青團在領導
page 2	南京通信新行政院長的產生
page 2	本屆監察院昨開末次會
page 2	美國援華計劃眾院撥款委會通過要求美國機構嚴格管制又說以前援華情形不太好
page 2	中美商約美參院批准
page 2	輪船運費加價交通部終於批准了
page 2	立院今晨復會將咨請政院提總預算本月十五日前送立院立委昨續商待遇問題
page 2	司徒今招待記者解釋美對日政策
page 2	日漁船的陰謀船上裝有最新式電報機沿途測量隨時發電報告被俘日船員的口供
page 2	澳洲騙子判刑六月緩刑兩年將由澳方遣回
page 2	上海舞潮案特庭不受理被告高呼謝謝庭長地檢處已開始審訊
page 2	甘乃光下月赴澳
page 2	壯者逃亡弱者死石壕吏多民難活黃世途報告粵徵兵情形省參議員悲憤批評役政
page 2	約大學生開不成會暴徒搗亂會場逞兇打人校長涂羽卿已提出辭職
page 2	滬時代日報被市府停刊
page 2	楊妹真的不食南京衛生局長不相信
page 2	梅蘭芳無意退休要唱到不能登台時為止
page 2	廢除徵實恢復徵值粵省參會決向政府呼籲
page 2	海南島上戰雲瀰漫工礦事業殘破日甚青壯棄家逃亡工人難找材料糧食交通都成問題
page 2	穗攤販受壓迫兇狠的二房東強收食米三百多間攤位慘被拆毀
page 3	五億美元救濟日韓琉球美眾院撥款委會已批准一億五千萬建設費則未通過
page 3	建設經費落空盟總官員沮喪
page 3	美派艦隊駐地中海據說帶有示威性質海軍首長說來頭頭是道
page 3	新加坡通信孩子們在星洲
page 3	美軍費百億預算案眾院已通過陸空軍部分海軍的卅億亦即可過關
page 3	許曼又遇困難傳政潮將發生
page 3	反對蒙特反共法案數千美人集體抗議呼籲白宮及國會勿讓實行
page 3	美海軍新藍圖要維持強大太平洋艦隊擁有常備艦隻一百餘艘
page 3	李承晚可憐的呼叫乞求美國只給錢別干涉美方表示撤軍還要等等看
page 3	朝鮮委會人員日內離滬返韓
page 3	西德前途六國協議四國代表團發表公布將建議提請各國批准
page 3	緬甸發展經濟公布兩年計畫
page 3	日謀吸引外資經濟安定院擬好計劃向投資者提有利條件
page 3	異口同聲願停戰阿猶尚未住手安理會還談謀徹底解決
page 3	日賠償機構停擺物資分配暫停進行要等美減定賠償額
page 3	美普立兹獎金上年度得獎人公布
page 3	英廢死刑法案上院不予通過但仍有實行可能
page 3	越我僑胞損失法允賠償一部
page 3	普拉格槍聲捷共一領袖被暗殺斯拉姆被擊三槍兇手在逃
