page 2	荷比戰事與遠東
page 3	歐戰又揭一幕德軍突越境西侵荷比已奮起抵抗英法軍隊出動積極援助盧森堡赤被侵瑞士動員戒備
page 3	荷女王發宣言痛斥德方暴行
page 3	荷比被捲入漩渦後英政局將有新開展
page 3	關於荷比
page 3	傳英海軍當局封鎖直布羅陀美大使與義外長作緊急會議義在法邊界結集軍隊
page 3	北歐新醞釀傳蘇建議在愛蘭島設防
page 3	英軍已在冰島登陸
page 3	英法向美談判續購新機至少將購機一萬架
page 3	美擬保障荷屬地艦隊傳將開菲荷印宣布扣留德壯丁
page 3	本港荷總領事發表公報
page 3	德致荷比牒文無非照例說謊
page 3	美國密切注視白宮舉行會議
page 3	德機轟炸里昂英法頻傳警報
page 4	豫南大戰告一段落我軍克復唐河泌陽鄂北日軍亦呈動搖死傷逾萬 
page 4	金沙江覆舟殉職人員滇籌建圖書館紀念
page 4	遼吉兩主席談一切秉命中央努力恢復失土拯救同胞
page 4	教育部設立學術審議委會首次大會定於今日開幕派員視察各省教育 
page 4	甘新縣制七月一日實施
page 4	雨水調和預兆豐年中央農業實驗所負責人謂本年各種生產均優異
page 4	國府明令褒揚呂志伊 
page 4	桂林音樂界舉行奏演會紀念音樂家黃自
page 4	南僑慰勞團一三兩團離蓉北上
page 4	滬特二區法院仍嚴密戒備中恐嚇信係汪屬特務所為滬西偽警拘捕捕房警員
page 4	桂林市黨部正著手籌備中
page 4	旅美僑胞捐輸巨款加入傷兵之友社
page 4	桂省府限期肅清煙毒令各縣組檢查團下月一日起施行
page 4	義大利如何
page 4	這是什麼話
page 4	漢奸內鬨汪衛隊副隊長等在滬被偽警拘禁
page 4	吳忠信不久可返抵重慶
page 4	邵力子大使赴蘇行期已定
page 4	美駐滬總領由平抵滬下週返國一行
page 4	昆明行營成立下設六處與政治部及運輸統籌委員會
page 4	山雨欲來的巴爾幹二
page 4	粵行政會議收穫極豐富對省政均有通盤之籌劃食糧問題尤有妥善辦法
page 4	川經濟建設蔣兼主席核定綱要
page 5	南洋回教訪華團已在積極籌組中全馬來分十一單位選派代表定本年內由星來港轉飛重慶
page 5	大良日軍全部他調婆蘿島偽軍被監視
page 5	花生油豬隻桂禁運出口
page 5	桂省國民基礎教育最近六年進展概況
page 5	韶關整飭市容規定車輛行駛注重公共衛生取締服裝不整嚴禁挾妓冶遊
page 5	西康日記八八 
page 6	全國節儲建運會港分會昨日成立推李星衢等五人為常委徐繼莊提議組勸購隊儲蓄團
page 6	職業婦女會討論婦女問題昨日舉行第一次座談會題為對戀愛及婚姻應有之認識 
page 6	林語堂昨抵港登陸後即暫住其友人處因微感不適須略事休息
page 6	泰國宣傳部長威拉斯返泰過港林子豐等昨日設宴款待威氏對我抗戰極表同情
page 6	兒童賑災會難童書報室即成立
page 6	明末遺恨培英奮社明日公演
page 6	人約黃昏後
page 6	孫夫人返港孔夫人亦同來
page 6	陳後主
page 6	香港舊書店代售張世祿教授藏書
page 6	四十年來之中國出版界中王雲五九日晚在本港播音台講演
page 6	報告經過
page 6	討論結果
page 6	告港僑書
page 6	組勸購隊
page 6	組儲蓄團
page 6	新文化運動時期
page 6	圖書館運動時期
page 7	銀聯足球慈善賽西商迎抗華商下午四時半在加山麓上演女子對益壯隊先作小球賽
page 7	港埠際足球軍敗於西貢隊一比三雙方爭持劇烈門守鮑賽仲表演出色
page 7	籃球義演
page 7	港澳小球埠際賽港隊出戰澳門下午四時半在新口岸場港隊一行十九人
page 7	歐戰擴大美匯益緊英匯沉寂申匯好轉
page 7	荷蘭紙市昨日已無行市
page 7	昨日股票市況先穩定後沉寂
page 7	八九金市空前活躍歐戰影響價格暴漲
page 7	國幣續漲收市價二三三
page 7	尖事記都是緊要新聞 
page 7	桂青年節射擊錦標得主桂同排球第一
page 7	學界排球保羅兄弟奏凱今日有五場
page 7	西貢埠際足球隊月中出征新嘉坡
