page 2	社評東京談判之展望
page 3	汕尾形勢突呈緊張Ｘ艦結集開砲昨晨Ｘ軍登陸北江我反攻部隊已逼近廣州
page 3	贛北游擊隊向德安附近襲擊
page 3	晉東南殘Ｘ已被我截成數段
page 3	蘇聯態度強硬將剷除庫頁島日特權日主宣傳準備在蒙邊反攻
page 3	羅文幹等函呈中央迅速拘捕汪兆銘兩度處分不足蔽其辜
page 3	李主席視察歸來決改革粵庶政分期訓練各級幹部禁絕烟賭肅清貪污
page 3	南昌美教士被Ｘ逮捕美領提出抗議
page 3	離奇消息東京大阪被炸工廠燬四十餘
page 3	汪逆的生平一個不吉利人物吳稚暉詳批八字
page 3	英報評論伍德勞夫演說中國在艱難處境中仍能發揮進取精神
page 3	助紂為虐義大利航空兵加入Ｘ軍作戰
page 3	颶風襲滬馬路一片汪洋影響船隻行駛
page 3	滬被捕同胞昨日已釋出
page 3	蟻光炎將赴蓉將考察各地建設情形返暹後鼓勵僑胞投資
page 3	浙境我軍縱橫創Ｘ
page 3	蒙自海關禁奢侈品人口
page 3	達賴轉世幼童首途拉薩政府派員護送
page 3	滬外匯仍未穩定英匯縮至五便士以下英報促政府早日設法維持
page 4	英日意見難接近談判或將決裂英閣討論後將發訓令預定今日作三次會談
page 4	對蘇聯建議英法會商中所謂間接侵略意義解釋將予鄭重考慮免起誤會
page 4	國聯大會撥款協助中國防疫英國殘廢治療學會將派遣救濟隊來華
page 4	關於暹羅改變國號
page 4	法德商約展期至明年六月底止並訂有附帶協定
page 4	美大使宴請英外相
page 4	美比商訂物物交換協定
page 4	美一般民意擁護羅斯福中立法修正問題必能獲最後勝利
page 4	英政府禁止愛共和軍活動緊急法案眾院首讀通過授權內相負責實施辦理
page 4	歐洲風雲日緊民主國未雨綢繆一方面增強自身實力一方面力謀互相合作
page 4	英國空軍將繼續訪問外國二次飛法之行已完成
page 4	印緬防務會議昨日結束擬就詳盡計劃規定在戰時作密切合作
page 4	波蘭但澤間發生新事端
page 4	嚴懲汪賊
page 4	勝利第一
page 4	Ｘ方陰謀
page 4	英議員主張派兵赴但澤
page 5	中國人不打中國人江門偽軍反正殺Ｘ我軍續克獅山控制江門市郊
page 5	中山公佈管制車輛辦法赴石岐有五處檢查至澳門須領通過證
page 5	瑞武立戰功鋼軍受獎榮譽章七枚記功 牌一百
page 5	粵省府推進要政澄清貪汚維持金融農工建設完成禁政
page 5	澳門總督巴波沙回澳有期
page 5	第四游擊區巡迴政訓
page 5	番禺擴編團隊
page 5	昆明公用事業
page 6	港督在立法局闡述強迫兵役法意議登記之英國民均在應徵之列羅文錦建議將呈理藩院
page 6	訪黃伯才先生
page 6	一九三八年漁民捕魚統計捕魚雖多但市價低落漁民亦受Ｘ侵略影響
page 6	應徵人員姓名將在憲報公佈
page 6	果販義賣已竟全功杏仁餅萬罐售罄
page 6	男女青年會舉辦全港青年夏令營少年夏令營定八月廿二集中基督教學生夏令會八二開始
page 6	萬噸新輪工竣今日下水港督參加試航
page 6	參觀天文台報名處在青年會
page 6	僑港各商會歡迎黃伯才今晨在大華戲院
page 6	粵慰勞會徵募衣褲本月結束
page 6	八一三購債運動救債分會定期商討
page 6	第一劇團定期招待新聞界
page 6	時人行蹤
page 6	三十五團體何故不繳花款
page 6	蒲崗村迫遷案華民署再調解會督何明華同情該村民昨函華民司請俯恤下情
page 6	張月兒今晚舉行義唱
page 7	美國栗山網球賽奎斯脫領導羣雄麥谷八面玲瓏豪氣勝當年克拉姆被譽為業餘網球王
page 7	星洲乒乓表演賽霍顯超顯顏色乒乓王沙巴杜斯遭慘敗
page 7	埠際游泳賽的展望
page 7	下季冬運會Ｘ準備參加
page 7	羅南科今午赴昆明
page 7	喬路易巴士達王位戰合同簽定
page 7	心嘉杯賽明日三場
page 7	華體水球賽本月程序昨日已公佈
page 7	南遊日記
page 7	海防河內足球派隊來港擬九月間成行
page 7	本港對華貿易銳減一年來減退共達一萬萬元出口僅及前時百分之三十
page 7	申匯價續漲其他外匯不動英美匯勢不定後轉穩申匯價續淡至三二五
page 7	倫敦金銀同時上漲
page 7	股票市弱成交四千餘股值九萬八千元
page 7	八九金市漲風復滅價格再漲創新紀錄
