page 2	社評救中國救日本
page 3	桂南大規模殲滅戰日軍五萬餘被包圍粵北我軍乘機向廣州挺進
page 3	孔副院長詳述日汪重大陰謀排斥列強圖霸遠東友邦亟應羣謀制止
page 3	義國官方刊物論汪偽府前途抗戰勝券中國穩然在握汪一切企圖均毫無希望
page 3	馬超俊主張開除汪國藉
page 3	一九一八與一九四0三
page 3	對日機炸滇越路法態度堅定中法既未簽所謂密約對日方要求將置之不理
page 3	林主席親捐鉅額代金嘉勉抗日將士
page 3	傷兵之友新運總會擴大徵求各負責人分別聘定
page 3	滬西部題偽市長傳筱庵宣稱已獲解決
page 3	華北糧荒一般中等住戶時有斷糧之虞
page 3	國府命令
page 3	粵主席李漢魂出巡粵北戰區親自督振及辦理善後粵北九縣災情極慘重
page 3	榮譽師榮譽崑崙關戰役居首功蔣委長特獎五萬元
page 4	日軍事追加預算大部依賴公債總數逾四十四萬萬圓齋藤事件尚有餘波日議會空氣愈黯淡
page 4	正義的呼籲薛西爾請美對日禁運美議員多主嚴厲執行
page 4	蘇聯空軍活躍芬蘭城鎮屢遭空襲蘇軍五度猛攻未逞
page 4	天津日軍故意刁難阻止糧食運入租界
page 4	駐日德使昨訪谷正之
page 4	一九一八與一九四○
page 4	馬爾幹協商國會議宣告完滿閉幕發表宣言共保民族領土下屆會議明年二月舉行羅保關係好轉匈態度仍強硬
page 4	義報的論調抨擊蘇聯攻芬主張自造命運
page 4	伯明罕等地燃料奇缺當局已設法補救
page 4	世界黃金集中美國全世界金準備總額美國佔有三分之二
page 4	蘇准德貨自由通過蘇伊商約正談判中
page 4	淺間丸事件日迄未向議會報告
page 4	各國爭購軍械運美黃金大增
page 4	德國嚴寒二十年來所僅見
page 4	土地震未已去年年底以來每日皆有發生
page 4	桂南日軍落網
page 5	韶關市況愈繁榮警備部嚴禁提高物價粵北戰事我繼續挺進
page 5	朝鮮義勇隊一面作戰一面宣傳協力合作迭奏膚功
page 5	江會平靜中山沿海安謐
page 5	曲江各界捐贈寒衣共得一萬二千件
page 5	粵省府改善內地旅店衛生擬定管理規則切實執行
page 5	桂禁止販運淪陷區火柴
page 5	廣東戰地慰勞團第一團返韶歷時二十天工作極圓滿軍民聯絡密切情緒熱烈
page 5	撥款二百萬元救濟粵北戰區省府已決定籌撥辦法
page 5	南洋華僑組織回國慰勞團定三月初旬出發首都已籌備歡迎
page 6	國貨展覽會昨舉行開幕典禮羅旭龢爵士剪綵並致辭港督及各官紳多往參觀
page 6	農曆新年郵局假期初一全日休息
page 6	年宵攤位看花回花枝以桃梅吊鍾等較多盆栽僅有茶花金桔點綴
page 6	廣大附小今日舉行入學試驗
page 6	華堂戲綵皇后平安明日起映
page 6	愛蘭止咳露國展會中八折出售
page 6	學生賑濟會昨日招待各界九日至十一舉行換物會籌備就緒希望各界贊助
page 6	奎松總統輪船員過港據談該輪沉沒情形
page 6	惠陽商會施賑石峽尾村難民前往食粥者四千人
page 6	錦繡山河娛樂今晚獻映助我受傷戰士
page 6	馬師會新劇王妃入楚軍農曆元旦上演
page 6	各路巴士農曆除夕延長時間
page 6	作戰計劃隨機應變
page 7	港越埠際足球賽展延一天擧行客軍因船期阻誤後日方到籌賑賽提前元旦開演
page 7	跑的藝術談談短途賽跑
page 7	春到球城
page 7	尖事瑣記
page 7	全港公開網球賽三月底即可實現
page 7	大生杯排球暫停一週十七繼續開賽
page 7	女子籃球賽定下旬頒獎
page 7	羽毛球賽定十九日舉行
page 7	區際小球賽澳隊名單昨日正式公布
page 8	美菲荷匯牌價略漲英匯沉寂申匯穩靜
page 8	支去內魚翅進口增加五百餘擔
page 8	本港股票市況昨日益形蓬勃各股派息期近買戶踴躍全日成交達十三萬餘元
page 8	八九金市昨日交易停頓
