page 2	徐世昌死矣
page 3	晉西激戰我軍轉穩Ｘ軍渡河企圖完全粉碎我軍猛攻潛江圍殲Ｘ軍
page 3	行政院會議湖北寧夏兩省府委員廳長略有更動
page 3	桂女學生軍組春耕隊助軍人家屬工作
page 3	斯比爾事件日態度倔強誣被捕者有間諜嫌疑英派員調查未得結果
page 3	桂越旅行通訊東京的僑團問津
page 3	刺程嫌疑英當局決不引渡另有二人將移交日方
page 3	徐世昌病逝享年八十一歲
page 3	獨霸珠江Ｘ禁英輪航駛
page 3	南北傀儡擬僭改教育制度
page 3	日向英國解釋偽銀行性質措詞含糊理由薄弱英金融界表示驚奇
page 3	軍委會組設新聞檢查局正副局長派定
page 3	中國之友目睹Ｘ機暴行促美勿售軍火
page 3	藏慰勞團昨日離渝赴蓉
page 3	順安光復我沿江砲兵又擊傷Ｘ艦
page 3	滬Ｘ非法拘捕綸昌英籍職員Ｘ領反向英方抗議
page 3	牛若望神甫明日廣播斥日天主教徒
page 3	美使即赴滇昆明備歡迎
page 3	鼓島談判現又延長一日
page 3	前線將士慰勞代表將分南北兩路出發
page 4	英法內閣考慮向蘇提新對案張伯倫在眾院解釋謂最近將發表聲明
page 4	美眾院外委會討論中立法通過伯林姆提案第一條
page 4	英王將抵美境內外美京布署一新士女雲集赫爾昨晚啟程代表迎迓
page 4	在蘇聯最高會議中莫洛托夫演詞全文二
page 4	太平洋上美海軍演習陸長演說認美難偏安要求在運河添築水閘
page 4	蘇彝士運河股東大會會長伏克演說痛斥義國要求
page 4	倫敦奇案槍擊康特公爵夫人幸未命中捕獲一人
page 4	對波羅的海國家與愛拉兩國不侵協定傳定今日在柏林簽字
page 4	愛共和軍領袖在美被捕當局拒公布原因
page 4	英報紙傳艾登將赴法與法要人談話
page 4	德南談話結束雙方並未簽任何協定南攝政外長業已返國
page 4	Ｘ軍人跋扈主張與德義締盟駐外武官活動中
page 5	官電證實新會戰線偽挺進隊全軍覆沒偽員遞解訊辦偽軍正法Ｘ圖再擾三江又肆濫炸
page 5	廣東臨時參議會首次大會概觀隆重開幕典禮緊驟議事日程二
page 5	Ｘ機艦肆擾汕頭情勢又緊張民眾離市情形狼狽意溪被炸二人受傷
page 5	吳飛佈告嚴禁阻難難民准予控訴以安商旅
page 5	粵決明年禁絕烟毒
page 5	韶各界精神動員二次月會張發奎李漢魂訓話
page 5	昇昌輪昨晨開赴廣州
page 5	三江殘Ｘ肅清三埠輪渡恢復航行
page 5	中山籌辦平糶
page 6	昨日教師節教育界熱烈慶祝中區東區九龍分別開會王雲五張資模致詞勗勉
page 6	本港華人代表發起慰卹英艦死者家屬我國此次兵災迭蒙英國賑濟理宜以德報德捐欵贊襄此舉
page 6	利源東街搶案華探傷勢甚重被擊斃之匪昨無人領屍傷匪劉文珠被控兩罪名
page 6	ＸＸ兩周年賑聯會昨議決七七籌欵賑難已推定各社團負責售花定期歡送救亡劇團出國
page 6	戰影展覽駱傳華將携帶來港婦慰會各團體發起
page 6	老羅斯福之孫昆丁由藏返港深入西藏獲得符咒法物可供研究一千年前宗教
page 6	畫家謝公展來港　畫助振
page 6	九日英王壽辰明日盛大慶祝閱兵典禮昨日舉行預操政府機關學校昨日放假
page 6	大昌航行港白之間不日開始載客
page 6	銀海鴛鴦今日在中央公映
page 6	星洲日報社長胡昌耀來港考察本港新聞事業
page 7	傳符保盧在桂林空戰中光榮殉國
page 7	籃球健將集中成都中央軍校實力最強
page 7	馬迪夫人放棄網球賽努力寫小說
page 7	澳洲游泳隊出征夏威夷
page 7	菲台杯選手作戰計劃將參加美國七大錦標賽
page 7	德南台杯網球隊爭奪歐洲盟主定七月杪在阿格藍舉行英陣容零落竟全軍覆沒
page 7	擲鏈球新紀錄五十九○七
page 7	溫布爾頓賽奧斯丁希望濃厚
page 7	荷瑞匯牌價略漲英美滙市況沉寂申匯市況穩定買賣均屬稀少
page 7	買戶更見擁擠股票漲勢逾勁全日成交總值逾二十萬電話公司行將開派股息
page 7	八九金市復略鬆弛買賣仍少價再微跌
