page 2	雲南經濟建設
page 3	桂南我國克復九塘邕欽路亦有新進展粵北我追擊部隊迫近源潭
page 3	解縣虞鄉日軍有突圍潰竄勢
page 3	粵省本年度財政新措施統一徵收機構廢除苛雜達成理財必成稅收必增
page 3	渝中法比瑞文協歡迎法大使法使演說祝我抗戰勝利
page 3	滬永安大新工潮僵持中
page 3	中蘇商約蘇聯正式批准
page 3	日人揚言開放長江下游聲中華中淪陷區內獨佔情形剖視
page 3	平郊激戰我游擊隊極活躍
page 3	西南邊繮教育考察團由黔抵桂即赴猺山
page 3	滬工部局總辦英人費利浦險遭不測暴徒喬裝槍擊未中被解滬西後即無踪英軍當局向日抗議
page 3	澳門黨部電蔣總裁致敬並通電慰勞前線將士痛斥汪兆銘甘心事仇
page 3	魯英教堂竟被日軍焚燬
page 3	中央關懷粵北難胞振委會特派員携款前往放振
page 3	英使在渝參觀畫展
page 3	日本國內食糧問題嚴重政府強迫徵發激起民變朝鮮台灣反戰運動高漲
page 3	淪陷區絲繭橫遭壟斷又有絲廠三家停閉
page 3	苦了日本人民日政府擬發新公債達五十六萬萬日圓
page 3	婦女慰勞總會徵募棉衣二批分發竣事
page 3	日興亞院通過江偽府原則內容傳共有三條明日交內閣審議
page 4	美參議員發表談話主張對日制裁以堅定立場迅速行動膺懲破壞九國公約者
page 4	匈外長抵義訪晤齊亞諾討論中東南歐問題南匈關係甚為微妙
page 4	羅斯福接見駐美義大使聽取義國中立態度美仍考慮發動和平
page 4	比新閣組成斯巴克蟬聯外長
page 4	英國截留美輪美提牒交勸告反對勒令駛入交戰區域如有損失應由英方負責
page 4	加納久朗痴人說夢自詡經濟侵略成績曲解事實蒙騙英國
page 4	拉波萊前線芬軍突入蘇境卡列利亞砲火轉烈蘇生力軍續調前線
page 4	滿蒙劃界會議開會尚無期地點擬改在哈爾濱松島抵蘇極力活動
page 4	虧本的侵略戰續
page 4	菲賓士遺產約計數百萬元
page 4	法德發生劇戰戰況激烈向所未有
page 4	蘇保談判經過融洽蘇當局設讌款待
page 4	金銀島戈戈斯島發現寶藏海盜遺落價值不貲
page 4	陸相倍立厦辭職英閣部局改組商長史丹萊調長陸軍情報部長由萊斯繼任
page 4	德商務代表找瑞典京城討論與瑞交換貨物
page 4	德國恫嚇北歐丹報嚴詞駁斥英法尚無利用北歐趨勢德仍抵賴謂威脅其安全
page 4	阿特里在法向德國工人廣播願意協助彼等獲得自由
page 4	應隨時警戒
page 4	費利溥被刺
page 4	歐局的動態
page 4	美議員儻論
page 5	粵路正面鏖戰仍烈我軍乘勝南下掃蕩
page 5	各業相繼開市深圳漸復繁榮郵電交通最短期內籌備恢復南頭匪徒肅清我軍趕辦善後
page 5	江會戰事膠着我軍克復龍泉三灶島日機續有增加
page 5	順德日偽軍紛紛後撤龍江方面日軍亦有潰退模樣
page 5	西康日記三四
page 5	廣東省財政廳積極整理財政顧翊羣令各縣嚴緝走私
page 5	連縣土地測量完竣佃租制度行將改善
page 5	在傜山上上一個新奇的世界
page 6	廠商聯會昨開全體會議決請港府援助轉請星洲政府撤銷港貨禁令在港不得解決即派代表前往
page 6	商用電碼又頒新例五條
page 6	親界農展昨開幕港督主持開幕並致訓詞改良種籽產品均甚良好
page 6	三大銀行上月紙幣流通額
page 6	粵劇救亡服務團三個月來的工作在粵桂各地演出四十五次新內容舊形式觀眾極歡迎
page 6	新教育條例本年起實施白鴿籠式學校將受淘汰規模較大學校亦感困難
page 6	雖在戰爭期內本港稅收仍增截至去年十月底之統計較前年同期增四百萬元
page 6	胡文虎大批萬金油八卦丹捐助桂省前線將士
page 6	婦女健美會今日舉行表演為工合籌款
page 6	出版消息
page 6	虎戲改期定八日晚開演
page 7	今天愉園演好戲東方戰南華南下午二時賣票四時即開鑼尋開心還請提早到場
page 7	雛鳳應勝未勝二比二和蘇軍水益十二碼球讌客失去良機富蘭明犯規被判出場
page 7	論東南大戰
page 7	香港奇兵突出九龍淨輪三球
page 7	昨夜籃球激戰勵志贏仿林廿八比十六相差一打西南寫寫意意勝知行
page 7	李碩友有冤無路訴昨被罰出塲
page 7	英財政新措施之影響港匯市昨再趨緊申匯牌價續縮市況亦略緊
page 7	過去一週間股票市況蓬勃各股價格俱日見上漲全週成交逾一百萬元
page 7	八九金市昨日益形沉寂
