page 2	社評鎗民楊廉
page 3	汕頭市區激戰方酣我軍克復庵埠梅溪英美一致拒絕日軍要求
page 3	軍委會發言人談Ｘ佔汕頭之意義驅逐歐美在華勢力獨霸我沿岸各海口
page 3	顧大使談Ｘ無所獲
page 3	谷正綱等電蔣致敬並勉慰前方將士
page 3	英經濟學者討論遠東金融對我措施表示滿意滬金融市場益平靜
page 3	大批Ｘ機昨日狂炸常德
page 3	Ｘ在各地發動反英宣傳天津昨舉行反英大會英租界當局加緊戒備
page 3	晉南Ｘ攻陷垣曲我作有計劃之轉移短期內可擊潰Ｘ軍
page 4	蘇聯對三國協定堅持原來立場英將訓令在蘇代表設法疏解蘇方觀點
page 4	張伯倫在眾院報告遠東局勢天津事件若不能解決將考慮進一步之辦法
page 4	德國對蘇聯盡拉攏能事圖恢復德蘇貿易關係以打擊英國對蘇政策
page 4	英王抵倫敦歡迎盛況不亞出國貴眾兩院上書致賀
page 4	羅斯福傳將赴英報聘
page 4	波羅土三國向英購軍用品德方宣傳英美波輪船載運大批軍械抵但澤
page 4	Ｘ故態復萌宣傳蒙偽又起衝突蘇機被擊落四九架
page 4	國勞局長演說同情我國工人呼籲竭力設法救濟
page 4	制止日本侵略反侵略大會英總會請英政府獨自發動
page 4	新加坡會議開幕商英法遠東聯防事宜並將與美採密切聯繫
page 4	傳法國將向西貸欵存金亦將交還
page 4	法內閣今日開會
page 4	德司法部長抵保加利亞京城
page 4	侵華將兩年Ｘ國內財政焦頭爛額發行公債無法推銷頒令加強外匯管理
page 4	美眾院通過陸軍補充預算
page 4	友誼的勸告
page 4	Ｘ報不知已
page 4	蘇彝士防務埃政府已同意戰時由土負責
page 5	粵當局加強游擊力量頒游擊區施政綱要對Ｘ政治經濟文化陰謀作總反攻香翰屏任游擊總隊主任負責軍事
page 5	大戰前夕的潮汕戰時色華拜中說以腳還腳
page 5	Ｘ艦紛紛開走三江睦州無Ｘ蹤Ｘ機偵察中新各地
page 5	袁化照部乘夜襲南社茶山斃Ｘ甚眾俘獲廿餘
page 5	粵漁監業視察團西海隊現正視罕南路月底可返韶關
page 5	首批洋米運抵北海粵南米荒暫告安定
page 5	惠陽大舉疏散人口
page 6	本港海軍當局通告英輪照常開汕抵汕後由英艦護送入口昆明輪抵港臺載來難民百餘人
page 6	汕頭淪陷澈夜大火
page 6	廢用舊輔幣八月一日實行現已收回一百四十萬元市面遺流約二十五萬元
page 6	Ｘ佔海關強奪汽車
page 6	英美海軍密切聯絡
page 6	英不承認封鎖汕港英國不承認Ｘ封鎖汕港
page 6	汕頭失陷後本港來源頓少市價較前數日幾增一倍澳門現又禁止糧食出口
page 6	潮州商會昨開緊急會議商討求濟桑梓組織籌賑會粉理賑務故鄉情形電海外僑胞
page 6	中美文化協會定
page 6	孤軍營中糾紛營內生活枯燥屢思潛逃上週接連發生衝突多次
page 6	港澳互施檢疫往來行旅不便領證書者擁擠手續麻煩赴澳人士銳減影響商務
page 7	溫布爾頓揭幕戰英德選手打頭陣決定後日下午二時在中央球場舉行皇后會比賽印代表出冷門
page 7	公開籃球表演聯隊選手產生實力強橫待命上火線女籃義款昨匯呈國府
page 7	童軍小球義賽首次操演明天在嘉山
page 7	楊基棒球隊台柱劉格烈素描他不講手段是一個硬漢行為檢點沒有夜遊習慣
page 7	今日棒球賽西洋出兵迎戰香港會
page 7	南華足球在仰光首戰即慘敗二比四不敵仰光選手隊來日方長不禁使人担憂
