page 2	社評國際緊張中的闡釋
page 3	Ｘ人最大企圖在截斷西南西北路綫佯攻西江圖用主力襲桂我空軍昨飛潿洲島偵察
page 3	華北民眾團體揭破Ｘ陰謀吳佩孚未接受綏靖偽職土肥原在平失敗後飛漢
page 3	戰地黨政委會邵力子任秘書長中宣部副部長定潘公展
page 3	兵役署正式成立澈底改善辦理兵役決遵守三原則進行
page 3	英使在津
page 3	滬自殺案件每日有一二起
page 3	許崇智昨日離滬來港
page 3	別一個世界下北平在Ｘ人統治下民眾不能自由呼吸
page 3	Ｘ禁外人飛機駛近潿洲島射擊帝航機事件竟諉為不能辨認
page 3	傅逆作孽編練偽自衛團
page 3	湘省府會議衡山實驗縣撤銷
page 3	牯嶺外僑X竟限期撤退
page 3	Ｘ眾院混戰有田欺人自欺Ｘ閣窘態畢露
page 3	開發西南新機構在渝設經濟研究所所長董事分別聘定
page 3	色厲內荏謂不戰停
page 3	所謂準備乃屬恫嚇
page 3	日寡婦動員六萬人來華待嫁
page 3	中國之一夜
page 3	旅美華僑捐款
page 3	提高回民文化成立回教文化研究會救國協會昨會議決定
page 3	教部體委會昨日全體會議
page 4	羅斯福對歐政策聯英法抗侵略供給軍火放棄中立美加起草聯防計劃
page 4	加羅林群島德建築防禦工事
page 4	美陸次演說應積極擴充軍備
page 4	軍火售英法以恢復歐洲均勢
page 4	保衛太平洋關島設防之原因
page 4	德報之反響充滿侮辱的語氣
page 4	蓋達著文論張伯倫演詞妥協精神有益和平墨索里尼檢閱黨軍
page 4	關於對華貸欵美國輿論一斑
page 4	法向美訂購大批飛機值三千五百萬元
page 4	西叛軍北進佔據多德拉城法將派員駐薄爾哥斯英輪卡丁號被炸下沉
page 4	日擬修改九國公約
page 4	包爾溫訪日說不確
page 4	英教育大臣講演歐洲大戰有可能且信作戰時英必獲勝英不考慮重分殖民地
page 4	美製飛機輸出統計去年荷日華最大主顧本年定單歐洲為最多
page 4	張伯倫覲見英王耶誕後第一次
page 4	法外長接見駐華法使
page 4	捷前總統貝奈斯將赴美講學
page 4	第十八屆蘇聯共黨大會大規模清黨並無效力薩丹諾夫將提議廢除
page 4	Ｘ軍的企圖
page 4	改善兵役
page 5	統一救濟難民機關粵設置省振濟會顧問委員人選均已發表派員慰問僑胞報告災情
page 5	汕市長巫琦視事潮汕國防頗可樂觀僑務積弊注意改善
page 5	東江下游五縣配備雄厚游擊隊編組完備挺進前線
page 5	視察閩海防務陳琪抵漳徐學禹等偕行
page 5	瓊崖鎳幣運瓊
page 5	浙東之旅
page 6	立法局昨日通過修正迫遷住客例補助東華三院醫藥費擴大建築督轅案撤銷
page 6	本港教育當局考慮戰時學童疏散辦法戰時各校停課學童返家有宿舍學校須設避彈室
page 6	被擊帝航機機長返港述遇事經過日艦連發五砲彈均落水今後檳航綫或暫改航道
page 6	三八婦女節
page 6	保護港漁民出海捕魚
page 6	舞協會主辦慈善舞賽
page 7	本年台杯網球賽我國參加歐洲帶第一週已定五月初開始
page 7	南華南合宿訓練明日大戰九龍天生足傷已愈後防可告無憂後日銀牌重賽雛鳳又逢東方
page 7	體育與國防
page 7	美國拳擊界維護人道
page 7	香港記者公會主辦排球籌賑比賽參加六隊定十八日開始舉行
page 7	男子公開籃球比賽本月十日開始報名
page 7	外匯牌價無變動英匯美匯市穩勢緊申匯先鬆弛後沉寂
page 7	昨日買胃仍強股票市績有進展賣家仍少各股價格再略上漲青洲英坭及屈臣氏成交最多
page 7	八九金市略穩但靜上午買賣俱少下午較多
page 7	英金不動英銀俱平
