page 1	社評展望中華民國三十八年
page 2	南京尚在連續會商蔣總統發表了文告作和平試探候中共反應不即時下野大勢還得打
page 2	將領會商大局張治中暫緩西返馬鴻達還未到京
page 2	和平氣球飄蕩南北南京意圖試探北平急於求和杜魯門表示對和談仍感興趣
page 2	鄧寶珊到北平傅作義不肯去南京
page 2	蔣總統元旦文告考慮到和戰問題及個人進退但要共黨有和平誠意
page 2	武和軒幫腔也要求和平
page 2	平市大雪氣溫在零下九點六度
page 2	武漢空中交通斷絕跑道損壞奉命中止翻修保境安民之說甚囂塵上
page 2	平守兵想溜出城兩人被守衛打死
page 2	國內航空郵資三日起又調整
page 2	一九四九年回顧錄
page 2	滇蓉戒嚴元旦起實施
page 2	就要到了廣州商界接到中共函件務使政權變易順利完成
page 2	粵省兵役弊端百出人民痛苦水深火熱參議會在會一片質詢聲
page 2	平津郊區無變化通縣共軍向西移
page 2	共方集結大軍布防長江北岸百萬兵力將展開攻勢即使蔣總統辭職計劃不變
page 2	南京過年市面冷落公務員看電影解愁政府要員照例謁陵團拜
page 2	蔣總統的文告
page 2	北平小聚會
page 2	上海十大新聞由市長挨打到兌金慘劇
page 2	一加籍僑民在寧廈被拘據說他企圖進入共區
page 2	立院休會兩月未聽取新閣施政計劃
page 3	美國圖謀重新武裝日本蘇要求向遠東委會報告潘友新責美使軍國主義復活
page 3	麥帥元旦狂捧日人把日本說成民主自由的天堂勗勉人民努力實現經濟復興
page 3	我要日歸還金銀盟總竟置若罔聞半農盼能從速解決
page 3	日人得意迎新年吉田為受美恩寵沾沾自喜說日本國際地位日漸上昇
page 3	日聲價抬高國際議會聯盟看上了決派代表去邀請參加
page 3	大川恢復自由裝神經病保存了性命
page 3	停火令未傳達聖地戰事持續
page 3	解決柏林危機聯合國專家委會有辦法已向有關四國提報告書
page 3	史密斯返華府向杜魯門請辭
page 3	印尼拒作屈辱談判要荷蘭先撤軍釋放領袖否則決定徹底焦土抗戰
page 3	美雜誌評論給荷蘭揭底
page 3	受了荷侵印尼鼓勵法也想在越南蠻幹傳正著手派遣增援部隊
page 3	美援歐款項本年五十億
page 3	北韓蘇軍撤竣蘇京廣播宣布撤退完成
page 3	誰殺死甘地兇手審判已告結束下月底宣讀判決書
page 3	與旱災搏鬥蘇聯墾荒植林十五年計劃推行順利規模之龐大無與倫比
page 3	杜魯門故作神秘拒釋听作有關蘇聯聲明
page 3	許曼定期赴英謀改進兩國關係
page 3	英內閣改組將稍緩實行
page 3	法龐大預算案遭上議院否決再送下院舉行二讀
page 3	影星誰最賣座和尚竟也組黨
page 4	的士糾察守諾言不到尖沙咀車站摩總開會決支援到底
page 4	去舊迎新慶元旦港九各團體今天紛開會中華巴士增派車輛行駛
page 4	除夕即景四女孩無飯吃街頭相對流淚
page 4	慶新年記取歷史教訓
page 4	堅道除夕劫案一對男女持刀行劫搶走了金鍊鈪兩條
page 4	潘七姑昨大殮警方尚未查出死因護產聯討論為死者雪冤
page 4	載歌載舞同歡樂勞教會四日開會
page 4	煙突著火救火車未到火已熄
page 4	安徵逃來難民生活困難艱苦
page 4	廣九車今日加價平均增加了一倍有多
page 4	西環發現死嬰警方認係勒斃
page 4	車禍兩起一男一女受傷
page 4	商會將組隊去英參觀工業展覽會
page 4	港府頒發新年獎狀七個官民分別受獎
page 4	南北行公所改建為四層
page 4	兩人自殺獲救 
page 5	香港市況一年百貨均走下坡中小商家虧本多於賺錢
page 5	法幣跌得最慘金融投機業多蝕虧
page 5	商品業蕭條工業原料下退數倍洋紙價多跌過成本
page 5	管理外匯條例
page 5	造成逆境因素歸納共有三點
page 5	過去一年中華資銀行業務平穩比戰後第一年一落千丈
page 5	穗市港幣激升最高達三二八
page 5	銀行家數增加資本額反銳減
page 6	元旦球城新氣象港韓大軍今天開仗下午三時半在嘉山球場見面明天第二仗華聯出師
page 6	朝鮮大軍襲港兩戰蠡測並非怪論都是真言
page 6	歡迎漢城同道
page 6	石振達青年會昨天招待大公隊午餐與茶會賓主暢談
page 6	華聯必勝
page 6	今晨舉行長途跑看誰奪得錦標歸
page 7	開展中的中國電影事業
page 7	今後電影工作上的幾個問題
page 7	獻給中國電影工作者
page 7	關於電影藝術的工作制度附角色分析綱目電影演員須知
